input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\blackwater_mp_gy.wsc,blackwater_mp_gy.wsc,Switch,Auto,0,3.78,True,126976,122880,1861,48375,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\blackwater_mp_gy.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":126976,""object_start"":122880,""function_count"":1861,""decompiled_chars"":48375,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\car_gringo.wsc,car_gringo.wsc,Switch,Auto,0,1.192,True,12288,8192,28,596,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\car_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":12288,""object_start"":8192,""function_count"":28,""decompiled_chars"":596,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\carcrank_gringo.wsc,carcrank_gringo.wsc,Switch,Auto,0,1.103,True,20480,16384,113,2897,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\carcrank_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":20480,""object_start"":16384,""function_count"":113,""decompiled_chars"":2897,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\fort_camp02_gringo.wsc,fort_camp02_gringo.wsc,Switch,Auto,0,1.098,True,36864,32768,155,2974,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\fort_camp02_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":155,""decompiled_chars"":2974,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\merchant_camp01_gringo.wsc,merchant_camp01_gringo.wsc,Switch,Auto,0,1.084,True,36864,32768,158,3354,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\merchant_camp01_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":158,""decompiled_chars"":3354,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\merchant_camp02_gringo.wsc,merchant_camp02_gringo.wsc,Switch,Auto,0,1.302,True,36864,32768,180,3754,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\merchant_camp02_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":180,""decompiled_chars"":3754,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\merchant_camp03_gringo.wsc,merchant_camp03_gringo.wsc,Switch,Auto,0,1.522,True,36864,32768,170,3878,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\merchant_camp03_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":170,""decompiled_chars"":3878,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\merchant_camp04_gringo.wsc,merchant_camp04_gringo.wsc,Switch,Auto,0,1.226,True,36864,32768,156,3082,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\merchant_camp04_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":156,""decompiled_chars"":3082,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\merchant_camp05_gringo.wsc,merchant_camp05_gringo.wsc,Switch,Auto,0,1.102,True,36864,32768,159,3069,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\merchant_camp05_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":159,""decompiled_chars"":3069,""error"":""""}",,Little
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\mp pass\camp\outlaw_camp01_gringo.wsc,outlaw_camp01_gringo.wsc,Switch,Auto,0,1.171,True,36864,32768,157,3170,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\game\\XENON MULTIPLAYER\\mp pass\\camp\\outlaw_camp01_gringo.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":36864,""object_start"":32768,""function_count"":157,""decompiled_chars"":3170,""error"":""""}",,Little
