path,extension,size,sha1,first_32_bytes_hex,family,decode_status,conversion_status,note,normalized_flag1,normalized_flag2
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,.csc,30899,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 94 C0 05 84 32 9F E0 2E E9 1E C8 2E 81 39 16 F5,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,.csc,33109,2B948987AD4F6608861762D90E4806B96966D406,86 43 53 52 00 00 00 02 80 00 00 00 90 00 00 12 E3 45 B3 51 F3 14 6F 8D 69 4E E5 EF C7 D3 36 6C,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,.csc,29619,4FE9D4D1F095091F594BE426A710CEEF73175695,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 11 32 D9 A9 57 72 AF 87 36 3A 54 0C 64 F8 A9 12,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,.csc,30632,03F6BC1B24DCA47996071AFB204F11BBF68261E5,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 B7 F5 8F 3B B0 24 6F 14 17 9E 19 32 03 27 1A A6,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.csc,.csc,28195,86145814BA49418D96D0311E339E3F24D5871933,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 0F 71 1F 84 6A E7 68 B8 2F 0F FD 18 E3 F8 F3 A9 AC,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.csc,.csc,30235,89CB2FBD3310B6A83A54F02BEF9DDFEEE3DBD8BA,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 80 F4 49 EA C9 EA 0F 42 8E 30 17 DE 0A 65 D3 F9,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.csc,.csc,30659,153FA74BBD7CE51E5ED659B232A3CEA953E03B02,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 1B DC B1 A2 C5 67 FC 9D 06 30 65 BF 76 8E E0 E1,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.csc,.csc,29459,25D61BF7D26A31E82C2A78DDD5691C289C0388E4,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 11 07 FD 10 0A 99 9D 3D 94 8C 08 DE B3 0D 3B 3B C7,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.csc,.csc,13114,6872EDF5E99581F3C27BB14DD32BBB62A971304C,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 2F 4F 90 DE AE 4F F7 B5 3D E7 46 B3 70 BD D2 00,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.csc,.csc,13040,FE9D5B69407BF992B76598F1A49395115C5126B7,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 2F 4F 90 DE AE 4F F7 B5 3D E7 46 B3 70 BD D2 00,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.csc,.csc,13049,9B410E83BC29DA293F4F9D13D40645FEA92DCD62,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 C1 CC 85 6A 89 AD F6 3D D3 B9 4F DD D9 92 85 2E,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.csc,.csc,13038,467865D3E3EB2CB19D1F101CA33D62F77D02D9CC,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 07 02 06 B2 D3 C4 5F 00 0B 77 35 6E 28 43 1C 62 B4,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.csc,.csc,49087,AC7C093773FE09EEEEE4C2596FC240BFC57643A2,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 1B 0C 07 76 84 28 21 04 4D 1A 62 D2 39 AE 21 74 19,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
imports\PSN MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.csc,.csc,37135,DD24E432C08D25D17B09A64D29331FDC23646505,86 43 53 52 00 00 00 02 80 00 00 00 80 00 00 15 43 C2 9A 16 76 30 DA 00 1C 2E 79 6C 00 F2 0D 02,CSC_SWAPPED_RSC86,rsc86_not_supported_here,still_blocked,PSN CSC RSC86 wrapper is not a PC WSC target in this pass.,,
