source,relative_path,source_size,source_sha1,output,output_relative_path,status,error,decoded_size,decoded_sha256,output_size,output_sha1,bridge_stdout,bridge_stderr,runtime_compatibility,lzx_magic,lzx_compressed_size,expected_unpacked_size,codec,compressed_size,output_sha256,validate_ok,runtime_note
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.xsc,action_areas/fort_mercer/fortmercermp.xsc,28748,297F62C610C1D1835FFA8EF1992E17145506BDF5,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\fort_mercer\fortmercermp.wsc,action_areas/fort_mercer/fortmercermp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,0B1DCB3FE45598D01D9878E954036E50637B8141491B5401BAF7817F0B28E9A2,28999,9CADD44E7F4C26118AC662E893F84198468BD1D2,"{""status"":""ok"",""hr"":0,""input_size"":28724,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28724,69632,zstd-level-22-no-content-size,28983,6E9C15FF6D88E09974597937315FAAC740D8EDB8020380B6E24CF800FA7D4E85,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.xsc,action_areas/gaptooth_breach/gaptoothbreachmp.xsc,30760,822DEE0898DE1AF36627E31528C602C2DD7D62B6,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\gaptooth_breach\gaptoothbreachmp.wsc,action_areas/gaptooth_breach/gaptoothbreachmp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,73728,2C72E2263865FA7D13D901CA02F5FF0638C3D198944D58B1497B64C69E75D21B,31038,4C700F7F59793C8FDD71FC800773BBFBFCB91496,"{""status"":""ok"",""hr"":0,""input_size"":30736,""output_size"":73728,""message"":""""}",,unproven,0x0FF512F1,30736,73728,zstd-level-22-no-content-size,31022,6EA4C030686666230E0093333099DDDA21A9FD1948CC1F567F9AE1BE9248FE12,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\genericmp_aa.xsc,action_areas/genericmp_aa.xsc,2868,8F86E8D066095D54C07BDC1E14C9D48E971EDF1D,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\genericmp_aa.wsc,action_areas/genericmp_aa.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,8192,41434C28FF44A12B99F7B19743E747B5C596D8953195338982336F5A7D4D6F30,2808,94A6BFE13B365021F406D4820800DF341409CDE1,"{""status"":""ok"",""hr"":0,""input_size"":2844,""output_size"":8192,""message"":""""}",,unproven,0x0FF512F1,2844,8192,zstd-level-22-no-content-size,2792,0FB90B3C2B16E4B5BA5FEAF4EB351F4F0962290B2D5FAC93076EA528C74F86BA,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.xsc,action_areas/nosalida/nosalidamp.xsc,27692,12097D2F596D9DAE8CF19F3C7AC66894F7459556,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\nosalida\nosalidamp.wsc,action_areas/nosalida/nosalidamp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,593374283B13D9C18759C8086FA1DD74EA2933C7AD582E4B7FA9F550D199841D,27920,3F68FB9726D3690722E4DD9FC174ED0E3DE08214,"{""status"":""ok"",""hr"":0,""input_size"":27668,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,27668,69632,zstd-level-22-no-content-size,27904,3FAD817D276487CBE22823427348ABDB8B9533F1A640A4D969ECB244A60F2E45,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.xsc,action_areas/pikes_basin/pikesbasinmp.xsc,28506,795D7170D7A0219BE8BDF72298B28F0CD88660C0,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\pikes_basin\pikesbasinmp.wsc,action_areas/pikes_basin/pikesbasinmp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,387F4EEC2EF5BD9E204803336A201C677A93D5BB91CF3DA20169CE25EB5FA897,28777,2309DA2EBDBEB87B5ACA0359FE1B0B9D78603C7E,"{""status"":""ok"",""hr"":0,""input_size"":28482,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28482,69632,zstd-level-22-no-content-size,28761,7F719CBEDAF2941DE90558D5B8040E823EFA8D684C3DD5C09665A8B8ED71089B,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.xsc,action_areas/solomons_folly/solomonsfollymp.xsc,26414,1BDCED02D7FBDF024C0F2D42793156525EDBAD4A,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\solomons_folly\solomonsfollymp.wsc,action_areas/solomons_folly/solomonsfollymp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,61440,8F6CF08D72CB419A2C5A2CE93BEE6D0CB6A04EA29C558A975CAF9E87E7611B9E,26640,550624B4982C7D45275014994F0F8BABBF67A340,"{""status"":""ok"",""hr"":0,""input_size"":26390,""output_size"":61440,""message"":""""}",,unproven,0x0FF512F1,26390,61440,zstd-level-22-no-content-size,26624,2FE170C3754CC9CB18504220A5E61B1C6D12482E2E9EC1D6E0E248556280CF9E,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.xsc,action_areas/tesoro_azul/tesoroazulmp.xsc,28240,596C2741826A8E797859A78FA507EE62F9670E89,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\tesoro_azul\tesoroazulmp.wsc,action_areas/tesoro_azul/tesoroazulmp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,D12EB10BE282CB070499A4EE1311DBA866592011ED55492EE3411C744260F353,28526,B37EC7B653886CB5B90806F5FE16BC1FB569604F,"{""status"":""ok"",""hr"":0,""input_size"":28216,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28216,69632,zstd-level-22-no-content-size,28510,8CB80F123DB539EBA9FF8E6501426CFB86997F7F1EE3CE91969AA42E621C1435,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.xsc,action_areas/tumbleweed/tumbleweedmp.xsc,28524,6F6157EB27B306B935640D79168A78A5A1B5EF68,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\tumbleweed\tumbleweedmp.wsc,action_areas/tumbleweed/tumbleweedmp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,4066EDA7D9D6416178288D8EC58D4432DC6FE75B649147D08115B88878275ED7,28774,B23ED21DA2E26C5F041DAA68EB1E84E7F1E3BEDA,"{""status"":""ok"",""hr"":0,""input_size"":28500,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28500,69632,zstd-level-22-no-content-size,28758,90EFE8C2474855EB145445DBB1B8965DF0133151E0B7489DB504F02A26AE8544,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.xsc,action_areas/twin_rocks/twinrocksmp.xsc,27412,D56C8AAC6A1A17386D2800715BDE716B99BB572B,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\twin_rocks\twinrocksmp.wsc,action_areas/twin_rocks/twinrocksmp.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,69632,3D8B2C26D73BB6D36A2FCD854A862254AF02DBDFAB52259ADB6F8DEF3FD41043,27632,6F1DDF6B58A2BFA67DC1AB4A9087EBE005606699,"{""status"":""ok"",""hr"":0,""input_size"":27388,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,27388,69632,zstd-level-22-no-content-size,27616,BD19A2F34E4506C462310E8B5141B6C827446912EAD06D3A4CAA1835EC556DCD,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
imports\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.xsc,action_areas/wilderness/bearwildernessaa.xsc,12632,CC4257F30EFB489D48EC93781F40B33446839690,D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_converted\action_areas\wilderness\bearwildernessaa.wsc,action_areas/wilderness/bearwildernessaa.wsc,pc_wsc_candidate_decode_ok_runtime_unproven,,28672,982733496122216E902C67E7937DB6D15A759448D2748C6DEE2B06AA95774773,12674,202479B2C57D622187BF9E6A5E41133041405AD8,"{""status"":""ok"",""hr"":0,""input_size"":12608,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12608,28672,zstd-level-22-no-content-size,12658,869809BA0076AC6C3A6E632CC52AC56E0DF7E8B371952BF967E280D9A20E8224,True,"PC wrapper validates, but Xbox bytecode/platform compatibility is still runtime-unproven."
