input,file_name,platform,reader_endian_requested,returncode,duration_seconds,ok,decoded_size,object_start,function_count,decompiled_chars,error,error_type,stdout,stderr,reader_endian
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\fort_mercer\fortmercermp.wsc,fortmercermp.wsc,Switch,Auto,0,1.515,True,69632,65536,654,12635,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\fort_mercer\\fortmercermp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":654,""decompiled_chars"":12635,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\gaptooth_breach\gaptoothbreachmp.wsc,gaptoothbreachmp.wsc,Switch,Auto,0,1.182,True,73728,65536,698,13251,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\gaptooth_breach\\gaptoothbreachmp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":73728,""object_start"":65536,""function_count"":698,""decompiled_chars"":13251,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\genericmp_aa.wsc,genericmp_aa.wsc,Switch,Auto,0,1.039,True,8192,0,51,3189,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\genericmp_aa.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":8192,""object_start"":0,""function_count"":51,""decompiled_chars"":3189,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\nosalida\nosalidamp.wsc,nosalidamp.wsc,Switch,Auto,0,1.151,True,69632,65536,648,12212,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\nosalida\\nosalidamp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":648,""decompiled_chars"":12212,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\pikes_basin\pikesbasinmp.wsc,pikesbasinmp.wsc,Switch,Auto,0,1.214,True,69632,65536,638,12549,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\pikes_basin\\pikesbasinmp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":638,""decompiled_chars"":12549,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\solomons_folly\solomonsfollymp.wsc,solomonsfollymp.wsc,Switch,Auto,0,1.195,True,61440,57344,623,11732,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\solomons_folly\\solomonsfollymp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":61440,""object_start"":57344,""function_count"":623,""decompiled_chars"":11732,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\tesoro_azul\tesoroazulmp.wsc,tesoroazulmp.wsc,Switch,Auto,0,1.144,True,69632,65536,634,14739,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\tesoro_azul\\tesoroazulmp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":634,""decompiled_chars"":14739,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\tumbleweed\tumbleweedmp.wsc,tumbleweedmp.wsc,Switch,Auto,0,1.173,True,69632,65536,642,12246,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\tumbleweed\\tumbleweedmp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":642,""decompiled_chars"":12246,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\twin_rocks\twinrocksmp.wsc,twinrocksmp.wsc,Switch,Auto,0,1.107,True,69632,65536,645,12134,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\twin_rocks\\twinrocksmp.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":69632,""object_start"":65536,""function_count"":645,""decompiled_chars"":12134,""error"":""""}",,Little
D:\Games\Red Dead Redemption\Code_RED\build\mp_script_conversion_probe\xsc_lzx_pc_wsc_magicrdr_fixed_all\action_areas\wilderness\bearwildernessaa.wsc,bearwildernessaa.wsc,Switch,Auto,0,1.023,True,28672,24576,241,5397,,,"{""ok"":true,""input"":""D:\\Games\\Red Dead Redemption\\Code_RED\\build\\mp_script_conversion_probe\\xsc_lzx_pc_wsc_magicrdr_fixed_all\\action_areas\\wilderness\\bearwildernessaa.wsc"",""platform"":""Switch"",""reader_endian"":""Little"",""decoded_size"":28672,""object_start"":24576,""function_count"":241,""decompiled_chars"":5397,""error"":""""}",,Little
