offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
19,0x13,03 00,3,1,1
33,0x21,01 01,257,1,0
57,0x39,02 02,514,0,1
63,0x3F,00 03,768,0,0
72,0x48,00 04,1024,0,0
75,0x4B,01 05,1281,1,0
94,0x5E,03 06,1539,1,1
101,0x65,03 07,1795,1,1
429,0x1AD,03 08,2051,1,1
436,0x1B4,03 09,2307,1,1
444,0x1BC,03 0A,2563,1,1
463,0x1CF,05 0B,2821,1,2
474,0x1DA,05 0C,3077,1,2
480,0x1E0,03 0D,3331,1,1
487,0x1E7,03 0E,3587,1,1
517,0x205,03 0F,3843,1,1
568,0x238,05 0B,2821,1,2
577,0x241,02 10,4098,0,1
590,0x24E,04 11,4356,0,2
607,0x25F,05 12,4613,1,2
616,0x268,03 08,2051,1,1
623,0x26F,03 09,2307,1,1
631,0x277,03 0A,2563,1,1
650,0x28A,05 0B,2821,1,2
661,0x295,05 0C,3077,1,2
667,0x29B,03 0D,3331,1,1
674,0x2A2,03 0E,3587,1,1
706,0x2C2,03 0F,3843,1,1
759,0x2F7,05 0B,2821,1,2
768,0x300,02 10,4098,0,1
781,0x30D,04 11,4356,0,2
798,0x31E,05 12,4613,1,2
807,0x327,03 08,2051,1,1
814,0x32E,03 09,2307,1,1
822,0x336,03 0A,2563,1,1
841,0x349,05 0B,2821,1,2
852,0x354,05 0C,3077,1,2
858,0x35A,03 0D,3331,1,1
865,0x361,03 0E,3587,1,1
899,0x383,03 0F,3843,1,1
954,0x3BA,05 0B,2821,1,2
963,0x3C3,02 10,4098,0,1
976,0x3D0,04 11,4356,0,2
993,0x3E1,05 12,4613,1,2
1002,0x3EA,03 13,4867,1,1
1009,0x3F1,03 0E,3587,1,1
1017,0x3F9,02 10,4098,0,1
1025,0x401,03 13,4867,1,1
1032,0x408,03 0E,3587,1,1
1040,0x410,03 0D,3331,1,1
1047,0x417,03 0E,3587,1,1
1076,0x434,03 0F,3843,1,1
1109,0x455,03 0F,3843,1,1
1176,0x498,02 10,4098,0,1
1184,0x4A0,03 13,4867,1,1
1191,0x4A7,03 0E,3587,1,1
1202,0x4B2,03 13,4867,1,1
1209,0x4B9,03 0E,3587,1,1
1316,0x524,13 14,5139,1,9
1325,0x52D,03 13,4867,1,1
1332,0x534,03 0E,3587,1,1
1340,0x53C,03 15,5379,1,1
1350,0x546,03 0F,3843,1,1
1357,0x54D,03 16,5635,1,1
1368,0x558,06 17,5894,0,3
1375,0x55F,06 17,5894,0,3
1382,0x566,06 17,5894,0,3
1389,0x56D,06 17,5894,0,3
1396,0x574,06 17,5894,0,3
1411,0x583,03 13,4867,1,1
1418,0x58A,03 0E,3587,1,1
1456,0x5B0,05 0B,2821,1,2
