offset,offset_hex,length,text,population_term
9,0x9,5,<Fq/<,
89,0x59,4,i1.8,
421,0x1A5,5,:/Tb/,
453,0x1C5,9,noExplode,
497,0x1F1,17,DynamiteExplosion,
531,0x213,17,DynamiteExplosion,
558,0x22E,9,noDestroy,
597,0x255,9,noDestroy,
640,0x280,9,noExplode,
684,0x2AC,19,FireBottleExplosion,
720,0x2D0,19,FireBottleExplosion,
749,0x2ED,9,noDestroy,
788,0x314,9,noDestroy,
801,0x321,5,+b.\8,
831,0x33F,9,noExplode,
875,0x36B,21,KeroseneLampExplosion,
913,0x391,21,KeroseneLampExplosion,
944,0x3B0,9,noDestroy,
983,0x3D7,9,noDestroy,
1057,0x421,16,GrenadeExplosion,
1087,0x43F,19,FireBottleExplosion,
1123,0x463,16,GrenadeExplosion,
1149,0x47D,19,FireBottleExplosion,
1233,0x4D1,19,sliding_gate_gringo,
1253,0x4E5,54,o5$/content/scripting/gringo/simplegringo/sliding_gate,
1319,0x527,5,"+b,V8",
1445,0x5A5,10,WasDrafted,
1466,0x5BA,10,WasDrafted,
1489,0x5D1,9,NoLooting,
1506,0x5E2,4,9'8&,
1525,0x5F5,4,9(8(,
1537,0x601,11,Skin_Animal,
1549,0x60D,53,o4$/content/scripting/gringo/simplegringo/Skin_Animal,
1629,0x65D,13,Pluck_Feather,
1643,0x66B,55,o6$/content/scripting/gringo/simplegringo/Pluck_Feather,
1724,0x6BC,15,NonActiveGringo,
1750,0x6D6,15,NonActiveGringo,
1777,0x6F1,7,UseCase,
1793,0x701,15,Home02_S1_Skin1,
1820,0x71C,5,Skin1,
1839,0x72F,15,Home02_S1_Skin2,
1866,0x74A,5,Skin2,
1885,0x75D,15,Home02_S1_Skin3,
1912,0x778,5,Skin3,
1931,0x78B,15,Home02_S1_Skin4,
1958,0x7A6,5,Skin4,
1974,0x7B6,19,Skinning_CreateBlip,
2016,0x7E0,19,Skinning_CreateBlip,
2070,0x816,6,9)8))?,
2087,0x827,5,!8))?,
2097,0x831,5,"""8))>",
2103,0x837,4,33)>,
2108,0x83C,4,33)>,
2113,0x841,8,"33)?&ff,",
2127,0x84F,15,skinning_objSet,
2155,0x86B,15,skinning_objSet,
2179,0x883,4,&+b(,
2210,0x8A2,9,NoLooting,
2257,0x8D1,13,Pluck_Feather,
2271,0x8DF,55,o6$/content/scripting/gringo/simplegringo/Pluck_Feather,
2346,0x92A,4,"L8*,",
2358,0x936,4,@8*A,
2370,0x942,6,9+8+)?,
2387,0x953,5,!8+)?,
2397,0x95D,5,"""8+)>",
2403,0x963,4,33)>,
2408,0x968,4,33)>,
2413,0x96D,8,"33)?&ff,",
2430,0x97E,9,NoLooting,
