offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
58,0x3A,04 00,4,0,2
81,0x51,05 01,261,1,2
94,0x5E,06 02,518,0,3
102,0x66,05 03,773,1,2
110,0x6E,02 04,1026,0,1
204,0xCC,02 04,1026,0,1
232,0xE8,03 05,1283,1,1
301,0x12D,15 06,1557,1,10
314,0x13A,01 07,1793,1,0
317,0x13D,01 08,2049,1,0
331,0x14B,04 09,2308,0,2
349,0x15D,02 0A,2562,0,1
356,0x164,07 0B,2823,1,3
359,0x167,02 0C,3074,0,1
372,0x174,04 0D,3332,0,2
412,0x19C,15 0E,3605,1,10
419,0x1A3,02 0F,3842,0,1
422,0x1A6,01 10,4097,1,0
434,0x1B2,03 11,4355,1,1
447,0x1BF,01 12,4609,1,0
459,0x1CB,01 12,4609,1,0
473,0x1D9,03 13,4867,1,1
501,0x1F5,02 14,5122,0,1
557,0x22D,17 15,5399,1,11
587,0x24B,02 14,5122,0,1
642,0x282,15 06,1557,1,10
665,0x299,09 16,5641,1,4
702,0x2BE,07 17,5895,1,3
724,0x2D4,05 18,6149,1,2
751,0x2EF,05 19,6405,1,2
765,0x2FD,09 16,5641,1,4
784,0x310,07 1A,6663,1,3
795,0x31B,09 16,5641,1,4
814,0x32E,07 1A,6663,1,3
825,0x339,09 16,5641,1,4
846,0x34E,04 1B,6916,0,2
851,0x353,02 1C,7170,0,1
861,0x35D,05 1D,7429,1,2
873,0x369,05 1E,7685,1,2
877,0x36D,08 1F,7944,0,4
884,0x374,05 1D,7429,1,2
896,0x380,05 1E,7685,1,2
900,0x384,08 1F,7944,0,4
904,0x388,02 04,1026,0,1
912,0x390,02 20,8194,0,1
923,0x39B,00 21,8448,0,0
935,0x3A7,03 22,8707,1,1
1094,0x446,02 23,8962,0,1
1106,0x452,02 24,9218,0,1
1119,0x45F,04 25,9476,0,2
1139,0x473,05 26,9733,1,2
1142,0x476,02 27,9986,0,1
1154,0x482,02 28,10242,0,1
1174,0x496,05 26,9733,1,2
1177,0x499,02 29,10498,0,1
1197,0x4AD,05 26,9733,1,2
1200,0x4B0,02 2A,10754,0,1
1212,0x4BC,02 2B,11010,0,1
1225,0x4C9,05 26,9733,1,2
1228,0x4CC,02 2C,11266,0,1
1240,0x4D8,02 2D,11522,0,1
