offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
58,0x3A,04 00,4,0,2
81,0x51,05 01,261,1,2
124,0x7C,05 02,517,1,2
131,0x83,03 03,771,1,1
173,0xAD,03 04,1027,1,1
190,0xBE,02 05,1282,0,1
219,0xDB,06 06,1542,0,3
227,0xE3,05 07,1797,1,2
235,0xEB,02 08,2050,0,1
278,0x116,02 08,2050,0,1
306,0x132,03 09,2307,1,1
719,0x2CF,01 0A,2561,1,0
731,0x2DB,04 0B,2820,0,2
758,0x2F6,15 0C,3093,1,10
771,0x303,01 0D,3329,1,0
774,0x306,01 0E,3585,1,0
788,0x314,04 0F,3844,0,2
806,0x326,02 10,4098,0,1
813,0x32D,07 11,4359,1,3
816,0x330,02 12,4610,0,1
880,0x370,04 13,4868,0,2
913,0x391,15 14,5141,1,10
920,0x398,02 15,5378,0,1
1005,0x3ED,04 13,4868,0,2
1034,0x40A,15 14,5141,1,10
1069,0x42D,15 14,5141,1,10
1076,0x434,02 15,5378,0,1
1161,0x489,04 13,4868,0,2
1192,0x4A8,15 14,5141,1,10
1229,0x4CD,15 14,5141,1,10
1236,0x4D4,02 15,5378,0,1
1270,0x4F6,01 16,5633,1,0
1279,0x4FF,03 17,5891,1,1
1283,0x503,01 18,6145,1,0
1295,0x50F,01 19,6401,1,0
1308,0x51C,03 1A,6659,1,1
1315,0x523,03 1B,6915,1,1
1333,0x535,01 1C,7169,1,0
1345,0x541,01 1C,7169,1,0
1359,0x54F,03 1D,7427,1,1
1367,0x557,02 05,1282,0,1
1410,0x582,17 1E,7703,1,11
1420,0x58C,02 05,1282,0,1
1461,0x5B5,15 0C,3093,1,10
1489,0x5D1,09 1F,7945,1,4
1521,0x5F1,09 1F,7945,1,4
1554,0x612,09 1F,7945,1,4
1594,0x63A,09 1F,7945,1,4
1641,0x669,09 1F,7945,1,4
1648,0x670,02 20,8194,0,1
1658,0x67A,09 1F,7945,1,4
1665,0x681,02 20,8194,0,1
1680,0x690,09 1F,7945,1,4
1687,0x697,02 21,8450,0,1
1697,0x6A1,09 1F,7945,1,4
1704,0x6A8,02 21,8450,0,1
1723,0x6BB,09 1F,7945,1,4
1822,0x71E,04 22,8708,0,2
1849,0x739,09 1F,7945,1,4
1917,0x77D,03 1D,7427,1,1
