offset,offset_hex,length,text,population_term
24,0x18,18,wrist_l_Attachment,
88,0x58,11,playermodel,
108,0x6C,11,playermodel,
148,0x94,12,playermodel[,
286,0x11E,19,MPPlayground_layout,
320,0x140,8,trainloc,
352,0x160,8,ledgeloc,
384,0x180,9,originloc,
412,0x19C,10,firebottle,
437,0x1B5,8,dynamite,
460,0x1CC,10,bagcontrol,
485,0x1E5,9,explosion,
509,0x1FD,29,togglesetexplosionreplication,
553,0x229,22,toggletrainvisualdebug,
598,0x256,5,9')A ,
612,0x264,4,7+3o,
617,0x269,10,coachspawn,
647,0x287,5,92)A ,
661,0x295,4,753o,
666,0x29A,10,horsespawn,
738,0x2E2,6,player,
761,0x2F9,5,9;8;S,
793,0x319,12,loadComplete,
836,0x344,12,$/fragments/,
849,0x351,5,7?r@o,
855,0x357,17,p_gen_moneybag02x,
873,0x369,5,7?t@%,
887,0x377,8,moneybag,
928,0x3A0,12,gatlingspawn,
948,0x3B4,5,9O8Oc,
957,0x3BD,12,$/fragments/,
970,0x3CA,5,7Rr@o,
976,0x3D0,21,p_gen_gatlingMaxim02x,
998,0x3E6,5,7Rt@%,
1012,0x3F4,8,gatling1,
1043,0x413,8,gatling2,
1084,0x43C,14,powderkegspawn,
1106,0x452,5,9b8bc,
1115,0x45B,12,$/fragments/,
1128,0x468,5,7er@o,
1134,0x46E,19,/p_gen_powderKeg01x,
1154,0x482,5,7et@%,
1168,0x490,10,powderkeg1,
1201,0x4B1,10,powderkeg2,
1244,0x4DC,11,autoconnect,
1266,0x4F2,5,"9v8u,",
1311,0x51F,5,"9w8;,",
1355,0x54B,5,"9;8;,",
1390,0x56E,6,player,
1441,0x5A1,6,player,
1464,0x5B8,5,9;8;S,
1501,0x5DD,5,8>8;8,
1532,0x5FC,5,8>8;R,
1564,0x61C,17,DynamiteExplosion,
1604,0x644,19,FireBottleExplosion,
1667,0x683,4, 8!c,
1706,0x6AA,5,"!8""8#",
1728,0x6C0,36,"co""UP --> spawn coach / invulnerable",
1781,0x6F5,7,m_coach,
1816,0x718,5,l9$8$,
1826,0x722,6,"9#8""8#",
1855,0x73F,47,o.LEFT --> spawn passenger 1 and task to seat 0,
1935,0x78F,10,passenger1,
1955,0x7A3,4,"782,",
1960,0x7A8,6,"$9(8(,",
1971,0x7B3,4,8(8$,
1982,0x7BE,4,9%8&,
2002,0x7D2,48,yo.DOWN --> spawn passenger 2 and task to seat 1,
2075,0x81B,10,passenger2,
2095,0x82F,4,"782,",
2100,0x834,6,"$9)8),",
2111,0x83F,4,8)8$,
2122,0x84A,4,9&8',
2143,0x85F,66,oARIGHT --> spawn passenger 3 and task to seat 2 which is disabled,
2242,0x8C2,10,passenger3,
2262,0x8D6,4,"782,",
2267,0x8DB,6,"$9*8*,",
2278,0x8E6,4,8*8$,
2289,0x8F1,5,"9'8""c",
2295,0x8F7,4,"08$,",
2306,0x902,5,"9#8(,",
2318,0x90E,5,"9%8),",
2330,0x91A,5,"9&8*,",
2342,0x926,6,9'8.8/,
2365,0x93D,36,"Uo""UP --> spawn horse / invulernable",
2418,0x972,7,m_horse,
2434,0x982,4,"782,",
2439,0x987,5,$9080,
2449,0x991,6,9/8.8/,
2477,0x9AD,45,wo+LEFT --> spawn rider 1 and task to m_horse,
2547,0x9F3,6,rider1,
2563,0xA03,4,"782,",
2568,0xA08,6,"$9383,",
2579,0xA13,4,8380,
2595,0xA23,4,9182,
2615,0xA37,45,wo+DOWN --> spawn rider 2 and task to m_horse,
2685,0xA7D,6,rider2,
2701,0xA8D,4,"782,",
2706,0xA92,6,"$9484,",
2717,0xA9D,4,8480,
2747,0xABB,4,"?80,",
2755,0xAC3,4,"783,",
2769,0xAD1,4,")83,",
2778,0xADA,4,8480,
2796,0xAEC,4,8380,
2810,0xAFA,4,&8.c,
2815,0xAFF,4,"$80,",
2826,0xB0A,5,"9/83,",
2838,0xB16,5,"9184,",
2890,0xB4A,4,*+z-,
3310,0xCEE,4,i1.8,
3642,0xE3A,5,:/Tb/,
3674,0xE5A,9,noExplode,
3718,0xE86,17,DynamiteExplosion,
3752,0xEA8,17,DynamiteExplosion,
3779,0xEC3,9,noDestroy,
3818,0xEEA,9,noDestroy,
3830,0xEF6,4,D+b/,
3861,0xF15,9,noExplode,
3905,0xF41,19,FireBottleExplosion,
3941,0xF65,19,FireBottleExplosion,
3970,0xF82,9,noDestroy,
4009,0xFA9,9,noDestroy,
4021,0xFB5,6,D+b.\8,
4052,0xFD4,9,noExplode,
4096,0x1000,21,KeroseneLampExplosion,
4134,0x1026,21,KeroseneLampExplosion,
4165,0x1045,9,noDestroy,
4204,0x106C,9,noDestroy,
4216,0x1078,4,D+b-,
4278,0x10B6,16,GrenadeExplosion,
4308,0x10D4,19,FireBottleExplosion,
4344,0x10F8,16,GrenadeExplosion,
4370,0x1112,19,FireBottleExplosion,
4454,0x1166,19,sliding_gate_gringo,
4474,0x117A,54,o5$/content/scripting/gringo/simplegringo/sliding_gate,
4539,0x11BB,6,"F+b,V8",
4666,0x123A,10,WasDrafted,
4687,0x124F,10,WasDrafted,
4710,0x1266,9,NoLooting,
4727,0x1277,4,9'8&,
4745,0x1289,5,r9(8(,
4758,0x1296,11,Skin_Animal,
4770,0x12A2,53,o4$/content/scripting/gringo/simplegringo/Skin_Animal,
4850,0x12F2,13,Pluck_Feather,
4864,0x1300,55,o6$/content/scripting/gringo/simplegringo/Pluck_Feather,
4945,0x1351,15,NonActiveGringo,
4971,0x136B,15,NonActiveGringo,
4998,0x1386,7,UseCase,
5014,0x1396,15,Home02_S1_Skin1,
5041,0x13B1,5,Skin1,
5060,0x13C4,15,Home02_S1_Skin2,
5087,0x13DF,5,Skin2,
5106,0x13F2,15,Home02_S1_Skin3,
5133,0x140D,5,Skin3,
5152,0x1420,15,Home02_S1_Skin4,
5179,0x143B,5,Skin4,
5195,0x144B,19,Skinning_CreateBlip,
5237,0x1475,19,Skinning_CreateBlip,
5290,0x14AA,7,O9)8))?,
5308,0x14BC,5,S8))?,
5318,0x14C6,5,T8))>,
5324,0x14CC,4,33)>,
5329,0x14D1,4,33)>,
5334,0x14D6,8,"33)?&ff,",
5348,0x14E4,15,skinning_objSet,
5376,0x1500,15,skinning_objSet,
5400,0x1518,4,X+b(,
5431,0x1537,9,NoLooting,
5478,0x1566,13,Pluck_Feather,
5492,0x1574,55,o6$/content/scripting/gringo/simplegringo/Pluck_Feather,
5567,0x15BF,4,"L8*,",
5579,0x15CB,4,@8*A,
5590,0x15D6,7,O9+8+)?,
5608,0x15E8,5,S8+)?,
5618,0x15F2,5,T8+)>,
5624,0x15F8,4,33)>,
5629,0x15FD,4,33)>,
5634,0x1602,8,"33)?&ff,",
5651,0x1613,9,NoLooting,
5663,0x161F,4,D+b',
5697,0x1641,18,corpse_loot_gringo,
5726,0x165E,18,corpse_loot_gringo,
5759,0x167F,18,corpse_loot_gringo,
5792,0x16A0,12,ReturnCorpse,
5817,0x16B9,12,ReturnCorpse,
5838,0x16CE,5,"X+8,c",
5887,0x16FF,4,7738,
5894,0x1706,8,NoEating,
5914,0x171A,23,AddCoyoteEatingToCorpse,
5948,0x173C,23,AddCoyoteEatingToCorpse,
5978,0x175A,11,"7-7.717477,",
5999,0x176F,13,coyote_eating,
6021,0x1785,6,F9:8:o,
6028,0x178C,10,GringoTarg,
6052,0x17A4,21,AddBearEatingToCorpse,
6084,0x17C4,21,AddBearEatingToCorpse,
6112,0x17E0,11,"7-7.717477,",
6133,0x17F5,11,bear_eating,
6153,0x1809,6,F9:8:o,
6160,0x1810,10,GringoTarg,
6184,0x1828,21,AddWolfEatingToCorpse,
6216,0x1848,21,AddWolfEatingToCorpse,
6244,0x1864,11,"7-7.717477,",
6265,0x1879,11,wolf_eating,
6285,0x188D,6,F9:8:o,
6292,0x1894,10,GringoTarg,
6316,0x18AC,23,AddCougarEatingToCorpse,
6350,0x18CE,23,AddCougarEatingToCorpse,
6380,0x18EC,11,"7-7.717477,",
6401,0x1901,13,cougar_eating,
6423,0x1917,6,F9:8:o,
6430,0x191E,10,GringoTarg,
6454,0x1936,8,NoEating,
6478,0x194E,9,NoLooting,
6503,0x1967,11,Loot_Corpse,
6532,0x1984,6,pelvis,
6573,0x19AD,21,LootCorpse_CreateBlip,
6605,0x19CD,20,LootCorpse_WhichBlip,
6654,0x19FE,20,LootCorpse_WhichBlip,
6689,0x1A21,20,LootCorpse_WhichBlip,
6718,0x1A3E,21,LootCorpse_CreateBlip,
6757,0x1A65,7,O9;8;)?,
6775,0x1A77,5,S8;)?,
6785,0x1A81,5,T8;)>,
6791,0x1A87,4,33)>,
6796,0x1A8C,4,33)>,
6801,0x1A91,8,"33)?&ff,",
6815,0x1A9F,17,lootCorpse_objSet,
6845,0x1ABD,17,lootCorpse_objSet,
6880,0x1AE0,9,NoLooting,
6892,0x1AEC,6,D+b#%8,
6919,0x1B07,4,A9<8,
6926,0x1B0E,6,"A9=8=,",
6936,0x1B18,4,"28=,",
6941,0x1B1D,6,_9>8>A,
6965,0x1B35,11,HorseStolen,
6990,0x1B4E,11,HorseStolen,
7013,0x1B65,21,PlayerHorse_DeathTime,
7052,0x1B8C,5,$8=O2,
7068,0x1B9C,15,TriggerNewHorse,
7121,0x1BD1,4,"y8<,",
7143,0x1BE7,5,c8=)=,
7166,0x1BFE,4,d8=),
7227,0x1C3B,4,d8=),
