offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
91,0x5B,07 00,7,1,3
94,0x5E,05 01,261,1,2
300,0x12C,04 02,516,0,2
304,0x130,02 03,770,0,1
314,0x13A,06 04,1030,0,3
323,0x143,05 05,1285,1,2
330,0x14A,03 06,1539,1,1
416,0x1A0,01 07,1793,1,0
425,0x1A9,02 08,2050,0,1
435,0x1B3,07 09,2311,1,3
438,0x1B6,02 0A,2562,0,1
441,0x1B9,01 0B,2817,1,0
449,0x1C1,03 0C,3075,1,1
510,0x1FE,02 08,2050,0,1
517,0x205,02 08,2050,0,1
531,0x213,04 0D,3332,0,2
540,0x21C,04 0E,3588,0,2
567,0x237,02 0F,3842,0,1
570,0x23A,01 10,4097,1,0
589,0x24D,03 11,4355,1,1
645,0x285,05 12,4613,1,2
709,0x2C5,05 12,4613,1,2
773,0x305,05 12,4613,1,2
835,0x343,05 12,4613,1,2
861,0x35D,01 07,1793,1,0
953,0x3B9,01 13,4865,1,0
1006,0x3EE,03 14,5123,1,1
1019,0x3FB,01 10,4097,1,0
1041,0x411,03 15,5379,1,1
1051,0x41B,02 16,5634,0,1
1057,0x421,01 17,5889,1,0
1136,0x470,03 18,6147,1,1
1147,0x47B,05 19,6405,1,2
1195,0x4AB,01 1A,6657,1,0
1221,0x4C5,01 1B,6913,1,0
1903,0x76F,0E 1C,7182,0,7
1934,0x78E,01 1A,6657,1,0
2054,0x806,03 1D,7427,1,1
2061,0x80D,03 1E,7683,1,1
2092,0x82C,03 11,4355,1,1
2113,0x841,06 04,1030,0,3
2128,0x850,01 1A,6657,1,0
2138,0x85A,01 1F,7937,1,0
2242,0x8C2,03 20,8195,1,1
2294,0x8F6,05 12,4613,1,2
2347,0x92B,05 12,4613,1,2
2401,0x961,05 12,4613,1,2
2458,0x99A,05 12,4613,1,2
2486,0x9B6,01 1A,6657,1,0
2500,0x9C4,03 15,5379,1,1
2543,0x9EF,02 21,8450,0,1
2551,0x9F7,02 22,8706,0,1
2572,0xA0C,01 13,4865,1,0
2576,0xA10,03 23,8963,1,1
2623,0xA3F,0E 1C,7182,0,7
2628,0xA44,01 13,4865,1,0
2635,0xA4B,03 24,9219,1,1
2641,0xA51,09 25,9481,1,4
2658,0xA62,02 08,2050,0,1
2667,0xA6B,00 26,9728,0,0
2679,0xA77,03 27,9987,1,1
2688,0xA80,02 28,10242,0,1
2716,0xA9C,03 1D,7427,1,1
2723,0xAA3,03 1E,7683,1,1
2731,0xAAB,02 29,10498,0,1
2934,0xB76,03 1E,7683,1,1
2945,0xB81,05 2A,10757,1,2
2948,0xB84,03 2B,11011,1,1
2955,0xB8B,03 2C,11267,1,1
2963,0xB93,03 2D,11523,1,1
2982,0xBA6,05 2E,11781,1,2
2992,0xBB0,05 2F,12037,1,2
2999,0xBB7,03 30,12291,1,1
3012,0xBC4,07 31,12551,1,3
3034,0xBDA,02 32,12802,0,1
3039,0xBDF,02 32,12802,0,1
3082,0xC0A,05 33,13061,1,2
3096,0xC18,05 34,13317,1,2
3108,0xC24,05 33,13061,1,2
3301,0xCE5,05 2A,10757,1,2
3304,0xCE8,03 2B,11011,1,1
3311,0xCEF,03 2C,11267,1,1
3327,0xCFF,05 2A,10757,1,2
3330,0xD02,03 2B,11011,1,1
3337,0xD09,03 2C,11267,1,1
3352,0xD18,09 35,13577,1,4
3373,0xD2D,03 2D,11523,1,1
3395,0xD43,05 2E,11781,1,2
3410,0xD52,07 31,12551,1,3
3443,0xD73,09 36,13833,1,4
3460,0xD84,0B 37,14091,1,5
3476,0xD94,03 38,14339,1,1
3517,0xDBD,05 39,14597,1,2
3597,0xE0D,03 3A,14851,1,1
3608,0xE18,03 3B,15107,1,1
3611,0xE1B,04 3C,15364,0,2
3669,0xE55,03 3D,15619,1,1
3736,0xE98,07 3E,15879,1,3
3791,0xECF,05 3F,16133,1,2
3800,0xED8,02 40,16386,0,1
3814,0xEE6,02 41,16642,0,1
3819,0xEEB,03 2D,11523,1,1
3828,0xEF4,02 42,16898,0,1
3831,0xEF7,01 1A,6657,1,0
3843,0xF03,0B 43,17163,1,5
3902,0xF3E,07 44,17415,1,3
3944,0xF68,05 33,13061,1,2
3955,0xF73,05 33,13061,1,2
4000,0xFA0,05 34,13317,1,2
4074,0xFEA,07 44,17415,1,3
4091,0xFFB,07 44,17415,1,3
