index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,Function_0,48,0x30,53,0,43,0,876
1,Function_1,876,0x36C,881,2,4,0,890
2,Function_2,890,0x37A,895,2,4,0,910
3,Function_3,910,0x38E,915,2,4,0,939
4,Function_4,939,0x3AB,944,2,4,0,958
5,Function_5,958,0x3BE,963,2,4,0,973
6,Function_6,973,0x3CD,978,0,2,0,986
7,Function_7,986,0x3DA,991,0,2,0,995
8,Function_8,995,0x3E3,1000,3,7,0,1204
9,Function_9,1204,0x4B4,1209,1,3,0,1221
10,Function_10,1221,0x4C5,1226,1,3,0,1238
11,Function_11,1238,0x4D6,1243,3,6,0,1269
12,Function_12,1269,0x4F5,1274,1,3,0,1281
13,Function_13,1281,0x501,1286,0,2,0,1291
14,Function_14,1291,0x50B,1296,1,4,0,1337
15,Function_15,1337,0x539,1342,0,2,0,1360
16,Function_16,1360,0x550,1365,0,2,0,1416
17,Function_17,1416,0x588,1421,0,2,0,1491
18,Function_18,1491,0x5D3,1496,0,2,0,1567
19,Function_19,1567,0x61F,1572,0,2,0,1585
20,Function_20,1585,0x631,1590,0,2,0,1657
21,Function_21,1657,0x679,1662,0,2,0,1738
22,Function_22,1738,0x6CA,1743,0,2,0,1819
23,Function_23,1819,0x71B,1824,0,2,0,1891
24,Function_24,1891,0x763,1896,2,52,0,2953
25,Function_25,2953,0xB89,2958,1,6,0,2992
26,Function_26,2992,0xBB0,2997,7,14,0,3115
27,Function_27,3115,0xC2B,3120,1,7,0,3178
28,Function_28,3178,0xC6A,3183,0,2,0,3205
29,Function_29,3205,0xC85,3210,2,4,0,3218
30,Function_30,3218,0xC92,3223,1,3,0,3236
31,Function_31,3236,0xCA4,3241,0,2,0,3247
32,Function_32,3247,0xCAF,3252,2,4,0,3282
33,Function_33,3282,0xCD2,3287,0,2,0,3303
34,Function_34,3303,0xCE7,3308,2,5,0,3447
35,Function_35,3447,0xD77,3452,6,13,0,3566
36,Function_36,3566,0xDEE,3571,1,6,0,3605
37,Function_37,3605,0xE15,3610,2,5,0,3628
38,Function_38,3628,0xE2C,3633,0,2,0,3648
39,Function_39,3648,0xE40,3653,0,2,0,3695
40,Function_40,3695,0xE6F,3700,0,2,0,3714
41,Function_41,3714,0xE82,3719,0,2,0,3726
42,Function_42,3726,0xE8E,3731,0,2,0,3805
43,Function_43,3805,0xEDD,3810,1,3,0,3817
44,Function_44,3817,0xEE9,3822,1,3,0,4026
45,Function_45,4026,0xFBA,4031,1,3,0,4039
46,Function_46,4039,0xFC7,4044,1,3,0,4052
47,Function_47,4052,0xFD4,4057,0,2,0,
