offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
71,0x47,02 00,2,0,1
131,0x83,03 01,259,1,1
141,0x8D,01 02,513,1,0
147,0x93,03 03,771,1,1
184,0xB8,03 04,1027,1,1
195,0xC3,05 05,1285,1,2
198,0xC6,03 06,1539,1,1
205,0xCD,03 07,1795,1,1
213,0xD5,03 08,2051,1,1
243,0xF3,07 09,2311,1,3
250,0xFA,02 0A,2562,0,1
264,0x108,14 0B,2836,0,10
292,0x124,08 0C,3080,0,4
296,0x128,02 0D,3330,0,1
305,0x131,02 0D,3330,0,1
313,0x139,03 04,1027,1,1
330,0x14A,07 0E,3591,1,3
339,0x153,07 0F,3847,1,3
346,0x15A,03 10,4099,1,1
373,0x175,03 10,4099,1,1
400,0x190,03 11,4355,1,1
417,0x1A1,03 12,4611,1,1
425,0x1A9,02 13,4866,0,1
448,0x1C0,03 14,5123,1,1
470,0x1D6,03 11,4355,1,1
500,0x1F4,03 12,4611,1,1
508,0x1FC,02 13,4866,0,1
518,0x206,03 11,4355,1,1
535,0x217,03 12,4611,1,1
543,0x21F,02 13,4866,0,1
575,0x23F,03 14,5123,1,1
600,0x258,05 15,5381,1,2
608,0x260,03 11,4355,1,1
616,0x268,02 13,4866,0,1
621,0x26D,03 11,4355,1,1
638,0x27E,03 12,4611,1,1
646,0x286,02 13,4866,0,1
655,0x28F,07 16,5639,1,3
664,0x298,03 11,4355,1,1
672,0x2A0,02 13,4866,0,1
677,0x2A5,03 11,4355,1,1
694,0x2B6,03 12,4611,1,1
702,0x2BE,02 13,4866,0,1
719,0x2CF,02 0D,3330,0,1
728,0x2D8,00 17,5888,0,0
731,0x2DB,00 18,6144,0,0
738,0x2E2,08 0C,3080,0,4
770,0x302,03 11,4355,1,1
778,0x30A,02 13,4866,0,1
783,0x30F,03 11,4355,1,1
791,0x317,02 13,4866,0,1
796,0x31C,03 11,4355,1,1
804,0x324,02 13,4866,0,1
809,0x329,03 11,4355,1,1
817,0x331,02 13,4866,0,1
822,0x336,03 11,4355,1,1
830,0x33E,02 13,4866,0,1
835,0x343,03 11,4355,1,1
843,0x34B,02 13,4866,0,1
848,0x350,03 11,4355,1,1
856,0x358,02 13,4866,0,1
861,0x35D,03 14,5123,1,1
869,0x365,02 19,6402,0,1
872,0x368,00 1A,6656,0,0
900,0x384,01 1B,6913,1,0
991,0x3DF,01 1C,7169,1,0
1002,0x3EA,03 14,5123,1,1
1015,0x3F7,05 1D,7429,1,2
1036,0x40C,05 1E,7685,1,2
1045,0x415,03 1F,7939,1,1
1052,0x41C,02 20,8194,0,1
1085,0x43D,0D 21,8461,1,6
1096,0x448,01 1B,6913,1,0
1099,0x44B,01 22,8705,1,0
1138,0x472,05 23,8965,1,2
1141,0x475,02 24,9218,0,1
1144,0x478,01 22,8705,1,0
1156,0x484,07 16,5639,1,3
1162,0x48A,03 25,9475,1,1
1169,0x491,03 26,9731,1,1
1177,0x499,02 27,9986,0,1
1182,0x49E,03 25,9475,1,1
1189,0x4A5,03 26,9731,1,1
1197,0x4AD,02 27,9986,0,1
1214,0x4BE,05 28,10245,1,2
1251,0x4E3,05 29,10501,1,2
1265,0x4F1,05 2A,10757,1,2
1277,0x4FD,05 29,10501,1,2
1320,0x528,05 2A,10757,1,2
1369,0x559,03 07,1795,1,1
1404,0x57C,09 2B,11017,1,4
1454,0x5AE,04 2C,11268,0,2
1487,0x5CF,13 2D,11539,1,9
1530,0x5FA,04 2C,11268,0,2
1563,0x61B,13 2D,11539,1,9
1619,0x653,04 2C,11268,0,2
1653,0x675,13 2D,11539,1,9
1701,0x6A5,04 2C,11268,0,2
1734,0x6C6,13 2D,11539,1,9
1782,0x6F6,04 2C,11268,0,2
1815,0x717,13 2D,11539,1,9
1853,0x73D,04 2C,11268,0,2
1887,0x75F,13 2D,11539,1,9
1901,0x76D,06 2E,11782,0,3
1918,0x77E,00 2F,12032,0,0
1921,0x781,00 30,12288,0,0
1924,0x784,00 31,12544,0,0
1962,0x7AA,03 1F,7939,1,1
1965,0x7AD,03 32,12803,1,1
1970,0x7B2,0A 33,13066,0,5
2123,0x84B,07 34,13319,1,3
2128,0x850,0A 33,13066,0,5
2193,0x891,07 34,13319,1,3
2198,0x896,0A 33,13066,0,5
2264,0x8D8,07 34,13319,1,3
2269,0x8DD,0A 33,13066,0,5
2337,0x921,07 34,13319,1,3
2342,0x926,0A 33,13066,0,5
2410,0x96A,07 34,13319,1,3
2415,0x96F,0A 33,13066,0,5
2426,0x97A,05 28,10245,1,2
2501,0x9C5,03 35,13571,1,1
2504,0x9C8,03 36,13827,1,1
2511,0x9CF,03 37,14083,1,1
2515,0x9D3,0A 33,13066,0,5
2597,0xA25,07 34,13319,1,3
2602,0xA2A,03 37,14083,1,1
2628,0xA44,03 36,13827,1,1
2631,0xA47,0A 33,13066,0,5
2721,0xAA1,06 38,14342,0,3
2743,0xAB7,08 39,14600,0,4
2792,0xAE8,0B 3A,14859,1,5
2811,0xAFB,0B 3A,14859,1,5
2831,0xB0F,0B 3A,14859,1,5
2850,0xB22,0B 3A,14859,1,5
2868,0xB34,0B 3A,14859,1,5
2887,0xB47,0B 3A,14859,1,5
2905,0xB59,0B 3A,14859,1,5
2922,0xB6A,0B 3A,14859,1,5
2967,0xB97,03 14,5123,1,1
2983,0xBA7,05 3B,15109,1,2
3083,0xC0B,10 3C,15376,0,8
3109,0xC25,10 3C,15376,0,8
3199,0xC7F,01 3D,15617,1,0
3536,0xDD0,0E 3E,15886,0,7
3560,0xDE8,0E 3E,15886,0,7
3580,0xDFC,03 14,5123,1,1
3596,0xE0C,05 3F,16133,1,2
3614,0xE1E,05 40,16389,1,2
3624,0xE28,05 41,16645,1,2
3657,0xE49,03 04,1027,1,1
3683,0xE63,03 42,16899,1,1
3767,0xEB7,04 2C,11268,0,2
3801,0xED9,13 2D,11539,1,9
3849,0xF09,01 1B,6913,1,0
3929,0xF59,02 43,17154,0,1
4018,0xFB2,02 44,17410,0,1
4093,0xFFD,04 2C,11268,0,2
4126,0x101E,13 2D,11539,1,9
4171,0x104B,FD 89,35325,1,30
