offset,offset_hex,length,text,population_term
157,0x9D,4,:8'n,
229,0xE5,12,boxTesterCam,
281,0x119,4,38'=,
333,0x14D,4,9(8*,
342,0x156,5,"9)8(,",
387,0x183,4,8))>,
761,0x2F9,5,=`8&R,
1059,0x423,21,crateMultiplayer_open,
1113,0x459,24,LOCKER_OPEN_QUICK_MASTER,
1344,0x540,14,PackedMetadata,
1378,0x562,19,gMP_OpenedPickupSet,
1423,0x58F,19,Generic_Dbuffer10_3,
1445,0x5A5,8,Open Box,
1459,0x5B3,19,Generic_Dbuffer10_3,
1498,0x5DA,19,Generic_Dbuffer10_3,
1520,0x5F0,9,Close Box,
1535,0x5FF,19,Generic_Dbuffer10_3,
1574,0x626,9,ResetTime,
1592,0x638,19,Generic_Dbuffer10_1,
1614,0x64E,4,Prev,
1624,0x658,19,Generic_Dbuffer10_1,
1664,0x680,19,Generic_Dbuffer10_4,
1686,0x696,14,Draw Box Guide,
1706,0x6AA,19,Generic_Dbuffer10_4,
1745,0x6D1,19,Generic_Dbuffer10_4,
1767,0x6E7,14,Hide Box Guide,
1787,0x6FB,19,Generic_Dbuffer10_4,
1826,0x722,19,Generic_Dbuffer10_0,
1848,0x738,4,Next,
1858,0x742,19,Generic_Dbuffer10_0,
1929,0x789,19,Generic_Dbuffer64_0,
1951,0x79F,8,Name: %s,
1975,0x7B7,19,Generic_Dbuffer64_0,
2067,0x813,20,Generic_DBuffer128_0,
2090,0x82A,10,TYPE: Ammo,
2101,0x835,17,RESTOCK RATE: %ss,
2136,0x858,20,Generic_DBuffer128_0,
2159,0x86F,11,TYPE: Horse,
2171,0x87B,17,RESTOCK RATE: %ss,
2206,0x89E,20,Generic_DBuffer128_0,
2229,0x8B5,12,TYPE: Health,
2242,0x8C2,17,RESTOCK RATE: %ss,
2277,0x8E5,20,Generic_DBuffer128_0,
2298,0x8FA,16,o!TYPE: Dead Eye,
2315,0x90B,17,RESTOCK RATE: %ss,
2350,0x92E,20,Generic_DBuffer128_0,
2371,0x943,16,o!TYPE: XP Bonus,
2388,0x954,17,RESTOCK RATE: %ss,
2456,0x998,20,Generic_Dbuffer128_1,
2479,0x9AF,10,WEAPON: %s,
2490,0x9BA,8,AMMO: %s,
2520,0x9D8,20,Generic_DBuffer128_0,
2541,0x9ED,14,o2TYPE: Weapon,
2556,0x9FC,17,RESTOCK RATE: %ss,
2574,0xA0E,15,WEAPON SLOT: %s,
2607,0xA2F,20,Generic_Dbuffer128_1,
2639,0xA4F,20,Generic_Dbuffer128_0,
2755,0xAC3,4,1+)=,
2762,0xACA,4,9/)?,
2769,0xAD1,5,90)>L,
2780,0xADC,4,808/,
2837,0xB15,4,808/,
2856,0xB28,6,808/81,
2877,0xB3D,4,8/81,
2896,0xB50,4,8/81,
2911,0xB5F,6,808/81,
2924,0xB6C,4,:+)?,
2934,0xB76,5,9383%,
3017,0xBC9,4,^4(=,
3129,0xC39,4,miss,
3143,0xC47,4,ziss,
3160,0xC58,6,_short,
3289,0xCD9,12,PackedWeapon,
3472,0xD90,4,^4(=,
3635,0xE33,11,MPItemGiver,
3666,0xE52,16,gMPScratchLayout,
3702,0xE76,10,PickupsSet,
3733,0xE95,19,Generic_Dbuffer10_2,
3755,0xEAB,11,Move Camera,
3772,0xEBC,19,Generic_Dbuffer10_2,
3861,0xF15,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
3931,0xF5B,85,CoTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
4059,0xFDB,19,Generic_Dbuffer32_4,
4081,0xFF1,11,Exit Tester,
4098,0x1002,19,Generic_Dbuffer32_4,
4249,0x1099,4,j[$],
4282,0x10BA,6,BXIZQj,
4313,0x10D9,5,3&5+_,
