offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
84,0x54,03 00,3,1,1
103,0x67,09 01,265,1,4
122,0x7A,07 02,519,1,3
129,0x81,02 03,770,0,1
132,0x84,01 04,1025,1,0
144,0x90,03 05,1283,1,1
175,0xAF,03 06,1539,1,1
190,0xBE,03 07,1795,1,1
221,0xDD,14 08,2068,0,10
228,0xE4,08 09,2312,0,4
240,0xF0,0E 0A,2574,0,7
244,0xF4,02 0B,2818,0,1
254,0xFE,02 0C,3074,0,1
327,0x147,02 0C,3074,0,1
392,0x188,02 0C,3074,0,1
401,0x191,03 06,1539,1,1
416,0x1A0,03 0D,3331,1,1
433,0x1B1,03 05,1283,1,1
441,0x1B9,02 0E,3586,0,1
464,0x1D0,03 0D,3331,1,1
481,0x1E1,03 05,1283,1,1
489,0x1E9,02 0E,3586,0,1
514,0x202,02 0C,3074,0,1
524,0x20C,02 0B,2818,0,1
531,0x213,08 09,2312,0,4
540,0x21C,00 0F,3840,0,0
546,0x222,02 10,4098,0,1
551,0x227,03 11,4355,1,1
559,0x22F,02 12,4610,0,1
564,0x234,03 06,1539,1,1
572,0x23C,02 13,4866,0,1
575,0x23F,00 14,5120,0,0
580,0x244,03 0D,3331,1,1
588,0x24C,02 0E,3586,0,1
593,0x251,03 0D,3331,1,1
601,0x259,02 0E,3586,0,1
606,0x25E,03 0D,3331,1,1
614,0x266,02 0E,3586,0,1
617,0x269,00 15,5376,0,0
627,0x273,03 16,5635,1,1
638,0x27E,03 17,5891,1,1
676,0x2A4,04 18,6148,0,2
710,0x2C6,13 19,6419,1,9
748,0x2EC,04 18,6148,0,2
782,0x30E,13 19,6419,1,9
875,0x36B,0E 1A,6670,0,7
899,0x383,0E 1A,6670,0,7
989,0x3DD,01 1B,6913,1,0
1017,0x3F9,05 1C,7173,1,2
1022,0x3FE,00 14,5120,0,0
1027,0x403,03 1D,7427,1,1
1042,0x412,05 1E,7685,1,2
1051,0x41B,07 1F,7943,1,3
1057,0x421,02 20,8194,0,1
1067,0x42B,04 21,8452,0,2
1076,0x434,08 22,8712,0,4
1091,0x443,0A 23,8970,0,5
1102,0x44E,03 24,9219,1,1
1121,0x461,03 25,9475,1,1
1128,0x468,02 26,9730,0,1
1133,0x46D,03 11,4355,1,1
1143,0x477,05 27,9989,1,2
1149,0x47D,03 28,10243,1,1
1159,0x487,02 29,10498,0,1
1172,0x494,05 1E,7685,1,2
1224,0x4C8,04 2A,10756,0,2
1231,0x4CF,04 2B,11012,0,2
1242,0x4DA,0A 2C,11274,0,5
1250,0x4E2,01 2D,11521,1,0
1253,0x4E5,04 2A,10756,0,2
1260,0x4EC,04 2B,11012,0,2
1271,0x4F7,0A 2C,11274,0,5
1279,0x4FF,01 2D,11521,1,0
1282,0x502,04 2A,10756,0,2
1289,0x509,04 2B,11012,0,2
1300,0x514,0A 2C,11274,0,5
1311,0x51F,04 2A,10756,0,2
1318,0x526,04 2B,11012,0,2
1329,0x531,0A 2C,11274,0,5
1340,0x53C,04 2A,10756,0,2
1347,0x543,04 2B,11012,0,2
1358,0x54E,0A 2C,11274,0,5
1369,0x559,04 2A,10756,0,2
1376,0x560,04 2B,11012,0,2
1393,0x571,04 2E,11780,0,2
1446,0x5A6,04 18,6148,0,2
1479,0x5C7,13 19,6419,1,9
