offset,offset_hex,length,text,population_term
24,0x18,4,R'>9,
39,0x27,6,=`R'1c,
51,0x33,8,=`R&G9'j,
119,0x77,4,R&;<,
131,0x83,5,pR&1<,
168,0xA8,4,R%U;,
174,0xAE,4,R%U;,
214,0xD6,4,R$v9,
344,0x158,4,"R""Q9",
585,0x249,19,Generic_Dbuffer64_0,
607,0x25F,19,"Team %s, volume #%s",
643,0x283,19,Generic_Dbuffer64_0,
679,0x2A7,19,Generic_Dbuffer64_0,
701,0x2BD,10,Volume #%s,
724,0x2D4,19,Generic_Dbuffer64_0,
760,0x2F8,19,Generic_Dbuffer64_0,
782,0x30E,12,Vol name: %s,
807,0x327,19,Generic_Dbuffer64_0,
1055,0x41F,6,drawMe,
1085,0x43D,6,=`R'1R,
1101,0x44D,5,=`8'R,
1337,0x539,4,^4(=,
1449,0x5A9,4,miss,
1463,0x5B7,4,ziss,
1480,0x5C8,6,_short,
1699,0x6A3,6,"&9%8%,",
1713,0x6B1,8,28%R!LR!,
1757,0x6DD,12,PlayerLayout,
1936,0x790,6,player,
2024,0x7E8,7,Respawn,
2084,0x824,4,PqN7,
2433,0x981,4,Og!5,
2445,0x98D,4,Og!5,
2475,0x9AB,4,Og!6,
2482,0x9B2,4,Og!B,
2501,0x9C5,4,Og!5,
2511,0x9CF,4,Og!6,
2518,0x9D6,4,Og!B,
2559,0x9FF,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
2647,0xA57,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
2750,0xABE,120,"8ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
2889,0xB49,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
2998,0xBB6,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
3453,0xD7D,4, lbs,
