offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
131,0x83,01 00,1,1,0
142,0x8E,02 01,258,0,1
162,0xA2,02 02,514,0,1
179,0xB3,02 03,770,0,1
184,0xB8,02 03,770,0,1
192,0xC0,00 04,1024,0,0
291,0x123,03 05,1283,1,1
307,0x133,03 06,1539,1,1
319,0x13F,05 07,1797,1,2
322,0x142,03 08,2051,1,1
334,0x14E,05 07,1797,1,2
337,0x151,05 09,2309,1,2
362,0x16A,03 0A,2563,1,1
378,0x17A,03 0B,2819,1,1
389,0x185,05 0C,3077,1,2
396,0x18C,03 08,2051,1,1
404,0x194,02 0D,3330,0,1
436,0x1B4,02 0E,3586,0,1
441,0x1B9,03 08,2051,1,1
454,0x1C6,02 0F,3842,0,1
462,0x1CE,02 10,4098,0,1
483,0x1E3,01 11,4353,1,0
498,0x1F2,0F 12,4623,1,7
549,0x225,03 13,4867,1,1
579,0x243,03 13,4867,1,1
592,0x250,01 14,5121,1,0
621,0x26D,03 15,5379,1,1
628,0x274,03 08,2051,1,1
638,0x27E,04 16,5636,0,2
645,0x285,04 17,5892,0,2
672,0x2A0,07 18,6151,1,3
692,0x2B4,05 19,6405,1,2
704,0x2C0,03 1A,6659,1,1
711,0x2C7,03 1A,6659,1,1
947,0x3B3,01 1B,6913,1,0
994,0x3E2,12 1C,7186,0,9
1041,0x411,12 1C,7186,0,9
1081,0x439,03 1D,7427,1,1
1111,0x457,07 1E,7687,1,3
1119,0x45F,04 1F,7940,0,2
1133,0x46D,03 1D,7427,1,1
1181,0x49D,05 20,8197,1,2
1184,0x4A0,03 21,8451,1,1
1212,0x4BC,07 22,8711,1,3
1230,0x4CE,05 23,8965,1,2
1238,0x4D6,05 23,8965,1,2
1251,0x4E3,03 24,9219,1,1
1266,0x4F2,02 25,9474,0,1
1282,0x502,09 26,9737,1,4
1320,0x528,03 27,9987,1,1
1338,0x53A,03 28,10243,1,1
1347,0x543,02 29,10498,0,1
1352,0x548,02 2A,10754,0,1
1364,0x554,03 2B,11011,1,1
1372,0x55C,03 2C,11267,1,1
1379,0x563,03 2D,11523,1,1
1388,0x56C,02 29,10498,0,1
1393,0x571,02 2A,10754,0,1
1404,0x57C,04 2E,11780,0,2
1409,0x581,03 2F,12035,1,1
1416,0x588,03 27,9987,1,1
1424,0x590,03 30,12291,1,1
1431,0x597,03 31,12547,1,1
1438,0x59E,03 32,12803,1,1
1445,0x5A5,03 33,13059,1,1
1452,0x5AC,03 27,9987,1,1
1460,0x5B4,03 08,2051,1,1
1499,0x5DB,03 34,13315,1,1
1509,0x5E5,02 29,10498,0,1
1514,0x5EA,02 2A,10754,0,1
1519,0x5EF,02 35,13570,0,1
1546,0x60A,03 27,9987,1,1
1554,0x612,03 36,13827,1,1
1563,0x61B,03 37,14083,1,1
1570,0x622,03 28,10243,1,1
1576,0x628,03 27,9987,1,1
1585,0x631,03 38,14339,1,1
1592,0x638,03 36,13827,1,1
1601,0x641,03 37,14083,1,1
1611,0x64B,03 28,10243,1,1
1636,0x664,03 08,2051,1,1
1644,0x66C,03 39,14595,1,1
1661,0x67D,03 3A,14851,1,1
1671,0x687,05 3B,15109,1,2
1681,0x691,05 3C,15365,1,2
1692,0x69C,05 3D,15621,1,2
1712,0x6B0,04 3E,15876,0,2
1717,0x6B5,03 3F,16131,1,1
1720,0x6B8,03 40,16387,1,1
1735,0x6C7,0B 41,16651,1,5
1743,0x6CF,04 42,16900,0,2
1754,0x6DA,03 08,2051,1,1
1770,0x6EA,03 0A,2563,1,1
1786,0x6FA,03 43,17155,1,1
1826,0x722,03 44,17411,1,1
1831,0x727,03 45,17667,1,1
