offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
82,0x52,00 00,0,0,0
108,0x6C,01 01,257,1,0
120,0x78,02 02,514,0,1
129,0x81,06 03,774,0,3
134,0x86,04 04,1028,0,2
140,0x8C,00 00,0,0,0
163,0xA3,03 05,1283,1,1
172,0xAC,02 06,1538,0,1
178,0xB2,03 05,1283,1,1
187,0xBB,02 06,1538,0,1
193,0xC1,03 05,1283,1,1
202,0xCA,02 06,1538,0,1
230,0xE6,01 07,1793,1,0
242,0xF2,03 08,2051,1,1
245,0xF5,01 09,2305,1,0
252,0xFC,08 0A,2568,0,4
257,0x101,02 0B,2818,0,1
266,0x10A,00 0C,3072,0,0
284,0x11C,02 0D,3330,0,1
308,0x134,02 0D,3330,0,1
385,0x181,03 0E,3587,1,1
405,0x195,03 0F,3843,1,1
413,0x19D,02 10,4098,0,1
425,0x1A9,00 11,4352,0,0
428,0x1AC,00 12,4608,0,0
433,0x1B1,04 13,4868,0,2
436,0x1B4,00 14,5120,0,0
451,0x1C3,02 15,5378,0,1
482,0x1E2,03 16,5635,1,1
490,0x1EA,02 17,5890,0,1
495,0x1EF,03 16,5635,1,1
503,0x1F7,02 17,5890,0,1
535,0x217,02 0D,3330,0,1
556,0x22C,02 0D,3330,0,1
573,0x23D,02 18,6146,0,1
588,0x24C,02 19,6402,0,1
604,0x25C,02 19,6402,0,1
610,0x262,03 1A,6659,1,1
629,0x275,02 1B,6914,0,1
647,0x287,02 1C,7170,0,1
651,0x28B,03 1D,7427,1,1
661,0x295,08 1E,7688,0,4
673,0x2A1,02 1F,7938,0,1
694,0x2B6,00 20,8192,0,0
709,0x2C5,03 21,8451,1,1
804,0x324,03 08,2051,1,1
905,0x389,02 22,8706,0,1
1005,0x3ED,02 23,8962,0,1
1015,0x3F7,02 23,8962,0,1
1018,0x3FA,00 24,9216,0,0
1133,0x46D,02 22,8706,0,1
1242,0x4DA,02 22,8706,0,1
1247,0x4DF,03 25,9475,1,1
1261,0x4ED,03 21,8451,1,1
1276,0x4FC,03 21,8451,1,1
1304,0x518,03 21,8451,1,1
1350,0x546,07 26,9735,1,3
1379,0x563,03 27,9987,1,1
1382,0x566,03 28,10243,1,1
1394,0x572,07 29,10503,1,3
1658,0x67A,07 2A,10759,1,3
1724,0x6BC,03 2B,11011,1,1
1763,0x6E3,03 21,8451,1,1
1771,0x6EB,03 21,8451,1,1
1775,0x6EF,03 2B,11011,1,1
1805,0x70D,03 2C,11267,1,1
1896,0x768,03 2C,11267,1,1
1958,0x7A6,03 2C,11267,1,1
2021,0x7E5,03 2C,11267,1,1
2061,0x80D,03 2C,11267,1,1
2099,0x833,03 21,8451,1,1
2103,0x837,03 2B,11011,1,1
2131,0x853,03 2C,11267,1,1
2259,0x8D3,03 2B,11011,1,1
2273,0x8E1,07 2A,10759,1,3
2292,0x8F4,03 2B,11011,1,1
2295,0x8F7,03 2C,11267,1,1
2373,0x945,03 2B,11011,1,1
2387,0x953,07 2A,10759,1,3
2406,0x966,03 2B,11011,1,1
2409,0x969,03 2C,11267,1,1
2491,0x9BB,03 0E,3587,1,1
2511,0x9CF,03 2B,11011,1,1
2514,0x9D2,03 2C,11267,1,1
2531,0x9E3,00 2D,11520,0,0
2695,0xA87,03 2E,11779,1,1
2725,0xAA5,1A 2F,12058,0,13
2759,0xAC7,03 30,12291,1,1
2808,0xAF8,03 2E,11779,1,1
2850,0xB22,1A 2F,12058,0,13
2872,0xB38,03 2E,11779,1,1
2899,0xB53,1A 2F,12058,0,13
2912,0xB60,03 2E,11779,1,1
2939,0xB7B,1A 2F,12058,0,13
3058,0xBF2,03 28,10243,1,1
3096,0xC18,03 28,10243,1,1
3181,0xC6D,03 28,10243,1,1
3306,0xCEA,03 2B,11011,1,1
3328,0xD00,03 2B,11011,1,1
3441,0xD71,02 22,8706,0,1
3624,0xE28,03 27,9987,1,1
3638,0xE36,03 27,9987,1,1
3658,0xE4A,03 27,9987,1,1
3675,0xE5B,03 27,9987,1,1
3751,0xEA7,02 22,8706,0,1
3802,0xEDA,02 22,8706,0,1
3932,0xF5C,02 23,8962,0,1
3942,0xF66,02 23,8962,0,1
3945,0xF69,00 24,9216,0,0
4021,0xFB5,02 31,12546,0,1
4134,0x1026,02 23,8962,0,1
4144,0x1030,02 23,8962,0,1
4147,0x1033,00 24,9216,0,0
4223,0x107F,02 22,8706,0,1
4316,0x10DC,02 22,8706,0,1
4432,0x1150,02 22,8706,0,1
4640,0x1220,02 31,12546,0,1
4786,0x12B2,02 31,12546,0,1
4843,0x12EB,01 32,12801,1,0
4853,0x12F5,01 33,13057,1,0
4925,0x133D,01 34,13313,1,0
4936,0x1348,03 16,5635,1,1
4972,0x136C,13 35,13587,1,9
4979,0x1373,03 16,5635,1,1
5013,0x1395,13 35,13587,1,9
5204,0x1454,03 1D,7427,1,1
5215,0x145F,03 36,13827,1,1
5270,0x1496,05 37,14085,1,2
5303,0x14B7,05 38,14341,1,2
