offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
86,0x56,00 00,0,0,0
89,0x59,01 01,257,1,0
101,0x65,02 02,514,0,1
110,0x6E,06 03,774,0,3
115,0x73,04 04,1028,0,2
121,0x79,00 00,0,0,0
166,0xA6,01 05,1281,1,0
178,0xB2,03 06,1539,1,1
181,0xB5,01 07,1793,1,0
188,0xBC,08 08,2056,0,4
193,0xC1,02 09,2306,0,1
202,0xCA,00 0A,2560,0,0
220,0xDC,02 0B,2818,0,1
244,0xF4,02 0B,2818,0,1
321,0x141,03 0C,3075,1,1
341,0x155,03 0D,3331,1,1
349,0x15D,02 0E,3586,0,1
361,0x169,00 0F,3840,0,0
364,0x16C,00 10,4096,0,0
369,0x171,04 11,4356,0,2
372,0x174,00 12,4608,0,0
387,0x183,02 13,4866,0,1
418,0x1A2,03 14,5123,1,1
426,0x1AA,02 15,5378,0,1
431,0x1AF,03 14,5123,1,1
439,0x1B7,02 15,5378,0,1
471,0x1D7,02 0B,2818,0,1
492,0x1EC,02 0B,2818,0,1
509,0x1FD,02 16,5634,0,1
524,0x20C,02 17,5890,0,1
540,0x21C,02 17,5890,0,1
546,0x222,03 18,6147,1,1
565,0x235,02 19,6402,0,1
583,0x247,02 1A,6658,0,1
587,0x24B,03 1B,6915,1,1
597,0x255,08 1C,7176,0,4
609,0x261,02 1D,7426,0,1
630,0x276,00 1E,7680,0,0
645,0x285,03 1F,7939,1,1
740,0x2E4,03 06,1539,1,1
841,0x349,02 20,8194,0,1
941,0x3AD,02 21,8450,0,1
951,0x3B7,02 21,8450,0,1
954,0x3BA,00 22,8704,0,0
1069,0x42D,02 20,8194,0,1
1178,0x49A,02 20,8194,0,1
1183,0x49F,03 23,8963,1,1
1197,0x4AD,03 1F,7939,1,1
1212,0x4BC,03 1F,7939,1,1
1240,0x4D8,03 1F,7939,1,1
1286,0x506,07 24,9223,1,3
1315,0x523,03 25,9475,1,1
1318,0x526,03 26,9731,1,1
1330,0x532,07 27,9991,1,3
1594,0x63A,07 28,10247,1,3
1660,0x67C,03 29,10499,1,1
1699,0x6A3,03 1F,7939,1,1
1707,0x6AB,03 1F,7939,1,1
1711,0x6AF,03 29,10499,1,1
1741,0x6CD,03 2A,10755,1,1
1832,0x728,03 2A,10755,1,1
1894,0x766,03 2A,10755,1,1
1957,0x7A5,03 2A,10755,1,1
1997,0x7CD,03 2A,10755,1,1
2035,0x7F3,03 1F,7939,1,1
2039,0x7F7,03 29,10499,1,1
2067,0x813,03 2A,10755,1,1
2195,0x893,03 29,10499,1,1
2209,0x8A1,07 28,10247,1,3
2228,0x8B4,03 29,10499,1,1
2231,0x8B7,03 2A,10755,1,1
2309,0x905,03 29,10499,1,1
2323,0x913,07 28,10247,1,3
2342,0x926,03 29,10499,1,1
2345,0x929,03 2A,10755,1,1
2427,0x97B,03 0C,3075,1,1
2447,0x98F,03 29,10499,1,1
2450,0x992,03 2A,10755,1,1
2467,0x9A3,00 2B,11008,0,0
2631,0xA47,03 2C,11267,1,1
2661,0xA65,1A 2D,11546,0,13
