offset,offset_hex,length,text,population_term
214,0xD6,5,XpHud,
225,0xE1,18,MpLinearSuppressor,
296,0x128,22,net_player_left_region,
450,0x1C2,20,AAPrompts_PlayerList,
476,0x1DC,15,AAPrompts_Stats,
514,0x202,9,MP_Ticker,
529,0x211,10,WeaponAmmo,
554,0x22A,10,WeaponAmmo,
570,0x23A,12,HudGamerList,
650,0x28A,14,XP_AA_complete,
775,0x307,65,Ho?STAT_INCREASE_INT_NOW: Attempting to use a Stat out of bounds.,
861,0x35D,79,oNSTAT_INCREASE_INT_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
956,0x3BC,112,"""onSTAT_INCREASE_INT_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
1081,0x439,96,jo^STAT_INCREASE_INT_NOW: iIncreaseValue < 0 - I am turning this into a positive number for you!,
1546,0x60A,4, lbs,
1610,0x64A,4, ton,
1695,0x69F,5,"@<@<,",
1763,0x6E3,5, days,
1785,0x6F9,4, day,
1910,0x776,4, min,
1973,0x7B5,4, sec,
2013,0x7DD,4, min,
2083,0x823,4, sec,
2117,0x845,4, sec,
2368,0x940,5, days,
2390,0x956,4, day,
2419,0x973,7,stat_of,
2704,0xA90,11,Common_Null,
2927,0xB6F,4,lvl_,
2946,0xB82,5,_icon,
2969,0xB99,20,icon_prestige_award_,
3013,0xBC5,14,icon_prestige_,
3061,0xBF5,21,icon_prestige_award_4,
3092,0xC14,20,icon_prestige_award_,
3135,0xC3F,6,_color,
3250,0xCB2,4,0%d8,
3326,0xCFE,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
3658,0xE4A,28,STAT_GET_VALUE: STAT_INVALID,
3702,0xE76,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
3792,0xED0,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
3883,0xF2B,73,"""oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange",
