offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
82,0x52,00 00,0,0,0
85,0x55,01 01,257,1,0
97,0x61,02 02,514,0,1
106,0x6A,06 03,774,0,3
111,0x6F,04 04,1028,0,2
117,0x75,00 00,0,0,0
164,0xA4,06 03,774,0,3
173,0xAD,01 05,1281,1,0
185,0xB9,03 06,1539,1,1
188,0xBC,01 07,1793,1,0
195,0xC3,08 08,2056,0,4
200,0xC8,02 09,2306,0,1
209,0xD1,00 0A,2560,0,0
227,0xE3,02 0B,2818,0,1
251,0xFB,02 0B,2818,0,1
328,0x148,03 0C,3075,1,1
348,0x15C,03 0D,3331,1,1
356,0x164,02 0E,3586,0,1
368,0x170,00 0F,3840,0,0
371,0x173,00 10,4096,0,0
376,0x178,04 11,4356,0,2
379,0x17B,00 12,4608,0,0
394,0x18A,02 13,4866,0,1
425,0x1A9,03 14,5123,1,1
433,0x1B1,02 15,5378,0,1
438,0x1B6,03 14,5123,1,1
446,0x1BE,02 15,5378,0,1
478,0x1DE,02 0B,2818,0,1
499,0x1F3,02 0B,2818,0,1
516,0x204,02 16,5634,0,1
531,0x213,02 17,5890,0,1
547,0x223,02 17,5890,0,1
553,0x229,03 18,6147,1,1
572,0x23C,02 19,6402,0,1
590,0x24E,02 1A,6658,0,1
594,0x252,03 1B,6915,1,1
604,0x25C,08 1C,7176,0,4
616,0x268,02 1D,7426,0,1
637,0x27D,00 1E,7680,0,0
652,0x28C,03 1F,7939,1,1
747,0x2EB,03 06,1539,1,1
848,0x350,02 20,8194,0,1
948,0x3B4,02 21,8450,0,1
958,0x3BE,02 21,8450,0,1
961,0x3C1,00 22,8704,0,0
1076,0x434,02 20,8194,0,1
1185,0x4A1,02 20,8194,0,1
1190,0x4A6,03 23,8963,1,1
1204,0x4B4,03 1F,7939,1,1
1219,0x4C3,03 1F,7939,1,1
1247,0x4DF,03 1F,7939,1,1
1293,0x50D,07 24,9223,1,3
1322,0x52A,03 25,9475,1,1
1325,0x52D,03 26,9731,1,1
1337,0x539,07 27,9991,1,3
1601,0x641,07 28,10247,1,3
1667,0x683,03 29,10499,1,1
1706,0x6AA,03 1F,7939,1,1
1714,0x6B2,03 1F,7939,1,1
1718,0x6B6,03 29,10499,1,1
1748,0x6D4,03 2A,10755,1,1
1839,0x72F,03 2A,10755,1,1
1901,0x76D,03 2A,10755,1,1
1964,0x7AC,03 2A,10755,1,1
2004,0x7D4,03 2A,10755,1,1
2042,0x7FA,03 1F,7939,1,1
