offset,offset_hex,length,text,population_term
221,0xDD,5,XpHud,
232,0xE8,18,MpLinearSuppressor,
303,0x12F,22,net_player_left_region,
457,0x1C9,20,AAPrompts_PlayerList,
483,0x1E3,15,AAPrompts_Stats,
521,0x209,9,MP_Ticker,
536,0x218,10,WeaponAmmo,
561,0x231,10,WeaponAmmo,
577,0x241,12,HudGamerList,
657,0x291,14,XP_AA_complete,
782,0x30E,65,Ho?STAT_INCREASE_INT_NOW: Attempting to use a Stat out of bounds.,
868,0x364,79,oNSTAT_INCREASE_INT_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
963,0x3C3,112,"""onSTAT_INCREASE_INT_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
1088,0x440,96,jo^STAT_INCREASE_INT_NOW: iIncreaseValue < 0 - I am turning this into a positive number for you!,
1553,0x611,4, lbs,
1617,0x651,4, ton,
1702,0x6A6,5,"@<@<,",
1770,0x6EA,5, days,
1792,0x700,4, day,
1917,0x77D,4, min,
1980,0x7BC,4, sec,
2020,0x7E4,4, min,
2090,0x82A,4, sec,
2124,0x84C,4, sec,
2375,0x947,5, days,
2397,0x95D,4, day,
2426,0x97A,7,stat_of,
2711,0xA97,11,Common_Null,
2934,0xB76,4,lvl_,
2953,0xB89,5,_icon,
2976,0xBA0,20,icon_prestige_award_,
3020,0xBCC,14,icon_prestige_,
3068,0xBFC,21,icon_prestige_award_4,
3099,0xC1B,20,icon_prestige_award_,
3142,0xC46,6,_color,
3257,0xCB9,4,0%d8,
3333,0xD05,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
3665,0xE51,28,STAT_GET_VALUE: STAT_INVALID,
3709,0xE7D,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
3799,0xED7,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
3890,0xF32,73,"""oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange",
4001,0xFA1,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
4092,0xFFC,73,"""oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange",
4186,0x105A,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
4294,0x10C6,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
4489,0x1189,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
4635,0x121B,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
4888,0x1318,17,mp_aa_vote_replay,
4917,0x1335,6,"3<Z;Y,",
4931,0x1343,15,mp_aa_vote_skip,
4958,0x135E,5,3<Yz-,
5191,0x1447,21,DISABLE_HORSE_WHISTLE,
5224,0x1468,21,DISABLE_HORSE_WHISTLE,
5248,0x1480,4,6+~-,
5292,0x14AC,14,INVALID REGION,
5416,0x1528,8,v_region,
5588,0x15D4,21,DISABLE_HORSE_WHISTLE,
5613,0x15ED,4,9+~-,
5683,0x1633,5,:T3~-,
5791,0x169F,5,/<1~-,
5875,0x16F3,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
5945,0x1739,85, oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
6522,0x197A,10,EVERYTHING,
6536,0x1988,6,SILENT,
6546,0x1992,4,IDLE,
6554,0x199A,6,IDLE_2,
6564,0x19A4,8,PASTORAL,
6576,0x19B0,12,PASTORAL_LOW,
6592,0x19C0,13,PASTORAL_HIGH,
6609,0x19D1,8,SUSPENSE,
6621,0x19DD,12,SUSPENSE_LOW,
6637,0x19ED,13,SUSPENSE_HIGH,
6654,0x19FE,13,SUSPENSE_DRUM,
6671,0x1A0F,12,SUSPENSE_FOG,
6687,0x1A1F,8,DRAMATIC,
6699,0x1A2B,12,DRAMATIC_LOW,
6715,0x1A3B,14,DRAMATIC_LOW_2,
6733,0x1A4D,14,DRAMATIC_LOW_3,
