offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
86,0x56,00 00,0,0,0
89,0x59,01 01,257,1,0
101,0x65,02 02,514,0,1
110,0x6E,06 03,774,0,3
115,0x73,04 04,1028,0,2
121,0x79,00 00,0,0,0
147,0x93,03 05,1283,1,1
156,0x9C,02 06,1538,0,1
162,0xA2,03 05,1283,1,1
171,0xAB,02 06,1538,0,1
177,0xB1,03 05,1283,1,1
186,0xBA,02 06,1538,0,1
211,0xD3,01 07,1793,1,0
223,0xDF,03 08,2051,1,1
226,0xE2,01 09,2305,1,0
233,0xE9,08 0A,2568,0,4
238,0xEE,02 0B,2818,0,1
247,0xF7,00 0C,3072,0,0
265,0x109,02 0D,3330,0,1
289,0x121,02 0D,3330,0,1
366,0x16E,03 0E,3587,1,1
386,0x182,03 0F,3843,1,1
394,0x18A,02 10,4098,0,1
406,0x196,00 11,4352,0,0
409,0x199,00 12,4608,0,0
414,0x19E,04 13,4868,0,2
417,0x1A1,00 14,5120,0,0
432,0x1B0,02 15,5378,0,1
463,0x1CF,03 16,5635,1,1
471,0x1D7,02 17,5890,0,1
476,0x1DC,03 16,5635,1,1
484,0x1E4,02 17,5890,0,1
516,0x204,02 0D,3330,0,1
537,0x219,02 0D,3330,0,1
554,0x22A,02 18,6146,0,1
569,0x239,02 19,6402,0,1
585,0x249,02 19,6402,0,1
591,0x24F,03 1A,6659,1,1
610,0x262,02 1B,6914,0,1
628,0x274,02 1C,7170,0,1
632,0x278,03 1D,7427,1,1
642,0x282,08 1E,7688,0,4
654,0x28E,02 1F,7938,0,1
675,0x2A3,00 20,8192,0,0
690,0x2B2,03 21,8451,1,1
785,0x311,03 08,2051,1,1
886,0x376,02 22,8706,0,1
986,0x3DA,02 23,8962,0,1
996,0x3E4,02 23,8962,0,1
999,0x3E7,00 24,9216,0,0
1114,0x45A,02 22,8706,0,1
1223,0x4C7,02 22,8706,0,1
1228,0x4CC,03 25,9475,1,1
1242,0x4DA,03 21,8451,1,1
1257,0x4E9,03 21,8451,1,1
1285,0x505,03 21,8451,1,1
1331,0x533,07 26,9735,1,3
1360,0x550,03 27,9987,1,1
1363,0x553,03 28,10243,1,1
1375,0x55F,07 29,10503,1,3
1639,0x667,07 2A,10759,1,3
1705,0x6A9,03 2B,11011,1,1
1744,0x6D0,03 21,8451,1,1
1752,0x6D8,03 21,8451,1,1
1756,0x6DC,03 2B,11011,1,1
1786,0x6FA,03 2C,11267,1,1
1877,0x755,03 2C,11267,1,1
1939,0x793,03 2C,11267,1,1
2002,0x7D2,03 2C,11267,1,1
2042,0x7FA,03 2C,11267,1,1
2080,0x820,03 21,8451,1,1
2084,0x824,03 2B,11011,1,1
2112,0x840,03 2C,11267,1,1
2240,0x8C0,03 2B,11011,1,1
2254,0x8CE,07 2A,10759,1,3
2273,0x8E1,03 2B,11011,1,1
2276,0x8E4,03 2C,11267,1,1
2354,0x932,03 2B,11011,1,1
2368,0x940,07 2A,10759,1,3
2387,0x953,03 2B,11011,1,1
2390,0x956,03 2C,11267,1,1
2472,0x9A8,03 0E,3587,1,1
