offset,offset_hex,length,text,population_term
259,0x103,5,XpHud,
270,0x10E,18,MpLinearSuppressor,
341,0x155,22,net_player_left_region,
495,0x1EF,20,AAPrompts_PlayerList,
521,0x209,15,AAPrompts_Stats,
559,0x22F,9,MP_Ticker,
574,0x23E,10,WeaponAmmo,
599,0x257,10,WeaponAmmo,
615,0x267,12,HudGamerList,
677,0x2A5,4, ;_c,
695,0x2B7,14,XP_AA_complete,
820,0x334,65,Ho?STAT_INCREASE_INT_NOW: Attempting to use a Stat out of bounds.,
906,0x38A,79,oNSTAT_INCREASE_INT_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
1001,0x3E9,112,"$onSTAT_INCREASE_INT_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
1126,0x466,96,jo^STAT_INCREASE_INT_NOW: iIncreaseValue < 0 - I am turning this into a positive number for you!,
1591,0x637,4, lbs,
1655,0x677,4, ton,
1740,0x6CC,5,"@<@<,",
1808,0x710,5, days,
1830,0x726,4, day,
1955,0x7A3,4, min,
2018,0x7E2,4, sec,
2058,0x80A,4, min,
2128,0x850,4, sec,
2162,0x872,4, sec,
2413,0x96D,5, days,
2435,0x983,4, day,
2464,0x9A0,7,stat_of,
2749,0xABD,11,Common_Null,
2972,0xB9C,4,lvl_,
2991,0xBAF,5,_icon,
3014,0xBC6,20,icon_prestige_award_,
3058,0xBF2,14,icon_prestige_,
3106,0xC22,21,icon_prestige_award_4,
3137,0xC41,20,icon_prestige_award_,
3180,0xC6C,6,_color,
3295,0xCDF,4,0%d8,
3371,0xD2B,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
3703,0xE77,28,STAT_GET_VALUE: STAT_INVALID,
3747,0xEA3,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
3837,0xEFD,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
3928,0xF58,73,$oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
4039,0xFC7,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
4130,0x1022,73,$oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
4224,0x1080,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
4332,0x10EC,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
4527,0x11AF,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
4673,0x1241,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
4926,0x133E,17,mp_aa_vote_replay,
4955,0x135B,6,"5<Z;Y,",
4969,0x1369,15,mp_aa_vote_skip,
4996,0x1384,5,5<Yz-,
5229,0x146D,21,DISABLE_HORSE_WHISTLE,
5262,0x148E,21,DISABLE_HORSE_WHISTLE,
5286,0x14A6,4,8+~-,
5330,0x14D2,14,INVALID REGION,
5454,0x154E,8,v_region,
5626,0x15FA,21,DISABLE_HORSE_WHISTLE,
5651,0x1613,4,;+~-,
5721,0x1659,5,:T3~-,
5829,0x16C5,5,/<1~-,
5913,0x1719,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
5983,0x175F,85,"""oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ",
6560,0x19A0,10,EVERYTHING,
6574,0x19AE,6,SILENT,
6584,0x19B8,4,IDLE,
6592,0x19C0,6,IDLE_2,
6602,0x19CA,8,PASTORAL,
6614,0x19D6,12,PASTORAL_LOW,
6630,0x19E6,13,PASTORAL_HIGH,
6647,0x19F7,8,SUSPENSE,
6659,0x1A03,12,SUSPENSE_LOW,
6675,0x1A13,13,SUSPENSE_HIGH,
6692,0x1A24,13,SUSPENSE_DRUM,
6709,0x1A35,12,SUSPENSE_FOG,
6725,0x1A45,8,DRAMATIC,
6737,0x1A51,12,DRAMATIC_LOW,
6753,0x1A61,14,DRAMATIC_LOW_2,
6771,0x1A73,14,DRAMATIC_LOW_3,
6789,0x1A85,14,DRAMATIC_LOW_4,
6807,0x1A97,17,DRAMATIC_SUSPENSE,
6828,0x1AAC,19,DRAMATIC_SUSPENSE_2,
6851,0x1AC3,13,DRAMATIC_HIGH,
6868,0x1AD4,17,DRAMATIC_GUNFIGHT,
6889,0x1AE9,12,DRAMATIC_ALT,
6905,0x1AF9,10,DRAMATIC_2,
6919,0x1B07,10,DRAMATIC_3,
6933,0x1B15,10,DRAMATIC_4,
6947,0x1B23,5,CHASE,
6956,0x1B2C,15,CHASE_EXTRA_LOW,
6975,0x1B3F,9,CHASE_LOW,
6988,0x1B4C,10,CHASE_HIGH,
7002,0x1B5A,9,CHASE_ELK,
7015,0x1B67,9,CHASE_ALT,
7028,0x1B74,11,MERCH_CHASE,
7043,0x1B83,13,ARMY_GUNFIGHT,
7060,0x1B94,17,ARMY_GUNFIGHT_LOW,
7081,0x1BA9,18,ARMY_GUNFIGHT_HIGH,
7103,0x1BBF,14,REBEL_GUNFIGHT,
7121,0x1BD1,8,GUNFIGHT,
7133,0x1BDD,10,GUNFIGHT_2,
7147,0x1BEB,10,GUNFIGHT_4,
7161,0x1BF9,11,GUNFIGHT_EX,
7176,0x1C08,12,GUNFIGHT_LOW,
7192,0x1C18,14,GUNFIGHT_LOW_2,
7210,0x1C2A,13,GUNFIGHT_HIGH,
7227,0x1C3B,15,GUNFIGHT_HIGH_2,
7246,0x1C4E,17,GUNFIGHT_ALT_HIGH,
7267,0x1C63,12,GUNFIGHT_ELK,
7283,0x1C73,19,GUNFIGHT_CHASE_HIGH,
7306,0x1C8A,16,INTENSE_GUNFIGHT,
7326,0x1C9E,22,SUSPENSE_GUNFIGHT_HIGH,
7352,0x1CB8,9,MERCH_GUN,
7365,0x1CC5,5,HAPPY,
7374,0x1CCE,9,HAPPY_LOW,
7387,0x1CDB,10,HAPPY_HIGH,
7401,0x1CE9,8,RIDING_1,
7413,0x1CF5,8,RIDING_2,
7425,0x1D01,8,RIDING_3,
7437,0x1D0D,8,RIDING_4,
7449,0x1D19,10,RIDING_ALT,
7463,0x1D27,4,TRAP,
7471,0x1D2F,4,BARN,
7479,0x1D37,7,MP_IDLE,
7490,0x1D42,7,MP_SUSP,
7508,0x1D54,8,FINISHED,
7740,0x1E3C,5,ArmUp,
7761,0x1E51,5,ArmUp,
7896,0x1ED8,59,?o9Failed to create iterator to release actors to netLayout,
8032,0x1F60,9,netLayout,
8071,0x1F87,4,P+~-,
8199,0x2007,4,R!Cc,
8212,0x2014,4,R!Cc,
8465,0x2111,4,R!)8,
8475,0x211B,4,R!)8,
8611,0x21A3,7,'((()A ,
8629,0x21B5,7,'&(&)A ,
8738,0x2222,4,RrXb,
8744,0x2228,4,"R""0b",
8778,0x224A,5,",RnVM",
8816,0x2270,5,"R""x+b",
8973,0x230D,11,FM Level - ,
9039,0x234F,4,IDLE,
9066,0x236A,4,IDLE,
9099,0x238B,4,"y%(,",
9226,0x240A,22,MP_AA_already_finished,
9277,0x243D,4,/R=K,
9376,0x24A0,9,MP_Ticker,
9391,0x24AF,10,WeaponAmmo,
9407,0x24BF,10,WeaponAmmo,
9423,0x24CF,21,mp_aa_stats_vote_skip,
9447,0x24E7,11,Common_Null,
9464,0x24F8,23,mp_aa_stats_vote_replay,
9490,0x2512,11,Common_Null,
9515,0x252B,4,<a;a,
9632,0x25A0,4,R3Rc,
9639,0x25A7,4,R3'8,
9654,0x25B6,4,R3Rc,
9661,0x25BD,4,R3'8,
9706,0x25EA,14,NotorietyMeter,
9742,0x260E,14,NotorietyMeter,
9775,0x262F,21,RadialWeaponQuickPick,
9803,0x264B,4,6;]c,
9814,0x2656,4,".;Z,",
9832,0x2668,6,"R3';Y,",
9852,0x267C,4,R3'b,
9875,0x2693,4,R0ln,
9917,0x26BD,24,mp_aa_vote_replay_passed,
9947,0x26DB,14,AA vote passed,
9973,0x26F5,4,%TR+,
9996,0x270C,4,>$R+,
10001,0x2711,4,R*3c,
10024,0x2728,22,mp_aa_vote_skip_passed,
10052,0x2744,14,AA vote passed,
10198,0x27D6,5,3PqNR,
10207,0x27DF,8,'PqNOqP4,
10223,0x27EF,7,PqNOqP4,
10238,0x27FE,5,PqNR(,
10290,0x2832,4,OqP4,
10301,0x283D,4,OqP4,
10343,0x2867,4,OqP4,
10357,0x2875,4,OqP4,
10530,0x2922,4,R)Xc,
10539,0x292B,4,OqP4,
10571,0x294B,4,QqOb,
10594,0x2962,4,PqPh,
10652,0x299C,4,OqP4,
10663,0x29A7,4,OqP4,
10781,0x2A1D,4,4`?|,
11214,0x2BCE,4,R/o7,
11259,0x2BFB,4,R/bc,
11273,0x2C09,4,R/H7,
11287,0x2C17,13,Game LockStep,
11301,0x2C25,68,"oC--- LOCAL PLAYER %s, #%s, is moving on, assumably to state #%s ---",
11449,0x2CB9,13,Game LockStep,
11463,0x2CC7,87,"oV--- LOCAL PLAYER %s (#%s), the host, is sending go-ahead to state #%s with ID: %s ---",
11664,0x2D90,14,Lockstep Ditch,
11679,0x2D9F,70,oEI have the authority as lowest-numbered valid slot to order a ditch.,
11827,0x2E33,4,R.X9,
12058,0x2F1A,4,R.X9,
12191,0x2F9F,43,Zo)Next lockstep state same as last state (,
12250,0x2FDA,15,). May be fine.,
12290,0x3002,13,Game LockStep,
12304,0x3010,48,"o/LOCAL PLAYER %s, #%s, wants to go to state #%s",
12482,0x30C2,24,mp_aa_vote_total_replays,
12517,0x30E5,26,mp_aa_vote_total_continues,
12554,0x310A,25,mp_aa_vote_total_required,
12597,0x3135,21,mp_aa_plist_vote_skip,
12621,0x314D,15,mp_aa_vote_skip,
12642,0x3162,23,mp_aa_plist_vote_replay,
12668,0x317C,17,mp_aa_vote_replay,
12691,0x3193,21,mp_aa_plist_vote_skip,
12718,0x31AE,23,mp_aa_plist_vote_replay,
12756,0x31D4,21,mp_aa_stats_vote_skip,
12780,0x31EC,15,mp_aa_vote_skip,
12801,0x3201,23,mp_aa_stats_vote_replay,
12827,0x321B,17,mp_aa_vote_replay,
12850,0x3232,21,mp_aa_stats_vote_skip,
12877,0x324D,23,mp_aa_stats_vote_replay,
13102,0x332E,13,Local AA vote,
13120,0x3340,4,s%@R,
13130,0x334A,4,3:34,
13318,0x3406,12,HudGamerList,
13336,0x3418,20,AAPrompts_PlayerList,
13360,0x3430,6,R4HR4:,
13547,0x34EB,47,<o-Tried to get genint from not-yet-valid slot ,
13640,0x3548,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
13809,0x35F1,7,R4HR4:o,
13817,0x35F9,12,HudGamerList,
13835,0x360B,15,AAPrompts_Stats,
13878,0x3636,11,Common_Null,
13896,0x3648,11,Common_Null,
13914,0x365A,11,Common_Null,
13932,0x366C,11,Common_Null,
13950,0x367E,11,Common_Null,
13968,0x3690,11,Common_Null,
13986,0x36A2,11,Common_Null,
14003,0x36B3,23,mp_plist_personal_stats,
14029,0x36CD,7,",i=@r@j",
14037,0x36D5,5,",i=@,",
14057,0x36E9,4,<XP>,
14068,0x36F4,18,mp_plist_score_alt,
14124,0x372C,4,<XP>,
14135,0x3737,24,mp_plist_bonus_score_alt,
14191,0x376F,4,>`y8,
14209,0x3781,28,mp_plist_target_bonus_casual,
14271,0x37BF,28,mp_plist_target_bonus_casual,
14307,0x37E3,28,mp_plist_target_bonus_normal,
14343,0x3807,28,mp_plist_target_bonus_expert,
14379,0x382B,21,mp_plist_target_bonus,
14416,0x3850,4,<XP>,
14464,0x3880,4,<XP>,
14475,0x388B,17,mp_plist_total_xp,
14522,0x38BA,14,mp_plist_kills,
14569,0x38E9,15,mp_plist_deaths,
14615,0x3917,16,mp_plist_assists,
14642,0x3932,4,%&Rl,
14664,0x3948,16,mp_plist_defends,
14713,0x3979,21,mp_plist_combo_streak,
14764,0x39AC,18,mp_plist_headshots,
14793,0x39C9,4,"%""Rl",
14815,0x39DF,13,mp_plist_time,
14891,0x3A2B,19,GENERIC_DBUFFER10_0,
14913,0x3A41,12,MP_Time_Fmt1,
14951,0x3A67,19,GENERIC_DBUFFER10_1,
14973,0x3A7D,12,MP_Time_Fmt1,
15015,0x3AA7,19,GENERIC_DBUFFER10_2,
15037,0x3ABD,11,MP_Time_Fmt,
15061,0x3AD5,19,GENERIC_DBUFFER10_1,
15086,0x3AEE,19,GENERIC_DBUFFER10_0,
15129,0x3B19,19,GENERIC_DBUFFER10_3,
15151,0x3B2F,12,MP_time_Fmt1,
15173,0x3B45,19,GENERIC_DBUFFER10_2,
15202,0x3B62,19,GENERIC_DBUFFER32_0,
15224,0x3B78,12,MP_Time_Fmt2,
15247,0x3B8F,19,GENERIC_DBUFFER10_3,
15279,0x3BAF,19,GENERIC_DBUFFER32_0,
15301,0x3BC5,12,MP_Time_Fmt2,
15324,0x3BDC,19,GENERIC_DBUFFER10_2,
15355,0x3BFB,19,GENERIC_DBUFFER32_0,
15389,0x3C1D,19,GENERIC_DBUFFER10_2,
15720,0x3D68,28,MEX_MISSION_COMPLETE_SONG_01,
15755,0x3D8B,28,FTR_MISSION_COMPLETE_SONG_01,
16334,0x3FCE,4,/Rj ,
16344,0x3FD8,4,Ril%,
16351,0x3FDF,5,>\RiR,
16359,0x3FE7,6,>\RiR8,
16386,0x4002,4,Ri)b,
16393,0x4009,6,%dRi)8,
16409,0x4019,4,?\R2,
16418,0x4022,5,>\RiR,
16426,0x402A,5,>\RiR,
16440,0x4038,5,R@<~-,
16451,0x4043,5,XpHud,
16524,0x408C,5,RQ2RQ,
16548,0x40A4,7,*%C1++j,
16681,0x4129,4,9K8K,
16722,0x4152,4,RAX.,
16736,0x4160,8,SaveLoad,
16745,0x4169,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
16873,0x41E9,7,RMO++RL,
16881,0x41F1,7,++RL/++,
16907,0x420B,7,RClRC9%,
16943,0x422F,5,RB3z-,
17257,0x4369,4,Ggz-,
17324,0x43AC,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
