offset,offset_hex,length,text,population_term
181,0xB5,9,twinRocks,
193,0xC1,12,waterWheel01,
218,0xDA,9,twinRocks,
230,0xE6,12,waterWheel01,
256,0x100,9,twinRocks,
268,0x10C,12,waterWheel01,
294,0x126,9,twinRocks,
306,0x132,12,waterWheel01,
331,0x14B,9,twinRocks,
343,0x157,12,waterWheel01,
369,0x171,9,twinRocks,
381,0x17D,12,waterWheel01,
487,0x1E7,5,XpHud,
498,0x1F2,18,MpLinearSuppressor,
569,0x239,22,net_player_left_region,
723,0x2D3,20,AAPrompts_PlayerList,
749,0x2ED,15,AAPrompts_Stats,
787,0x313,9,MP_Ticker,
802,0x322,10,WeaponAmmo,
827,0x33B,10,WeaponAmmo,
843,0x34B,12,HudGamerList,
905,0x389,4,!;_c,
923,0x39B,14,XP_AA_complete,
1048,0x418,65,Ho?STAT_INCREASE_INT_NOW: Attempting to use a Stat out of bounds.,
1134,0x46E,79,oNSTAT_INCREASE_INT_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
1229,0x4CD,112,"%onSTAT_INCREASE_INT_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
1354,0x54A,96,jo^STAT_INCREASE_INT_NOW: iIncreaseValue < 0 - I am turning this into a positive number for you!,
1819,0x71B,4, lbs,
1883,0x75B,4, ton,
1968,0x7B0,5,"@<@<,",
2036,0x7F4,5, days,
2058,0x80A,4, day,
2183,0x887,4, min,
2246,0x8C6,4, sec,
2286,0x8EE,4, min,
2356,0x934,4, sec,
2390,0x956,4, sec,
2641,0xA51,5, days,
2663,0xA67,4, day,
2692,0xA84,7,stat_of,
2977,0xBA1,11,Common_Null,
3200,0xC80,4,lvl_,
3219,0xC93,5,_icon,
3242,0xCAA,20,icon_prestige_award_,
3286,0xCD6,14,icon_prestige_,
3334,0xD06,21,icon_prestige_award_4,
3365,0xD25,20,icon_prestige_award_,
3408,0xD50,6,_color,
3523,0xDC3,4,0%d8,
3599,0xE0F,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
3931,0xF5B,28,STAT_GET_VALUE: STAT_INVALID,
3975,0xF87,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
4065,0xFE1,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
4156,0x103C,73,%oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
4267,0x10AB,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
4358,0x1106,73,%oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
4452,0x1164,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
4560,0x11D0,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
4755,0x1293,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
4901,0x1325,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
5154,0x1422,17,mp_aa_vote_replay,
5183,0x143F,6,"6<Z;Y,",
5197,0x144D,15,mp_aa_vote_skip,
5224,0x1468,5,6<Yz-,
5457,0x1551,21,DISABLE_HORSE_WHISTLE,
5490,0x1572,21,DISABLE_HORSE_WHISTLE,
5514,0x158A,4,9+~-,
5558,0x15B6,14,INVALID REGION,
5682,0x1632,8,v_region,
5854,0x16DE,21,DISABLE_HORSE_WHISTLE,
5879,0x16F7,4,<+~-,
5949,0x173D,5,:T3~-,
6057,0x17A9,5,/<1~-,
6141,0x17FD,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
6211,0x1843,85,#oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
6788,0x1A84,10,EVERYTHING,
6802,0x1A92,6,SILENT,
6812,0x1A9C,4,IDLE,
6820,0x1AA4,6,IDLE_2,
6830,0x1AAE,8,PASTORAL,
6842,0x1ABA,12,PASTORAL_LOW,
6858,0x1ACA,13,PASTORAL_HIGH,
6875,0x1ADB,8,SUSPENSE,
6887,0x1AE7,12,SUSPENSE_LOW,
6903,0x1AF7,13,SUSPENSE_HIGH,
6920,0x1B08,13,SUSPENSE_DRUM,
6937,0x1B19,12,SUSPENSE_FOG,
6953,0x1B29,8,DRAMATIC,
6965,0x1B35,12,DRAMATIC_LOW,
6981,0x1B45,14,DRAMATIC_LOW_2,
6999,0x1B57,14,DRAMATIC_LOW_3,
7017,0x1B69,14,DRAMATIC_LOW_4,
7035,0x1B7B,17,DRAMATIC_SUSPENSE,
7056,0x1B90,19,DRAMATIC_SUSPENSE_2,
7079,0x1BA7,13,DRAMATIC_HIGH,
7096,0x1BB8,17,DRAMATIC_GUNFIGHT,
7117,0x1BCD,12,DRAMATIC_ALT,
7133,0x1BDD,10,DRAMATIC_2,
7147,0x1BEB,10,DRAMATIC_3,
7161,0x1BF9,10,DRAMATIC_4,
7175,0x1C07,5,CHASE,
7184,0x1C10,15,CHASE_EXTRA_LOW,
7203,0x1C23,9,CHASE_LOW,
7216,0x1C30,10,CHASE_HIGH,
7230,0x1C3E,9,CHASE_ELK,
7243,0x1C4B,9,CHASE_ALT,
7256,0x1C58,11,MERCH_CHASE,
7271,0x1C67,13,ARMY_GUNFIGHT,
7288,0x1C78,17,ARMY_GUNFIGHT_LOW,
