offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
79,0x4F,00 00,0,0,0
82,0x52,01 01,257,1,0
94,0x5E,02 02,514,0,1
103,0x67,00 00,0,0,0
129,0x81,03 03,771,1,1
144,0x90,01 04,1025,1,0
156,0x9C,03 05,1283,1,1
159,0x9F,01 06,1537,1,0
166,0xA6,08 07,1800,0,4
171,0xAB,02 08,2050,0,1
180,0xB4,00 09,2304,0,0
198,0xC6,02 0A,2562,0,1
222,0xDE,02 0A,2562,0,1
299,0x12B,03 0B,2819,1,1
319,0x13F,03 0C,3075,1,1
327,0x147,02 0D,3330,0,1
339,0x153,00 0E,3584,0,0
342,0x156,00 0F,3840,0,0
347,0x15B,04 10,4100,0,2
350,0x15E,00 11,4352,0,0
365,0x16D,02 12,4610,0,1
396,0x18C,03 13,4867,1,1
404,0x194,02 14,5122,0,1
409,0x199,03 13,4867,1,1
417,0x1A1,02 14,5122,0,1
449,0x1C1,02 0A,2562,0,1
470,0x1D6,02 0A,2562,0,1
487,0x1E7,02 15,5378,0,1
502,0x1F6,02 16,5634,0,1
518,0x206,02 16,5634,0,1
524,0x20C,03 17,5891,1,1
543,0x21F,02 18,6146,0,1
561,0x231,02 19,6402,0,1
565,0x235,03 1A,6659,1,1
575,0x23F,08 1B,6920,0,4
587,0x24B,02 1C,7170,0,1
608,0x260,00 1D,7424,0,0
623,0x26F,03 1E,7683,1,1
718,0x2CE,03 05,1283,1,1
819,0x333,02 1F,7938,0,1
919,0x397,02 20,8194,0,1
929,0x3A1,02 20,8194,0,1
932,0x3A4,00 21,8448,0,0
1047,0x417,02 1F,7938,0,1
1156,0x484,02 1F,7938,0,1
1161,0x489,03 22,8707,1,1
1175,0x497,03 1E,7683,1,1
1190,0x4A6,03 1E,7683,1,1
1218,0x4C2,03 1E,7683,1,1
1264,0x4F0,07 23,8967,1,3
1293,0x50D,03 24,9219,1,1
1296,0x510,03 25,9475,1,1
1308,0x51C,07 26,9735,1,3
1572,0x624,07 27,9991,1,3
1638,0x666,03 28,10243,1,1
1677,0x68D,03 1E,7683,1,1
1685,0x695,03 1E,7683,1,1
1689,0x699,03 28,10243,1,1
1719,0x6B7,03 29,10499,1,1
1810,0x712,03 29,10499,1,1
1872,0x750,03 29,10499,1,1
1935,0x78F,03 29,10499,1,1
1975,0x7B7,03 29,10499,1,1
2013,0x7DD,03 1E,7683,1,1
2017,0x7E1,03 28,10243,1,1
2045,0x7FD,03 29,10499,1,1
2173,0x87D,03 28,10243,1,1
2187,0x88B,07 27,9991,1,3
2206,0x89E,03 28,10243,1,1
2209,0x8A1,03 29,10499,1,1
2287,0x8EF,03 28,10243,1,1
2301,0x8FD,07 27,9991,1,3
2320,0x910,03 28,10243,1,1
2323,0x913,03 29,10499,1,1
2405,0x965,03 0B,2819,1,1
2425,0x979,03 28,10243,1,1
2428,0x97C,03 29,10499,1,1
2445,0x98D,00 2A,10752,0,0
2609,0xA31,03 2B,11011,1,1
2639,0xA4F,1A 2C,11290,0,13
2673,0xA71,03 2D,11523,1,1
2722,0xAA2,03 2B,11011,1,1
2764,0xACC,1A 2C,11290,0,13
2786,0xAE2,03 2B,11011,1,1
2813,0xAFD,1A 2C,11290,0,13
2826,0xB0A,03 2B,11011,1,1
2853,0xB25,1A 2C,11290,0,13
2972,0xB9C,03 25,9475,1,1
3010,0xBC2,03 25,9475,1,1
3095,0xC17,03 25,9475,1,1
3220,0xC94,03 28,10243,1,1
3242,0xCAA,03 28,10243,1,1
3355,0xD1B,02 1F,7938,0,1
3538,0xDD2,03 24,9219,1,1
3552,0xDE0,03 24,9219,1,1
3572,0xDF4,03 24,9219,1,1
3589,0xE05,03 24,9219,1,1
3665,0xE51,02 1F,7938,0,1
3716,0xE84,02 1F,7938,0,1
3846,0xF06,02 20,8194,0,1
3856,0xF10,02 20,8194,0,1
3859,0xF13,00 21,8448,0,0
3935,0xF5F,02 2E,11778,0,1
4048,0xFD0,02 20,8194,0,1
4058,0xFDA,02 20,8194,0,1
4061,0xFDD,00 21,8448,0,0
4137,0x1029,02 1F,7938,0,1
4230,0x1086,02 1F,7938,0,1
4346,0x10FA,02 1F,7938,0,1
4554,0x11CA,02 2E,11778,0,1
4700,0x125C,02 2E,11778,0,1
4757,0x1295,01 2F,12033,1,0
4767,0x129F,01 30,12289,1,0
4839,0x12E7,01 31,12545,1,0
4850,0x12F2,03 13,4867,1,1
4886,0x1316,13 32,12819,1,9
4893,0x131D,03 13,4867,1,1
4927,0x133F,13 32,12819,1,9
5118,0x13FE,03 1A,6659,1,1
5129,0x1409,03 33,13059,1,1
5184,0x1440,05 34,13317,1,2
5217,0x1461,05 35,13573,1,2
5242,0x147A,03 0B,2819,1,1
5252,0x1484,0E 36,13838,0,7
5308,0x14BC,03 0C,3075,1,1
