offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
68,0x44,01 00,1,1,0
71,0x47,02 01,258,0,1
77,0x4D,01 02,513,1,0
93,0x5D,01 03,769,1,0
100,0x64,01 04,1025,1,0
141,0x8D,03 05,1283,1,1
198,0xC6,0E 06,1550,0,7
265,0x109,0E 06,1550,0,7
334,0x14E,0E 06,1550,0,7
398,0x18E,0E 06,1550,0,7
416,0x1A0,02 07,1794,0,1
445,0x1BD,01 04,1025,1,0
535,0x217,01 08,2049,1,0
538,0x21A,03 09,2307,1,1
544,0x220,01 08,2049,1,0
547,0x223,03 0A,2563,1,1
550,0x226,03 0B,2819,1,1
556,0x22C,01 08,2049,1,0
559,0x22F,03 0A,2563,1,1
563,0x233,04 0C,3076,0,2
569,0x239,00 0D,3328,0,0
572,0x23C,00 0E,3584,0,0
575,0x23F,00 0F,3840,0,0
603,0x25B,02 10,4098,0,1
606,0x25E,00 11,4352,0,0
636,0x27C,02 10,4098,0,1
639,0x27F,01 12,4609,1,0
642,0x282,02 13,4866,0,1
649,0x289,02 10,4098,0,1
652,0x28C,01 04,1025,1,0
658,0x292,01 08,2049,1,0
661,0x295,03 14,5123,1,1
664,0x298,02 10,4098,0,1
685,0x2AD,02 10,4098,0,1
692,0x2B4,02 10,4098,0,1
715,0x2CB,02 15,5378,0,1
727,0x2D7,01 04,1025,1,0
733,0x2DD,01 08,2049,1,0
739,0x2E3,02 16,5634,0,1
763,0x2FB,08 17,5896,0,4
772,0x304,08 17,5896,0,4
775,0x307,00 18,6144,0,0
790,0x316,01 04,1025,1,0
796,0x31C,00 19,6400,0,0
799,0x31F,01 1A,6657,1,0
805,0x325,01 1B,6913,1,0
838,0x346,06 1C,7174,0,3
1021,0x3FD,0E 06,1550,0,7
1108,0x454,01 1D,7425,1,0
1136,0x470,03 1E,7683,1,1
1148,0x47C,03 1E,7683,1,1
1160,0x488,03 1E,7683,1,1
1172,0x494,03 1E,7683,1,1
1184,0x4A0,03 1E,7683,1,1
1196,0x4AC,03 1E,7683,1,1
1208,0x4B8,03 1E,7683,1,1
1220,0x4C4,03 1F,7939,1,1
1232,0x4D0,03 1F,7939,1,1
1244,0x4DC,03 1E,7683,1,1
1257,0x4E9,03 1E,7683,1,1
1270,0x4F6,03 1E,7683,1,1
1282,0x502,03 1F,7939,1,1
1295,0x50F,03 1E,7683,1,1
1308,0x51C,03 1E,7683,1,1
1321,0x529,03 1E,7683,1,1
1333,0x535,03 1F,7939,1,1
1344,0x540,03 1F,7939,1,1
1356,0x54C,03 1F,7939,1,1
1368,0x558,03 1F,7939,1,1
1380,0x564,03 1F,7939,1,1
1398,0x576,03 20,8195,1,1
1449,0x5A9,03 21,8451,1,1
1472,0x5C0,05 22,8709,1,2
1491,0x5D3,03 23,8963,1,1
1735,0x6C7,02 24,9218,0,1
1757,0x6DD,03 25,9475,1,1
1772,0x6EC,03 26,9731,1,1
1847,0x737,03 21,8451,1,1
1870,0x74E,05 22,8709,1,2
1889,0x761,03 23,8963,1,1
2130,0x852,02 24,9218,0,1
2152,0x868,03 25,9475,1,1
2167,0x877,03 26,9731,1,1
2235,0x8BB,01 27,9985,1,0
2262,0x8D6,03 23,8963,1,1
2303,0x8FF,03 0B,2819,1,1
2311,0x907,03 28,10243,1,1
2326,0x916,03 29,10499,1,1
2341,0x925,05 2A,10757,1,2
2352,0x930,03 2B,11011,1,1
2376,0x948,05 2C,11269,1,2
2408,0x968,05 2D,11525,1,2
2437,0x985,03 2E,11779,1,1
2462,0x99E,05 2F,12037,1,2
2497,0x9C1,07 30,12295,1,3
2543,0x9EF,05 31,12549,1,2
2570,0xA0A,03 32,12803,1,1
2607,0xA2F,03 33,13059,1,1
