offset,offset_hex,length,text,population_term
50,0x32,4,<sm@,
59,0x3B,4,<uSF,
82,0x52,4,SF~9,
134,0x86,4,FqSE,
151,0x97,8,CTF Data,
160,0xA0,33,o CBA and HBV synched. MOVING ON.,
219,0xDB,8,CTF Data,
230,0xE6,30,BAILING ON SYNC: GAME IS OVER.,
286,0x11E,8,CTF Data,
295,0x127,34,o!DATA SUNK AND INITED. MOVING ON.,
352,0x160,8,CTF Data,
363,0x16B,30,BAILING ON SYNC: GAME IS OVER.,
407,0x197,4,RM\9,
466,0x1D2,10,RLsRLYRL1c,
486,0x1E6,4,R/ub,
594,0x252,8,Game End,
622,0x26E,13,"[RESPAWNLOG],",
672,0x2A0,12,OutOfSession,
701,0x2BD,7,R ZR 0o,
709,0x2C5,5,XpHud,
744,0x2E8,6,*%C1++,
808,0x328,4,9H8H,
831,0x33F,4,J8H8,
919,0x397,8,SaveLoad,
928,0x3A0,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
1063,0x427,4,}++R,
1440,0x5A0,4,Ggz-,
1507,0x5E3,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
1905,0x771,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
2825,0xB09,7,fav_non,
2963,0xB93,5,fwep_,
3000,0xBB8,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
3088,0xC10,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
3192,0xC78,119,"ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
3330,0xD02,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
3439,0xD6F,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
3894,0xF36,4, lbs,
3958,0xF76,4, ton,
4043,0xFCB,5,"@<@<,",
4111,0x100F,5, days,
4133,0x1025,4, day,
4258,0x10A2,4, min,
4321,0x10E1,4, sec,
4361,0x1109,4, min,
4431,0x114F,4, sec,
4465,0x1171,4, sec,
4716,0x126C,5, days,
4738,0x1282,4, day,
4767,0x129F,7,stat_of,
5052,0x13BC,11,Common_Null,
5275,0x149B,4,lvl_,
5294,0x14AE,5,_icon,
5317,0x14C5,20,icon_prestige_award_,
5361,0x14F1,14,icon_prestige_,
5409,0x1521,21,icon_prestige_award_4,
5440,0x1540,20,icon_prestige_award_,
5483,0x156B,6,_color,
5598,0x15DE,4,0%d8,
5674,0x162A,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
6006,0x1776,28,STAT_GET_VALUE: STAT_INVALID,
6050,0x17A2,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
