offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
63,0x3F,01 00,1,1,0
68,0x44,01 01,257,1,0
76,0x4C,01 02,513,1,0
120,0x78,03 03,771,1,1
166,0xA6,0E 04,1038,0,7
231,0xE7,0E 04,1038,0,7
299,0x12B,0E 04,1038,0,7
364,0x16C,0E 04,1038,0,7
493,0x1ED,0E 04,1038,0,7
503,0x1F7,02 05,1282,0,1
516,0x204,03 06,1539,1,1
526,0x20E,02 07,1794,0,1
533,0x215,03 06,1539,1,1
543,0x21F,02 07,1794,0,1
586,0x24A,01 02,513,1,0
651,0x28B,01 08,2049,1,0
654,0x28E,03 09,2307,1,1
660,0x294,01 08,2049,1,0
663,0x297,03 0A,2563,1,1
666,0x29A,03 0B,2819,1,1
672,0x2A0,01 08,2049,1,0
675,0x2A3,03 0A,2563,1,1
679,0x2A7,04 0C,3076,0,2
695,0x2B7,00 0D,3328,0,0
737,0x2E1,00 0E,3584,0,0
740,0x2E4,00 0F,3840,0,0
743,0x2E7,00 10,4096,0,0
789,0x315,02 11,4354,0,1
805,0x325,02 12,4610,0,1
824,0x338,02 13,4866,0,1
831,0x33F,03 0B,2819,1,1
841,0x349,02 14,5122,0,1
855,0x357,03 15,5379,1,1
865,0x361,02 16,5634,0,1
871,0x367,03 15,5379,1,1
880,0x370,02 16,5634,0,1
900,0x384,02 17,5890,0,1
914,0x392,02 18,6146,0,1
918,0x396,03 19,6403,1,1
936,0x3A8,02 1A,6658,0,1
940,0x3AC,02 1B,6914,0,1
959,0x3BF,02 1C,7170,0,1
979,0x3D3,02 1C,7170,0,1
1192,0x4A8,02 1D,7426,0,1
1204,0x4B4,02 1E,7682,0,1
1217,0x4C1,04 1F,7940,0,2
1237,0x4D5,05 20,8197,1,2
1240,0x4D8,02 21,8450,0,1
1252,0x4E4,02 22,8706,0,1
1272,0x4F8,05 20,8197,1,2
1275,0x4FB,02 23,8962,0,1
1295,0x50F,05 20,8197,1,2
1298,0x512,02 24,9218,0,1
1310,0x51E,02 25,9474,0,1
1323,0x52B,05 20,8197,1,2
1326,0x52E,02 26,9730,0,1
1338,0x53A,02 27,9986,0,1
1442,0x5A2,03 15,5379,1,1
1452,0x5AC,02 16,5634,0,1
1459,0x5B3,03 28,10243,1,1
1469,0x5BD,02 29,10498,0,1
1476,0x5C4,02 2A,10754,0,1
1483,0x5CB,02 2B,11010,0,1
1490,0x5D2,03 15,5379,1,1
1500,0x5DC,02 16,5634,0,1
1518,0x5EE,04 2C,11268,0,2
1542,0x606,02 17,5890,0,1
1557,0x615,03 0B,2819,1,1
1577,0x629,08 2D,11528,0,4
1588,0x634,02 17,5890,0,1
1612,0x64C,02 17,5890,0,1
1616,0x650,02 2E,11778,0,1
1645,0x66D,02 17,5890,0,1
1663,0x67F,02 2E,11778,0,1
1676,0x68C,02 1A,6658,0,1
1692,0x69C,02 18,6146,0,1
1708,0x6AC,02 2F,12034,0,1
1712,0x6B0,02 30,12290,0,1
1728,0x6C0,02 17,5890,0,1
1754,0x6DA,04 31,12548,0,2
1758,0x6DE,03 32,12803,1,1
1766,0x6E6,04 33,13060,0,2
1773,0x6ED,08 34,13320,0,4
1778,0x6F2,04 35,13572,0,2
1788,0x6FC,03 0B,2819,1,1
1807,0x70F,05 36,13829,1,2
1911,0x777,02 13,4866,0,1
1917,0x77D,02 13,4866,0,1
1930,0x78A,03 15,5379,1,1
1940,0x794,02 16,5634,0,1
1955,0x7A3,02 13,4866,0,1
1978,0x7BA,00 37,14080,0,0
2094,0x82E,03 32,12803,1,1
2105,0x839,03 38,14339,1,1
2126,0x84E,03 09,2307,1,1
2140,0x85C,04 39,14596,0,2
2149,0x865,04 39,14596,0,2
2203,0x89B,00 3A,14848,0,0
2216,0x8A8,03 0B,2819,1,1
2234,0x8BA,05 36,13829,1,2
2253,0x8CD,05 36,13829,1,2
2261,0x8D5,03 15,5379,1,1
2271,0x8DF,02 16,5634,0,1
2295,0x8F7,02 3B,15106,0,1
2311,0x907,02 3B,15106,0,1
2323,0x913,02 30,12290,0,1
2327,0x917,02 2E,11778,0,1
2364,0x93C,04 1F,7940,0,2
2395,0x95B,03 06,1539,1,1
2405,0x965,02 07,1794,0,1
2412,0x96C,03 3C,15363,1,1
2422,0x976,02 3D,15618,0,1
2445,0x98D,01 3E,15873,1,0
2458,0x99A,03 15,5379,1,1
2468,0x9A4,02 16,5634,0,1
2486,0x9B6,03 15,5379,1,1
2496,0x9C0,02 3F,16130,0,1
2504,0x9C8,03 28,10243,1,1
2515,0x9D3,02 40,16386,0,1
2523,0x9DB,02 2B,11010,0,1
2530,0x9E2,03 15,5379,1,1
2540,0x9EC,02 41,16642,0,1
2598,0xA26,09 42,16905,1,4
2638,0xA4E,05 43,17157,1,2
2646,0xA56,03 44,17411,1,1
2665,0xA69,05 45,17669,1,2
2694,0xA86,04 46,17924,0,2
2708,0xA94,0D 47,18189,1,6
2713,0xA99,06 48,18438,0,3
2743,0xAB7,05 45,17669,1,2
2836,0xB14,0D 49,18701,1,6
2861,0xB2D,07 4A,18951,1,3
2876,0xB3C,14 4B,19220,0,10
2893,0xB4D,04 4C,19460,0,2
2904,0xB58,04 46,17924,0,2
2911,0xB5F,04 4D,19716,0,2
2926,0xB6E,08 4E,19976,0,4
2938,0xB7A,06 4F,20230,0,3
2945,0xB81,04 50,20484,0,2
2956,0xB8C,0A 51,20746,0,5
2963,0xB93,04 52,20996,0,2
2987,0xBAB,06 53,21254,0,3
3004,0xBBC,03 54,21507,1,1
3030,0xBD6,03 55,21763,1,1
3112,0xC28,07 56,22023,1,3
3126,0xC36,03 06,1539,1,1
3136,0xC40,02 07,1794,0,1
3175,0xC67,01 02,513,1,0
3187,0xC73,01 08,2049,1,0
3220,0xC94,02 17,5890,0,1
3234,0xCA2,02 18,6146,0,1
