offset,offset_hex,length,text,population_term
43,0x2B,12,TDM_team_fmt,
130,0x82,7,DM Data,
140,0x8C,21,DATA SUNK. MOVING ON.,
186,0xBA,7,DM Data,
196,0xC4,30,BAILING ON SYNC: GAME IS OVER.,
252,0xFC,7,DM Data,
260,0x104,34,o!DATA SUNK AND INITED. MOVING ON.,
319,0x13F,7,DM Data,
329,0x149,30,BAILING ON SYNC: GAME IS OVER.,
385,0x181,14,GameType State,
400,0x190,88,"oWUPDATE_GAMETYPE_DEATHMATCH_BASIC returned false, transitioning to GAMETYPE_QUIT state.",
564,0x234,4,RJwc,
570,0x23A,4,RJO9,
604,0x25C,4,RJwc,
709,0x2C5,4,Z:lR,
778,0x30A,10,ScoreGraph,
794,0x31A,10,ScoreGraph,
885,0x375,14,LoadingSpinner,
905,0x389,8,FameText,
927,0x39F,8,FameText,
985,0x3D9,4,?p~-,
1523,0x5F3,18,MpWeaponSuppressor,
1571,0x623,5,)?fff,
1582,0x62E,5,XpHud,
1593,0x639,18,MpWeaponSuppressor,
1636,0x664,8,MPSplash,
1668,0x684,7,Reticle,
1681,0x691,10,WeaponAmmo,
1697,0x6A1,10,WeaponAmmo,
1717,0x6B5,10,HudMPNoFun,
1798,0x706,8,ForceAim,
1989,0x7C5,23,MP_ShowdownBlueTeam.ppp,
2036,0x7F4,19,MP_WinningFrame.ppp,
2064,0x810,22,MP_ShowdownRedTeam.ppp,
2226,0x8B2,7,NoRegen,
2242,0x8C2,10,NoBleedout,
2276,0x8E4,18,SatchelTab_Weapons,
2300,0x8FC,10,PM_Weapons,
2442,0x98A,4,"=H2,",
2648,0xA58,4,D)Ap,
2898,0xB52,4,/)Bp,
3013,0xBC5,16,gMPScratchLayout,
3089,0xC11,21,DISABLE_HORSE_WHISTLE,
3114,0xC2A,4,V+~-,
3194,0xC7A,4,4`?|,
3211,0xC8B,8,MPSplash,
3225,0xC99,8,FameText,
3239,0xCA7,8,FameText,
3253,0xCB5,14,NotorietyMeter,
3273,0xCC9,14,NotorietyMeter,
3293,0xCDD,15,SplashObjective,
3314,0xCF2,15,SplashObjective,
3459,0xD83,5,XpHud,
3494,0xDA6,6,*%C1++,
3557,0xDE5,5,\9H8H,
3669,0xE55,8,SaveLoad,
3678,0xE5E,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
3803,0xEDB,5,R(<R',
3809,0xEE1,9,++R'&++R&,
4085,0xFF5,4,"`%,O",
4190,0x105E,4,Ggz-,
4257,0x10A1,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
4655,0x122F,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
5554,0x15B2,7,fav_non,
5620,0x15F4,4,R&\%,
5692,0x163C,5,fwep_,
5729,0x1661,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
5817,0x16B9,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
5920,0x1720,120,"{ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
6059,0x17AB,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
6168,0x1818,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
6350,0x18CE,4,"R""~8",
6623,0x19DF,4, lbs,
6687,0x1A1F,4, ton,
6772,0x1A74,5,"@<@<,",
6840,0x1AB8,5, days,
6862,0x1ACE,4, day,
6987,0x1B4B,4, min,
7050,0x1B8A,4, sec,
7090,0x1BB2,4, min,
7160,0x1BF8,4, sec,
7194,0x1C1A,4, sec,
7445,0x1D15,5, days,
7467,0x1D2B,4, day,
7496,0x1D48,7,stat_of,
7521,0x1D61,4,"R""A,",
7767,0x1E57,4,R @8,
7781,0x1E65,11,Common_Null,
8004,0x1F44,4,lvl_,
8023,0x1F57,5,_icon,
8046,0x1F6E,20,icon_prestige_award_,
8073,0x1F89,5,~R '%,
8090,0x1F9A,14,icon_prestige_,
8111,0x1FAF,5,~R '%,
8138,0x1FCA,21,icon_prestige_award_4,
8169,0x1FE9,20,icon_prestige_award_,
8196,0x2004,5,~R '%,
8212,0x2014,6,_color,
8327,0x2087,4,0%d8,
8403,0x20D3,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
8735,0x221F,28,STAT_GET_VALUE: STAT_INVALID,
8779,0x224B,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
8869,0x22A5,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
8960,0x2300,73,{oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
9071,0x236F,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
9162,0x23CA,73,{oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
9256,0x2428,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
9364,0x2494,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
9559,0x2557,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
9705,0x25E9,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
9830,0x2666,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,
9892,0x26A4,7,fav_non,
9915,0x26BB,4,:%28,
9923,0x26C3,4,R&\%,
9998,0x270E,5,fwep_,
10029,0x272D,7,fav_non,
10066,0x2752,4,1%28,
10074,0x275A,4,R&\%,
10149,0x27A5,5,fwep_,
10180,0x27C4,7,fav_non,
10204,0x27DC,4,4%28,
10210,0x27E2,4,R&\%,
10279,0x2827,5,fwep_,
10333,0x285D,5,"R(u+,",
10354,0x2872,4,Q+z-,
10373,0x2885,61,Bo;STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,
10453,0x28D5,75,oJSTAT_INCREASE_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
10544,0x2930,108,"{ojSTAT_INCREASE_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
10664,0x29A8,94,ho\STAT_INCREASE_NOW: fIncreaseValue < 0.0 - I am turning this into a positive number for you!,
10797,0x2A2D,4,"R""~8",
10995,0x2AF3,4,R+4j,
11016,0x2B08,4,R+4%,
11026,0x2B12,4,R+4%,
11036,0x2B1C,4,R+4%,
11046,0x2B26,4,R+4%,
11056,0x2B30,5,R+4z-,
11082,0x2B4A,5,R+N~-,
11093,0x2B55,4,"R,r8",
11120,0x2B70,5,_info,
11148,0x2B8C,4,_num,
11181,0x2BAD,8,PVP_num2,
11212,0x2BCC,8,PVP_num3,
11237,0x2BE5,4,"R,r7",
11251,0x2BF3,4,"R,*c",
11400,0x2C88,5,XpHud,
11467,0x2CCB,4,R._b,
11497,0x2CE9,7,*%C1++j,
11629,0x2D6D,5,\9K8K,
11693,0x2DAD,15,*%C1++7G*%C1++%,
11709,0x2DBD,4,"R.O,",
11723,0x2DCB,4,"R.O,",
11743,0x2DDF,5,!R.Dc,
11787,0x2E0B,4,"R.O,",
11810,0x2E22,4,R.Dc,
11988,0x2ED4,4,%dRD,
12042,0x2F0A,4,R+Nb,
12176,0x2F90,4,R+Nb,
12265,0x2FE9,4,%2RC,
12289,0x3001,4,R+Nb,
12304,0x3010,4,RAw%,
12332,0x302C,4,R>k8,
12346,0x303A,16,challenge_01_128,
12392,0x3068,4,R0n.,
12480,0x30C0,18,CanSaveNowAutoSave,
12543,0x30FF,4,"u? ,",
12551,0x3107,4,u?4R,
12597,0x3135,4,R<Tc,
12756,0x31D4,4,"u? ,",
12825,0x3219,5,+PqMO,
12936,0x3288,7,"P)E""W;.",
13008,0x32D0,5,{)BIS,
13067,0x330B,6,)Nnk(9,
13125,0x3345,5,>4PqL,
13208,0x3398,5,{)BIS,
13343,0x341F,4,")E""_",
13489,0x34B1,5,)E*R\,
13557,0x34F5,4,)B+A,
13628,0x353C,4,1()A,
13635,0x3543,5,)EIJD,
