index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,3,0,206
1,Function_1,206,0xCE,211,0,2,0,223
2,Function_2,223,0xDF,228,5,76,0,507
3,Function_3,507,0x1FB,512,1,3,0,644
4,Function_4,644,0x284,649,0,2,0,726
5,Function_5,726,0x2D6,731,0,2,0,988
6,Function_6,988,0x3DC,993,0,3,0,1039
7,Function_7,1039,0x40F,1044,0,6,0,1437
8,Function_8,1437,0x59D,1442,0,6,0,1873
9,Function_9,1873,0x751,1878,0,2,0,1887
10,Function_10,1887,0x75F,1892,3,19,0,2384
11,Function_11,2384,0x950,2389,0,2,0,2405
12,Function_12,2405,0x965,2410,0,2,0,2414
13,Function_13,2414,0x96E,2419,1,9,0,2580
14,Function_14,2580,0xA14,2585,3,6,0,3247
15,Function_15,3247,0xCAF,3252,8,32,0,4828
16,Function_16,4828,0x12DC,4833,0,3,0,4836
17,Function_17,4836,0x12E4,4841,1,3,0,4853
18,Function_18,4853,0x12F5,4858,4,14,0,5098
19,Function_19,5098,0x13EA,5103,2,12,0,5123
20,Function_20,5123,0x1403,5128,4,7,0,5224
21,Function_21,5224,0x1468,5229,2,4,0,5242
22,Function_22,5242,0x147A,5247,2,4,0,5260
23,Function_23,5260,0x148C,5265,5,11,0,5564
24,Function_24,5564,0x15BC,5569,1,3,0,5579
25,Function_25,5579,0x15CB,5584,1,3,0,5636
26,Function_26,5636,0x1604,5641,1,3,0,5697
27,Function_27,5697,0x1641,5702,1,3,0,6107
28,Function_28,6107,0x17DB,6112,3,7,0,6687
29,Function_29,6687,0x1A1F,6692,1,3,0,6752
30,Function_30,6752,0x1A60,6757,0,8,0,6889
31,Function_31,6889,0x1AE9,6894,0,8,0,7040
32,Function_32,7040,0x1B80,7045,0,8,0,7167
33,Function_33,7167,0x1BFF,7172,0,2,0,7224
34,Function_34,7224,0x1C38,7229,3,7,0,7746
35,Function_35,7746,0x1E42,7751,1,3,0,7761
36,Function_36,7761,0x1E51,7766,2,4,0,7774
37,Function_37,7774,0x1E5E,7779,1,3,0,7789
38,Function_38,7789,0x1E6D,7794,2,4,0,7802
39,Function_39,7802,0x1E7A,7807,2,4,0,7817
40,Function_40,7817,0x1E89,7822,1,139,0,7984
41,Function_41,7984,0x1F30,7989,0,2,0,7995
42,Function_42,7995,0x1F3B,8000,1,3,0,8011
43,Function_43,8011,0x1F4B,8016,3,6,0,8080
44,Function_44,8080,0x1F90,8085,0,3,0,8122
45,Function_45,8122,0x1FBA,8127,0,2,0,8218
