offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
26,0x1A,01 00,1,1,0
58,0x3A,09 01,265,1,4
67,0x43,09 01,265,1,4
77,0x4D,09 01,265,1,4
87,0x57,09 01,265,1,4
97,0x61,09 01,265,1,4
105,0x69,01 02,513,1,0
153,0x99,0E 03,782,0,7
189,0xBD,0E 03,782,0,7
193,0xC1,02 04,1026,0,1
202,0xCA,00 05,1280,0,0
211,0xD3,00 06,1536,0,0
236,0xEC,02 07,1794,0,1
315,0x13B,01 08,2049,1,0
322,0x142,02 09,2306,0,1
345,0x159,01 02,513,1,0
354,0x162,08 0A,2568,0,4
373,0x175,01 02,513,1,0
381,0x17D,08 0A,2568,0,4
394,0x18A,01 02,513,1,0
402,0x192,08 0A,2568,0,4
416,0x1A0,01 02,513,1,0
424,0x1A8,08 0A,2568,0,4
437,0x1B5,00 0B,2816,0,0
448,0x1C0,00 0C,3072,0,0
451,0x1C3,01 0D,3329,1,0
457,0x1C9,01 0E,3585,1,0
490,0x1EA,06 0F,3846,0,3
617,0x269,0E 10,4110,0,7
704,0x2C0,01 11,4353,1,0
732,0x2DC,03 12,4611,1,1
744,0x2E8,03 12,4611,1,1
756,0x2F4,03 12,4611,1,1
768,0x300,03 12,4611,1,1
780,0x30C,03 12,4611,1,1
792,0x318,03 12,4611,1,1
804,0x324,03 12,4611,1,1
816,0x330,03 13,4867,1,1
828,0x33C,03 13,4867,1,1
840,0x348,03 12,4611,1,1
853,0x355,03 12,4611,1,1
866,0x362,03 12,4611,1,1
878,0x36E,03 13,4867,1,1
891,0x37B,03 12,4611,1,1
904,0x388,03 12,4611,1,1
917,0x395,03 12,4611,1,1
929,0x3A1,03 13,4867,1,1
940,0x3AC,03 13,4867,1,1
952,0x3B8,03 13,4867,1,1
964,0x3C4,03 13,4867,1,1
976,0x3D0,03 13,4867,1,1
994,0x3E2,03 14,5123,1,1
1045,0x415,03 15,5379,1,1
1068,0x42C,05 16,5637,1,2
1087,0x43F,03 17,5891,1,1
1331,0x533,02 18,6146,0,1
1353,0x549,03 19,6403,1,1
1368,0x558,03 1A,6659,1,1
1443,0x5A3,03 15,5379,1,1
1466,0x5BA,05 16,5637,1,2
1485,0x5CD,03 17,5891,1,1
1726,0x6BE,02 18,6146,0,1
1748,0x6D4,03 19,6403,1,1
1763,0x6E3,03 1A,6659,1,1
1831,0x727,01 1B,6913,1,0
1858,0x742,03 17,5891,1,1
1899,0x76B,03 1C,7171,1,1
1907,0x773,03 1D,7427,1,1
1922,0x782,03 1E,7683,1,1
1937,0x791,05 1F,7941,1,2
1948,0x79C,03 20,8195,1,1
1972,0x7B4,05 21,8453,1,2
2004,0x7D4,05 22,8709,1,2
2033,0x7F1,03 23,8963,1,1
2058,0x80A,05 24,9221,1,2
2093,0x82D,07 25,9479,1,3
2139,0x85B,05 26,9733,1,2
2166,0x876,03 27,9987,1,1
2203,0x89B,03 28,10243,1,1
2230,0x8B6,05 29,10501,1,2
2257,0x8D1,05 22,8709,1,2
2282,0x8EA,03 2A,10755,1,1
2297,0x8F9,05 26,9733,1,2
2316,0x90C,03 2B,11011,1,1
2331,0x91B,05 26,9733,1,2
2362,0x93A,03 2C,11267,1,1
2390,0x956,03 2D,11523,1,1
2401,0x961,03 2E,11779,1,1
2410,0x96A,01 2F,12033,1,0
2666,0xA6A,02 18,6146,0,1
2772,0xAD4,02 30,12290,0,1
2782,0xADE,02 30,12290,0,1
2785,0xAE1,00 31,12544,0,0
2908,0xB5C,02 18,6146,0,1
3017,0xBC9,02 30,12290,0,1
3027,0xBD3,02 30,12290,0,1
3030,0xBD6,00 31,12544,0,0
3170,0xC62,02 18,6146,0,1
3184,0xC70,03 32,12803,1,1
3195,0xC7B,03 32,12803,1,1
3205,0xC85,03 32,12803,1,1
3230,0xC9E,03 32,12803,1,1
3259,0xCBB,03 33,13059,1,1
3262,0xCBE,03 34,13315,1,1
3274,0xCCA,07 35,13575,1,3
3538,0xDD2,07 36,13831,1,3
3604,0xE14,03 37,14083,1,1
3643,0xE3B,03 32,12803,1,1
3651,0xE43,03 32,12803,1,1
3655,0xE47,03 37,14083,1,1
3685,0xE65,03 38,14339,1,1
3776,0xEC0,03 38,14339,1,1
3838,0xEFE,03 38,14339,1,1
3901,0xF3D,03 38,14339,1,1
3941,0xF65,03 38,14339,1,1
3979,0xF8B,03 32,12803,1,1
3983,0xF8F,03 37,14083,1,1
4011,0xFAB,03 38,14339,1,1
4139,0x102B,03 37,14083,1,1
4153,0x1039,07 36,13831,1,3
4172,0x104C,03 37,14083,1,1
4175,0x104F,03 38,14339,1,1
4253,0x109D,03 37,14083,1,1
4267,0x10AB,07 36,13831,1,3
4286,0x10BE,03 37,14083,1,1
4289,0x10C1,03 38,14339,1,1
4371,0x1113,03 39,14595,1,1
4391,0x1127,03 37,14083,1,1
4394,0x112A,03 38,14339,1,1
4411,0x113B,00 3A,14848,0,0
4575,0x11DF,03 3B,15107,1,1
4605,0x11FD,1A 3C,15386,0,13
4639,0x121F,03 3D,15619,1,1
4688,0x1250,03 3B,15107,1,1
4730,0x127A,1A 3C,15386,0,13
4752,0x1290,03 3B,15107,1,1
4779,0x12AB,1A 3C,15386,0,13
4792,0x12B8,03 3B,15107,1,1
4819,0x12D3,1A 3C,15386,0,13
4938,0x134A,03 34,13315,1,1
4976,0x1370,03 34,13315,1,1
5061,0x13C5,03 34,13315,1,1
5186,0x1442,03 37,14083,1,1
5208,0x1458,03 37,14083,1,1
5321,0x14C9,02 18,6146,0,1
5504,0x1580,03 33,13059,1,1
5518,0x158E,03 33,13059,1,1
5538,0x15A2,03 33,13059,1,1
5555,0x15B3,03 33,13059,1,1
5631,0x15FF,02 18,6146,0,1
5682,0x1632,02 18,6146,0,1
5812,0x16B4,02 30,12290,0,1
5822,0x16BE,02 30,12290,0,1
5825,0x16C1,00 31,12544,0,0
5901,0x170D,02 3E,15874,0,1
6014,0x177E,02 30,12290,0,1
6024,0x1788,02 30,12290,0,1
6027,0x178B,00 31,12544,0,0
6103,0x17D7,02 18,6146,0,1
6196,0x1834,02 18,6146,0,1
6312,0x18A8,02 18,6146,0,1
6520,0x1978,02 3E,15874,0,1
6666,0x1A0A,02 3E,15874,0,1
6736,0x1A50,02 18,6146,0,1
6748,0x1A5C,03 37,14083,1,1
7184,0x1C10,01 3F,16129,1,0
7192,0x1C18,01 3F,16129,1,0
7204,0x1C24,01 3F,16129,1,0
7213,0x1C2D,03 40,16387,1,1
7302,0x1C86,02 18,6146,0,1
7396,0x1CE4,02 30,12290,0,1
7406,0x1CEE,02 30,12290,0,1
7409,0x1CF1,00 31,12544,0,0
7520,0x1D60,02 18,6146,0,1
7626,0x1DCA,02 18,6146,0,1
7631,0x1DCF,03 41,16643,1,1
7714,0x1E22,03 33,13059,1,1
7731,0x1E33,07 42,16903,1,3
7852,0x1EAC,03 37,14083,1,1
7866,0x1EBA,03 37,14083,1,1
7890,0x1ED2,01 02,513,1,0
7899,0x1EDB,08 0A,2568,0,4
7905,0x1EE1,01 02,513,1,0
7914,0x1EEA,08 0A,2568,0,4
7930,0x1EFA,03 37,14083,1,1
7956,0x1F14,01 02,513,1,0
7965,0x1F1D,08 0A,2568,0,4
7971,0x1F23,01 02,513,1,0
7980,0x1F2C,08 0A,2568,0,4
7989,0x1F35,01 43,17153,1,0
8258,0x2042,08 44,17416,0,4
8325,0x2085,03 38,14339,1,1
8328,0x2088,04 45,17668,0,2
8356,0x20A4,03 38,14339,1,1
8359,0x20A7,04 45,17668,0,2
8387,0x20C3,03 38,14339,1,1
8390,0x20C6,04 45,17668,0,2
8403,0x20D3,0A 46,17930,0,5
8434,0x20F2,03 47,18179,1,1
8443,0x20FB,04 48,18436,0,2
8450,0x2102,04 49,18692,0,2
8460,0x210C,02 4A,18946,0,1
8522,0x214A,03 38,14339,1,1
8601,0x2199,01 02,513,1,0
8735,0x221F,01 02,513,1,0
8869,0x22A5,01 02,513,1,0
9006,0x232E,08 44,17416,0,4
9017,0x2339,03 3D,15619,1,1
9155,0x23C3,03 2E,11779,1,1
9180,0x23DC,07 4B,19207,1,3
9226,0x240A,01 4C,19457,1,0
9238,0x2416,02 4D,19714,0,1
9367,0x2497,09 4E,19977,1,4
9439,0x24DF,01 4C,19457,1,0
9961,0x26E9,0D 4F,20237,1,6
10040,0x2738,0D 4F,20237,1,6
10113,0x2781,0D 4F,20237,1,6
10186,0x27CA,0D 4F,20237,1,6
10259,0x2813,0D 4F,20237,1,6
10332,0x285C,0D 4F,20237,1,6
10393,0x2899,04 50,20484,0,2
10404,0x28A4,0D 4F,20237,1,6
10473,0x28E9,0D 4F,20237,1,6
10546,0x2932,0D 4F,20237,1,6
10619,0x297B,0D 4F,20237,1,6
10680,0x29B8,04 50,20484,0,2
10691,0x29C3,0D 4F,20237,1,6
10760,0x2A08,0D 4F,20237,1,6
10833,0x2A51,0D 4F,20237,1,6
10906,0x2A9A,0D 4F,20237,1,6
10979,0x2AE3,0D 4F,20237,1,6
11052,0x2B2C,0D 4F,20237,1,6
11125,0x2B75,0D 4F,20237,1,6
11198,0x2BBE,0D 4F,20237,1,6
11271,0x2C07,0D 4F,20237,1,6
11344,0x2C50,0D 4F,20237,1,6
11417,0x2C99,0D 4F,20237,1,6
11490,0x2CE2,0D 4F,20237,1,6
11563,0x2D2B,0D 4F,20237,1,6
11636,0x2D74,0D 4F,20237,1,6
11709,0x2DBD,0D 4F,20237,1,6
11782,0x2E06,0D 4F,20237,1,6
11855,0x2E4F,0D 4F,20237,1,6
11915,0x2E8B,0D 4F,20237,1,6
12034,0x2F02,02 30,12290,0,1
12041,0x2F09,06 51,20742,0,3
12044,0x2F0C,00 31,12544,0,0
12120,0x2F58,04 52,20996,0,2
12145,0x2F71,01 53,21249,1,0
12301,0x300D,05 54,21509,1,2
12335,0x302F,07 55,21767,1,3
12367,0x304F,03 3B,15107,1,1
12370,0x3052,07 56,22023,1,3
12389,0x3065,03 3B,15107,1,1
12392,0x3068,07 56,22023,1,3
12411,0x307B,07 56,22023,1,3
12424,0x3088,07 56,22023,1,3
12558,0x310E,03 57,22275,1,1
12584,0x3128,03 58,22531,1,1
12702,0x319E,05 59,22789,1,2
12762,0x31DA,02 5A,23042,0,1
12787,0x31F3,03 39,14595,1,1
12790,0x31F6,04 45,17668,0,2
12812,0x320C,0A 46,17930,0,5
12821,0x3215,04 49,18692,0,2
12832,0x3220,08 44,17416,0,4
13314,0x3402,03 57,22275,1,1
13329,0x3411,03 38,14339,1,1
13353,0x3429,03 38,14339,1,1
13364,0x3434,05 54,21509,1,2
13374,0x343E,05 5B,23301,1,2
13399,0x3457,03 38,14339,1,1
13425,0x3471,03 38,14339,1,1
13436,0x347C,05 54,21509,1,2
13446,0x3486,05 5B,23301,1,2
13485,0x34AD,03 38,14339,1,1
13511,0x34C7,03 38,14339,1,1
13522,0x34D2,05 54,21509,1,2
13532,0x34DC,05 5B,23301,1,2
13554,0x34F2,03 38,14339,1,1
13581,0x350D,03 38,14339,1,1
13592,0x3518,05 54,21509,1,2
13602,0x3522,05 5B,23301,1,2
13661,0x355D,03 5C,23555,1,1
13668,0x3564,03 57,22275,1,1
13700,0x3584,03 58,22531,1,1
13715,0x3593,03 32,12803,1,1
13739,0x35AB,03 3D,15619,1,1
13917,0x365D,02 5A,23042,0,1
13948,0x367C,04 49,18692,0,2
13973,0x3695,03 39,14595,1,1
13976,0x3698,04 45,17668,0,2
14001,0x36B1,03 34,13315,1,1
14004,0x36B4,04 45,17668,0,2
14011,0x36BB,03 34,13315,1,1
14014,0x36BE,04 45,17668,0,2
14041,0x36D9,0A 5D,23818,0,5
14284,0x37CC,07 4B,19207,1,3
14376,0x3828,0B 5E,24075,1,5
14393,0x3839,03 1C,7171,1,1
14401,0x3841,03 5F,24323,1,1
14432,0x3860,01 60,24577,1,0
14466,0x3882,03 61,24835,1,1
14496,0x38A0,03 62,25091,1,1
14511,0x38AF,12 63,25362,0,9
14634,0x392A,0E 64,25614,0,7
14658,0x3942,0E 64,25614,0,7
14739,0x3993,01 08,2049,1,0
14751,0x399F,05 65,25861,1,2
14761,0x39A9,05 66,26117,1,2
14794,0x39CA,07 67,26375,1,3
14883,0x3A23,05 68,26629,1,2
14898,0x3A32,07 67,26375,1,3
14923,0x3A4B,00 69,26880,0,0
14926,0x3A4E,00 6A,27136,0,0
15014,0x3AA6,10 6B,27408,0,8
15040,0x3AC0,10 6B,27408,0,8
15051,0x3ACB,01 6C,27649,1,0
15057,0x3AD1,01 6D,27905,1,0
15071,0x3ADF,04 6E,28164,0,2
