offset,offset_hex,length,text,population_term
49,0x31,6,R8GR8-,
129,0x81,19,PRESS LB+RB+LT+RT+X,
168,0xA8,16,to end the game.,
230,0xE6,5,XpHud,
297,0x129,4,R!gb,
327,0x147,7,*%C1++j,
460,0x1CC,4,9K8K,
483,0x1E3,4,K8K8,
515,0x203,8,SaveLoad,
524,0x20C,88,"oWMultiplayer Save Triggered, will be picked up by Multiplayer_update_thread soon enough",
670,0x29E,4,n++R,
1036,0x40C,4,Ggz-,
1103,0x44F,227,"For whatever reason, the system thinks we have more than 50 completed quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
1501,0x5DD,224,"For whatever reason, the system thinks we have more than 20 active quests. This is bad, since the array we save them in only has 20 elements. Capping it and saving. Your save may not include all of the things you like in it.",
2421,0x975,7,fav_non,
2559,0x9FF,5,fwep_,
2596,0xA24,69,JoCSTAT_SET_VALUE_AS_INT_NOW: Attempting to use a Stat out of bounds.,
2684,0xA7C,87,oVSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_LIFETIME directly: ,
2787,0xAE3,120,"1ovSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
2926,0xB6E,90,oYSTAT_SET_VALUE_AS_INT_NOW: You cannot set value of this STAT_TYPE_COLLECTIBLE directly: ,
3035,0xBDB,134,"STAT_SET_VALUE_AS_INT_NOW: You cannot set value of a STAT_TYPE_COLLECTIBLE directly, only increase and decrease operations are allowed",
3490,0xDA2,4, lbs,
3554,0xDE2,4, ton,
3639,0xE37,5,"@<@<,",
3707,0xE7B,5, days,
3729,0xE91,4, day,
3854,0xF0E,4, min,
3917,0xF4D,4, sec,
3957,0xF75,4, min,
4027,0xFBB,4, sec,
4061,0xFDD,4, sec,
4312,0x10D8,5, days,
4334,0x10EE,4, day,
4363,0x110B,7,stat_of,
4648,0x1228,11,Common_Null,
4871,0x1307,4,lvl_,
4890,0x131A,5,_icon,
4913,0x1331,20,icon_prestige_award_,
4957,0x135D,14,icon_prestige_,
5005,0x138D,21,icon_prestige_award_4,
5036,0x13AC,20,icon_prestige_award_,
5079,0x13D7,6,_color,
5194,0x144A,4,0%d8,
5270,0x1496,50,8o0STAT_CALCULATE_PROGRESSBAR_VALUES: STAT_INVALID,
5602,0x15E2,28,STAT_GET_VALUE: STAT_INVALID,
5646,0x160E,35,(o!STAT_GET_MAX_VALUE: STAT_INVALID,
5736,0x1668,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMaxRange - ,
5827,0x16C3,73,1oGSTAT_CHECK_RANGES: Attempting to increment a STAT out of its fMaxRange,
5938,0x1732,75,oJSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange - ,
6029,0x178D,73,1oGSTAT_CHECK_RANGES: Attempting to decrement a STAT out of its fMinRange,
6123,0x17EB,72,MoFSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a Stat out of bounds.,
6231,0x1857,80,UoNSTAT_UPDATE_MY_LIFETIME_STAT: Attempting to use a LifetimeStat out of bounds.,
6426,0x191A,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to increment a LifetimeStat out of its fMaxRange.,
6572,0x19AC,93,po[STAT_UPDATE_MY_LIFETIME_STAT: Attempting to decrement a LifetimeStat out of its fMinRange.,
6697,0x1A29,38,+o$STAT_GET_VALUE_AS_INT: STAT_INVALID,
6759,0x1A67,7,fav_non,
6782,0x1A7E,4,:%28,
6865,0x1AD1,5,fwep_,
6896,0x1AF0,7,fav_non,
6933,0x1B15,4,1%28,
7016,0x1B68,5,fwep_,
7047,0x1B87,7,fav_non,
7071,0x1B9F,4,4%28,
7146,0x1BEA,5,fwep_,
7240,0x1C48,61,Bo;STAT_INCREASE_NOW: Attempting to use a Stat out of bounds.,
7320,0x1C98,75,oJSTAT_INCREASE_NOW: You cannot increase this STAT_TYPE_LIFETIME directly: ,
7411,0x1CF3,108,"1ojSTAT_INCREASE_NOW: You cannot increase a STAT_TYPE_LIFETIME directly, use the COLLECTION version instead!",
7531,0x1D6B,94,ho\STAT_INCREASE_NOW: fIncreaseValue < 0.0 - I am turning this into a positive number for you!,
7833,0x1E99,15,*%C1++7G*%C1++%,
8240,0x2030,5,R 4~-,
8251,0x203B,4,R!X8,
8278,0x2056,5,_info,
8306,0x2072,4,_num,
8339,0x2093,8,PVP_num2,
8370,0x20B2,8,PVP_num3,
8395,0x20CB,4,R!X7,
8596,0x2194,4,R7}9,
8668,0x21DC,6,%dR7]A,
