offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
16,0x10,03 00,3,1,1
38,0x26,05 01,261,1,2
51,0x33,05 01,261,1,2
55,0x37,01 02,513,1,0
90,0x5A,02 03,770,0,1
99,0x63,00 04,1024,0,0
110,0x6E,02 05,1282,0,1
119,0x77,00 06,1536,0,0
122,0x7A,01 07,1793,1,0
141,0x8D,03 08,2051,1,1
148,0x94,03 09,2307,1,1
476,0x1DC,03 0A,2563,1,1
483,0x1E3,03 0B,2819,1,1
491,0x1EB,03 0C,3075,1,1
510,0x1FE,05 0D,3333,1,2
521,0x209,05 0E,3589,1,2
527,0x20F,03 0F,3843,1,1
534,0x216,03 10,4099,1,1
564,0x234,03 11,4355,1,1
615,0x267,05 0D,3333,1,2
624,0x270,02 12,4610,0,1
637,0x27D,04 13,4868,0,2
654,0x28E,05 14,5125,1,2
663,0x297,03 0A,2563,1,1
670,0x29E,03 0B,2819,1,1
678,0x2A6,03 0C,3075,1,1
697,0x2B9,05 0D,3333,1,2
708,0x2C4,05 0E,3589,1,2
714,0x2CA,03 0F,3843,1,1
721,0x2D1,03 10,4099,1,1
753,0x2F1,03 11,4355,1,1
806,0x326,05 0D,3333,1,2
815,0x32F,02 12,4610,0,1
828,0x33C,04 13,4868,0,2
845,0x34D,05 14,5125,1,2
854,0x356,03 0A,2563,1,1
861,0x35D,03 0B,2819,1,1
869,0x365,03 0C,3075,1,1
888,0x378,05 0D,3333,1,2
899,0x383,05 0E,3589,1,2
905,0x389,03 0F,3843,1,1
912,0x390,03 10,4099,1,1
946,0x3B2,03 11,4355,1,1
1001,0x3E9,05 0D,3333,1,2
1010,0x3F2,02 12,4610,0,1
1023,0x3FF,04 13,4868,0,2
1040,0x410,05 14,5125,1,2
1049,0x419,03 15,5379,1,1
1056,0x420,03 10,4099,1,1
1064,0x428,02 12,4610,0,1
1072,0x430,03 15,5379,1,1
1079,0x437,03 10,4099,1,1
1087,0x43F,03 0F,3843,1,1
1094,0x446,03 10,4099,1,1
1123,0x463,03 11,4355,1,1
1156,0x484,03 11,4355,1,1
1223,0x4C7,02 12,4610,0,1
1231,0x4CF,03 15,5379,1,1
1238,0x4D6,03 10,4099,1,1
1249,0x4E1,03 15,5379,1,1
1256,0x4E8,03 10,4099,1,1
1363,0x553,13 16,5651,1,9
1372,0x55C,03 15,5379,1,1
1379,0x563,03 10,4099,1,1
1387,0x56B,03 17,5891,1,1
1397,0x575,03 11,4355,1,1
1404,0x57C,03 18,6147,1,1
1415,0x587,06 19,6406,0,3
1422,0x58E,06 19,6406,0,3
1429,0x595,06 19,6406,0,3
1436,0x59C,06 19,6406,0,3
1443,0x5A3,06 19,6406,0,3
1458,0x5B2,03 15,5379,1,1
1465,0x5B9,03 10,4099,1,1
1503,0x5DF,05 0D,3333,1,2
1524,0x5F4,05 1A,6661,1,2
1546,0x60A,05 0D,3333,1,2
1566,0x61E,03 1B,6915,1,1
1658,0x67A,13 16,5651,1,9
1754,0x6DA,13 16,5651,1,9
1761,0x6E1,03 10,4099,1,1
1787,0x6FB,05 0D,3333,1,2
1813,0x715,05 14,5125,1,2
1819,0x71B,03 1C,7171,1,1
1833,0x729,06 1D,7430,0,3
1856,0x740,05 0D,3333,1,2
1875,0x753,07 1E,7687,1,3
1902,0x76E,05 0D,3333,1,2
1921,0x781,07 1E,7687,1,3
1948,0x79C,05 0D,3333,1,2
1967,0x7AF,07 1E,7687,1,3
1994,0x7CA,05 0D,3333,1,2
2013,0x7DD,07 1E,7687,1,3
2041,0x7F9,05 0D,3333,1,2
2055,0x807,0B 1F,7947,1,5
2083,0x823,05 14,5125,1,2
2096,0x830,03 20,8195,1,1
2099,0x833,03 21,8451,1,1
2114,0x842,0B 1F,7947,1,5
2126,0x84E,04 22,8708,0,2
2132,0x854,04 23,8964,0,2
2142,0x85E,04 24,9220,0,2
