offset,offset_hex,length,text,population_term
7,0x7,4,""">0:",
19,0x13,5,""">,R!",
39,0x27,16,HudMPTransporter,
92,0x5C,4,On2>,
99,0x63,4,On2>,
114,0x72,4,On2=,
128,0x80,4,OnK>,
135,0x87,4,OnK>,
150,0x96,4,<4R!,
196,0xC4,4,<5R!,
229,0xE5,6,R `;0n,
298,0x12A,6,8:6:2L,
314,0x13A,6, :6;3R,
369,0x171,5,:6;6=,
748,0x2EC,16,HudMPTransporter,
951,0x3B7,4,4`?|,
1019,0x3FB,21,DISABLE_HORSE_WHISTLE,
1052,0x41C,21,DISABLE_HORSE_WHISTLE,
1076,0x434,4,#+~-,
1257,0x4E9,4,*93:,
1305,0x519,4,7#2R,
1318,0x526,4,7)2R,
1331,0x533,4,7#2R,
1344,0x540,4,7)2R,
1350,0x546,6,928/81,
1357,0x54D,4,8/82,
1363,0x553,4,8081,
1368,0x558,4,8082,
1488,0x5D0,6,Y9484M,
1654,0x676,4, ;3M,
1732,0x6C4,4,OqP4,
1793,0x701,5,O38?H,
1803,0x70B,5,O3838,
1809,0x711,4,O38=,
1818,0x71A,6,O38=0r,
1827,0x723,6,O38?L8,
1834,0x72A,6,O38?P.,
1896,0x768,4,roam,
1908,0x774,8,interior,
1924,0x784,5,horse,
1937,0x791,12,wagonDefault,
1957,0x7A5,12,wagonShotgun,
1977,0x7B9,12,wagonShotgun,
1995,0x7CB,61,o<GET_GAME_CAMERA_RESET_POSITION_HELPER called with position ,
2069,0x815,13, and heading ,
2093,0x82D,14, and with arc ,
2829,0xB0D,5,0On2>,
2837,0xB15,4,On2>,
2849,0xB21,5,<4;4c,
2856,0xB28,4,OnK>,
2865,0xB31,6,OnK=02,
2879,0xB3F,4,On2>,
2888,0xB48,6,On2=02,
3040,0xBE0,6,9$8!8#,
3047,0xBE7,4,8!8$,
3053,0xBED,4,"8""8#",
3058,0xBF2,4,"8""8$",
3100,0xC1C,7,3%4Oxz5,
3112,0xC28,5,9%8%M,
3203,0xC83,12,v_coach_park,
3324,0xCFC,4,On2>,
3331,0xD03,4,On2>,
3339,0xD0B,4,OnK>,
3347,0xD13,4,OnK>,
3359,0xD1F,5,<4;4c,
3372,0xD2C,4,OnK=,
3384,0xD38,4,7:6R,
3391,0xD3F,4,OnK=,
3449,0xD79,4,On2=,
3461,0xD85,4,7:6R,
3468,0xD8C,4,On2=,
3517,0xDBD,4,On2>,
3524,0xDC4,4,On2>,
3532,0xDCC,4,OnK>,
3540,0xDD4,4,OnK>,
3595,0xE0B,4,On2>,
3602,0xE12,4,On2>,
3614,0xE1E,5,<3:6R,
3622,0xE26,4,On2=,
3673,0xE59,5,OOnK>,
3681,0xE61,4,OnK>,
3696,0xE70,5,<4:6R,
3704,0xE78,4,OnK=,
3810,0xEE2,4,$:6M,
3865,0xF19,4,%:6M,
3938,0xF62,14,HudSceneOnline,
3968,0xF80,4,<0zM,
3998,0xF9E,14,HudSceneOnline,
4032,0xFC0,4,<5z-,
4322,0x10E2,19,PASS_COACH_Waypoint,
4368,0x1110,25,MP_PASS_COACH_CurrentDest,
4410,0x113A,14,INVALID REGION,
4534,0x11B6,8,v_region,
4622,0x120E,4,On2>,
4641,0x1221,4,On2=,
4730,0x127A,4,""")<#",
4737,0x1281,6,")?fff,",
4761,0x1299,5,"u>, c",
4986,0x137A,4,X)7',
5076,0x13D4,64,o?ERROR: Trying to get value of TIMER that has not been started!,
5143,0x1417,82,YoQWARNING: Trying to get value of TIMER that has not been started! Returning 0.0 ,
5300,0x14B4,16,mp_Exit_Teleport,
5409,0x1521,23,PASS_COACH_PreviousDest,
5450,0x154A,19,PASS_COACH_NextDest,
5730,0x1662,6,%4Oxz5,
5903,0x170F,4,OnK>,
5922,0x1722,4,OnK=,
5948,0x173C,4,On2>,
5967,0x174F,4,On2=,
6037,0x1795,4,OqP4,
6056,0x17A8,4,OqP4,
6224,0x1850,4,OqP4,
6243,0x1863,4,OqP4,
6362,0x18DA,4,]PqL,
6411,0x190B,4,OqP4,
6430,0x191E,4,OqP4,
6598,0x19C6,4,OqP4,
6617,0x19D9,4,OqP4,
6785,0x1A81,4,OqP4,
6804,0x1A94,4,OqP4,
6923,0x1B0B,4,",PqL",
6972,0x1B3C,4,OqP4,
6991,0x1B4F,4,OqP4,
7110,0x1BC6,4,qPqL,
7153,0x1BF1,4,OqP4,
7172,0x1C04,4,OqP4,
7335,0x1CA7,4,OqP4,
7354,0x1CBA,4,OqP4,
7517,0x1D5D,4,OqP4,
7536,0x1D70,4,OqP4,
7656,0x1DE8,7,O%4Oxz5,
7996,0x1F3C,11,tempPathSet,
8163,0x1FE3,4,R 09,
8181,0x1FF5,4,O3t4,
8202,0x200A,4,O3t4,
8260,0x2044,4,^4(>,
8305,0x2071,5,R u~-,
8391,0x20C7,21,DISABLE_HORSE_WHISTLE,
8416,0x20E0,4,f+~-,
8590,0x218E,4,% R!,
8610,0x21A2,4,%@R!,
17808,0x4590,4,W&OY,
17840,0x45B0,4,:BHa,
17917,0x45FD,4,j[$&,
17943,0x4617,4,^\?w,
18112,0x46C0,6,9&#/'f,
18130,0x46D2,5,%oP{),
18228,0x4734,4,1#y[,
18247,0x4747,4,0a$N,
