offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
39,0x27,03 00,3,1,1
53,0x35,05 01,261,1,2
63,0x3F,05 01,261,1,2
73,0x49,05 01,261,1,2
83,0x53,05 01,261,1,2
117,0x75,01 02,513,1,0
138,0x8A,01 03,769,1,0
190,0xBE,01 04,1025,1,0
223,0xDF,01 05,1281,1,0
315,0x13B,07 06,1543,1,3
321,0x141,01 07,1793,1,0
414,0x19E,02 08,2050,0,1
426,0x1AA,00 09,2304,0,0
445,0x1BD,02 0A,2562,0,1
471,0x1D7,02 0B,2818,0,1
481,0x1E1,00 0C,3072,0,0
490,0x1EA,00 0D,3328,0,0
499,0x1F3,02 0E,3586,0,1
596,0x254,02 0F,3842,0,1
609,0x261,02 10,4098,0,1
625,0x271,02 10,4098,0,1
638,0x27E,02 11,4354,0,1
654,0x28E,02 12,4610,0,1
693,0x2B5,02 10,4098,0,1
715,0x2CB,02 10,4098,0,1
737,0x2E1,02 10,4098,0,1
741,0x2E5,03 13,4867,1,1
765,0x2FD,02 0F,3842,0,1
769,0x301,03 13,4867,1,1
795,0x31B,02 0F,3842,0,1
817,0x331,02 0F,3842,0,1
821,0x335,02 14,5122,0,1
858,0x35A,02 15,5378,0,1
863,0x35F,03 16,5635,1,1
871,0x367,02 17,5890,0,1
882,0x372,03 18,6147,1,1
890,0x37A,02 19,6402,0,1
1033,0x409,01 1A,6657,1,0
1039,0x40F,00 1B,6912,0,0
1065,0x429,01 04,1025,1,0
1403,0x57B,01 1C,7169,1,0
1410,0x582,03 16,5635,1,1
1443,0x5A3,00 1D,7424,0,0
1446,0x5A6,00 1E,7680,0,0
1534,0x5FE,10 1F,7952,0,8
1560,0x618,10 1F,7952,0,8
1650,0x672,01 20,8193,1,0
1675,0x68B,01 05,1281,1,0
1686,0x696,01 21,8449,1,0
1697,0x6A1,01 1A,6657,1,0
1708,0x6AC,01 22,8705,1,0
1757,0x6DD,03 23,8963,1,1
1857,0x741,01 24,9217,1,0
1870,0x74E,00 25,9472,0,0
1883,0x75B,00 26,9728,0,0
1909,0x775,03 27,9987,1,1
1922,0x782,09 28,10249,1,4
1971,0x7B3,09 28,10249,1,4
1982,0x7BE,09 28,10249,1,4
2002,0x7D2,09 28,10249,1,4
2013,0x7DD,09 28,10249,1,4
2035,0x7F3,03 29,10499,1,1
2043,0x7FB,02 2A,10754,0,1
2062,0x80E,03 2B,11011,1,1
2067,0x813,01 03,769,1,0
2086,0x826,05 2C,11269,1,2
2093,0x82D,03 18,6147,1,1
2106,0x83A,07 2D,11527,1,3
2119,0x847,07 06,1543,1,3
2148,0x864,07 06,1543,1,3
2179,0x883,03 2E,11779,1,1
2213,0x8A5,09 2F,12041,1,4
2243,0x8C3,03 30,12291,1,1
2283,0x8EB,0D 31,12557,1,6
2316,0x90C,05 32,12805,1,2
2319,0x90F,02 33,13058,0,1
2327,0x917,05 34,13317,1,2
2335,0x91F,04 35,13572,0,2
2340,0x924,03 2B,11011,1,1
2392,0x958,07 36,13831,1,3
2467,0x9A3,0B 37,14091,1,5
2480,0x9B0,0B 37,14091,1,5
2492,0x9BC,07 06,1543,1,3
2509,0x9CD,03 38,14339,1,1
2512,0x9D0,04 39,14596,0,2
2545,0x9F1,0C 3A,14860,0,6
2564,0xA04,0B 37,14091,1,5
2577,0xA11,0B 37,14091,1,5
2612,0xA34,0C 3A,14860,0,6
2631,0xA47,0B 37,14091,1,5
2644,0xA54,0B 37,14091,1,5
2679,0xA77,0C 3A,14860,0,6
2693,0xA85,04 3B,15108,0,2
2699,0xA8B,04 3C,15364,0,2
2705,0xA91,04 3D,15620,0,2
2810,0xAFA,05 3E,15877,1,2
2824,0xB08,05 3F,16133,1,2
2836,0xB14,05 3E,15877,1,2
2880,0xB40,05 3F,16133,1,2
2949,0xB85,03 40,16387,1,1
2957,0xB8D,03 41,16643,1,1
2967,0xB97,03 42,16899,1,1
2995,0xBB3,05 43,17157,1,2
3017,0xBC9,0D 44,17421,1,6
3050,0xBEA,03 45,17667,1,1
3065,0xBF9,04 46,17924,0,2
3083,0xC0B,03 18,6147,1,1
3099,0xC1B,05 47,18181,1,2
3368,0xD28,03 29,10499,1,1
3403,0xD4B,09 48,18441,1,4
3424,0xD60,03 49,18691,1,1
3450,0xD7A,03 4A,18947,1,1
3502,0xDAE,01 07,1793,1,0
3512,0xDB8,01 4B,19201,1,0
3520,0xDC0,01 4C,19457,1,0
3552,0xDE0,03 4D,19715,1,1
3571,0xDF3,03 40,16387,1,1
3591,0xE07,04 4E,19972,0,2
3760,0xEB0,04 4E,19972,0,2
3909,0xF45,04 4F,20228,0,2
3940,0xF64,03 41,16643,1,1
3947,0xF6B,03 42,16899,1,1
4004,0xFA4,07 50,20487,1,3
4043,0xFCB,05 34,13317,1,2
4103,0x1007,05 51,20741,1,2
4121,0x1019,07 50,20487,1,3
4160,0x1040,05 34,13317,1,2
4172,0x104C,03 18,6147,1,1
4186,0x105A,03 52,20995,1,1
4198,0x1066,02 19,6402,0,1
4249,0x1099,03 41,16643,1,1
4281,0x10B9,03 42,16899,1,1
4298,0x10CA,03 18,6147,1,1
4315,0x10DB,03 2E,11779,1,1
4335,0x10EF,03 18,6147,1,1
4346,0x10FA,03 53,21251,1,1
4349,0x10FD,03 54,21507,1,1
4410,0x113A,01 07,1793,1,0
4457,0x1169,10 55,21776,0,8
4465,0x1171,04 56,22020,0,2
4538,0x11BA,03 42,16899,1,1
4546,0x11C2,03 57,22275,1,1
4563,0x11D3,03 58,22531,1,1
4569,0x11D9,00 59,22784,0,0
4642,0x1222,13 5A,23059,1,9
4661,0x1235,03 18,6147,1,1
4701,0x125D,15 5B,23317,1,10
4705,0x1261,04 5C,23556,0,2
4708,0x1264,00 5D,23808,0,0
4739,0x1283,04 5E,24068,0,2
4747,0x128B,01 07,1793,1,0
4785,0x12B1,04 5E,24068,0,2
4790,0x12B6,03 57,22275,1,1
4821,0x12D5,03 5F,24323,1,1
4828,0x12DC,04 56,22020,0,2
4867,0x1303,02 19,6402,0,1
4884,0x1314,04 5E,24068,0,2
4920,0x1338,01 4B,19201,1,0
4999,0x1387,01 07,1793,1,0
5075,0x13D3,03 60,24579,1,1
5119,0x13FF,03 61,24835,1,1
5123,0x1403,01 62,25089,1,0
5153,0x1421,10 63,25360,0,8
5168,0x1430,04 64,25604,0,2
5173,0x1435,04 65,25860,0,2
5718,0x1656,05 66,26117,1,2
5729,0x1661,03 40,16387,1,1
5788,0x169C,03 42,16899,1,1
5799,0x16A7,03 67,26371,1,1
5822,0x16BE,03 68,26627,1,1
5825,0x16C1,03 16,5635,1,1
5833,0x16C9,03 68,26627,1,1
5850,0x16DA,01 07,1793,1,0
5914,0x171A,03 60,24579,1,1
5944,0x1738,03 4D,19715,1,1
6002,0x1772,03 69,26883,1,1
6013,0x177D,01 07,1793,1,0
6075,0x17BB,03 60,24579,1,1
6123,0x17EB,03 4D,19715,1,1
6133,0x17F5,0E 6A,27150,0,7
6148,0x1804,03 60,24579,1,1
6189,0x182D,01 07,1793,1,0
6273,0x1881,03 60,24579,1,1
7178,0x1C0A,03 60,24579,1,1
7237,0x1C45,05 6B,27397,1,2
7277,0x1C6D,03 40,16387,1,1
7338,0x1CAA,01 04,1025,1,0
7347,0x1CB3,01 07,1793,1,0
7418,0x1CFA,01 6C,27649,1,0
7440,0x1D10,01 6D,27905,1,0
7462,0x1D26,01 07,1793,1,0
