index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,18,0,3191
1,Function_1,3191,0xC77,3196,1,5,0,3222
2,Function_2,3222,0xC96,3227,1,3,0,3244
3,Function_3,3244,0xCAC,3249,0,3,0,3304
4,Function_4,3304,0xCE8,3309,0,2,0,3316
5,Function_5,3316,0xCF4,3321,1,4,0,3354
6,Function_6,3354,0xD1A,3359,2,4,0,3656
7,Function_7,3656,0xE48,3661,2,5,0,3682
8,Function_8,3682,0xE62,3687,2,5,0,3711
9,Function_9,3711,0xE7F,3716,0,2,0,3793
10,Function_10,3793,0xED1,3798,0,2,0,4055
11,Function_11,4055,0xFD7,4060,0,3,0,4106
12,Function_12,4106,0x100A,4111,0,6,0,4504
13,Function_13,4504,0x1198,4509,0,6,0,4940
14,Function_14,4940,0x134C,4945,0,2,0,4954
15,Function_15,4954,0x135A,4959,3,19,0,5451
16,Function_16,5451,0x154B,5456,0,2,0,5460
17,Function_17,5460,0x1554,5465,1,9,0,5626
18,Function_18,5626,0x15FA,5631,3,6,0,6293
19,Function_19,6293,0x1895,6298,8,32,0,7874
20,Function_20,7874,0x1EC2,7879,0,3,0,7882
21,Function_21,7882,0x1ECA,7887,1,3,0,7899
22,Function_22,7899,0x1EDB,7904,4,14,0,8144
23,Function_23,8144,0x1FD0,8149,2,12,0,8169
24,Function_24,8169,0x1FE9,8174,4,7,0,8270
25,Function_25,8270,0x204E,8275,2,4,0,8288
26,Function_26,8288,0x2060,8293,2,4,0,8306
27,Function_27,8306,0x2072,8311,5,11,0,8610
28,Function_28,8610,0x21A2,8615,1,3,0,8625
29,Function_29,8625,0x21B1,8630,1,3,0,8682
30,Function_30,8682,0x21EA,8687,1,3,0,8743
31,Function_31,8743,0x2227,8748,1,3,0,9153
32,Function_32,9153,0x23C1,9158,3,7,0,9733
33,Function_33,9733,0x2605,9738,0,8,0,9870
34,Function_34,9870,0x268E,9875,0,8,0,10021
35,Function_35,10021,0x2725,10026,0,8,0,10148
36,Function_36,10148,0x27A4,10153,0,2,0,10205
37,Function_37,10205,0x27DD,10210,3,7,0,10727
38,Function_38,10727,0x29E7,10732,0,2,0,10742
39,Function_39,10742,0x29F6,10747,0,2,0,10785
40,Function_40,10785,0x2A21,10790,0,2,0,10828
