offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
27,0x1B,04 00,4,0,2
114,0x72,05 01,261,1,2
141,0x8D,02 02,514,0,1
146,0x92,02 03,770,0,1
154,0x9A,02 02,514,0,1
461,0x1CD,01 04,1025,1,0
470,0x1D6,02 05,1282,0,1
498,0x1F2,01 06,1537,1,0
510,0x1FE,04 07,1796,0,2
550,0x226,05 08,2053,1,2
557,0x22D,03 09,2307,1,1
588,0x24C,15 0A,2581,1,10
601,0x259,01 0B,2817,1,0
604,0x25C,01 0C,3073,1,0
618,0x26A,04 0D,3332,0,2
636,0x27C,02 0E,3586,0,1
643,0x283,07 0F,3847,1,3
646,0x286,02 10,4098,0,1
681,0x2A9,05 11,4357,1,2
685,0x2AD,08 12,4616,0,4
694,0x2B6,05 11,4357,1,2
698,0x2BA,08 12,4616,0,4
701,0x2BD,01 13,4865,1,0
709,0x2C5,03 14,5123,1,1
717,0x2CD,01 15,5377,1,0
729,0x2D9,05 16,5637,1,2
739,0x2E3,05 16,5637,1,2
749,0x2ED,05 16,5637,1,2
762,0x2FA,04 17,5892,0,2
806,0x326,01 04,1025,1,0
817,0x331,03 18,6147,1,1
862,0x35E,0A 19,6410,0,5
865,0x361,01 1A,6657,1,0
868,0x364,02 1B,6914,0,1
877,0x36D,09 1C,7177,1,4
883,0x373,01 1D,7425,1,0
887,0x377,01 15,5377,1,0
901,0x385,02 1E,7682,0,1
941,0x3AD,03 1F,7939,1,1
985,0x3D9,19 20,8217,1,12
1048,0x418,09 1C,7177,1,4
1073,0x431,00 21,8448,0,0
1119,0x45F,00 21,8448,0,0
1192,0x4A8,02 22,8706,0,1
1202,0x4B2,02 05,1282,0,1
1208,0x4B8,00 23,8960,0,0
1227,0x4CB,04 24,9220,0,2
1234,0x4D2,03 25,9475,1,1
1244,0x4DC,02 26,9730,0,1
1251,0x4E3,03 25,9475,1,1
1261,0x4ED,02 26,9730,0,1
1266,0x4F2,02 27,9986,0,1
1281,0x501,02 1E,7682,0,1
1289,0x509,00 28,10240,0,0
1447,0x5A7,02 29,10498,0,1
