offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
32,0x20,04 00,4,0,2
55,0x37,05 01,261,1,2
68,0x44,06 02,518,0,3
76,0x4C,05 03,773,1,2
84,0x54,02 04,1026,0,1
195,0xC3,02 04,1026,0,1
223,0xDF,03 05,1283,1,1
263,0x107,01 06,1537,1,0
275,0x113,04 07,1796,0,2
337,0x151,01 08,2049,1,0
344,0x158,03 09,2307,1,1
357,0x165,05 0A,2565,1,2
518,0x206,0A 0B,2826,0,5
597,0x255,15 0C,3093,1,10
604,0x25C,03 0D,3331,1,1
623,0x26F,04 00,4,0,2
636,0x27C,04 00,4,0,2
649,0x289,04 00,4,0,2
656,0x290,05 01,261,1,2
666,0x29A,0A 0E,3594,0,5
672,0x2A0,04 0F,3844,0,2
678,0x2A6,04 0F,3844,0,2
774,0x306,15 10,4117,1,10
820,0x334,15 10,4117,1,10
955,0x3BB,13 11,4371,1,9
966,0x3C6,07 12,4615,1,3
969,0x3C9,02 13,4866,0,1
1009,0x3F1,05 14,5125,1,2
1016,0x3F8,02 15,5378,0,1
1021,0x3FD,02 15,5378,0,1
1026,0x402,03 16,5635,1,1
1034,0x40A,02 04,1026,0,1
1040,0x410,01 17,5889,1,0
1050,0x41A,02 04,1026,0,1
1056,0x420,01 18,6145,1,0
1070,0x42E,06 19,6406,0,3
1079,0x437,04 1A,6660,0,2
1082,0x43A,01 1B,6913,1,0
1093,0x445,02 04,1026,0,1
1101,0x44D,02 1C,7170,0,1
1112,0x458,00 1D,7424,0,0
1124,0x464,03 1E,7683,1,1
1283,0x503,02 1F,7938,0,1
1295,0x50F,02 20,8194,0,1
1308,0x51C,04 21,8452,0,2
1328,0x530,05 22,8709,1,2
1331,0x533,02 23,8962,0,1
1343,0x53F,02 24,9218,0,1
1363,0x553,05 22,8709,1,2
1366,0x556,02 25,9474,0,1
1386,0x56A,05 22,8709,1,2
1389,0x56D,02 26,9730,0,1
1401,0x579,02 27,9986,0,1
1414,0x586,05 22,8709,1,2
1417,0x589,02 28,10242,0,1
1429,0x595,02 29,10498,0,1
1529,0x5F9,01 2A,10753,1,0
1536,0x600,03 09,2307,1,1
1552,0x610,00 2B,11008,0,0
1564,0x61C,00 2B,11008,0,0
1576,0x628,00 2B,11008,0,0
1588,0x634,00 2B,11008,0,0
1600,0x640,00 2B,11008,0,0
1612,0x64C,00 2B,11008,0,0
1624,0x658,00 2B,11008,0,0
1636,0x664,00 2B,11008,0,0
1648,0x670,00 2B,11008,0,0
1660,0x67C,00 2B,11008,0,0
1672,0x688,00 2B,11008,0,0
1684,0x694,00 2B,11008,0,0
1696,0x6A0,00 2B,11008,0,0
1708,0x6AC,00 2B,11008,0,0
1720,0x6B8,00 2B,11008,0,0
1732,0x6C4,00 2B,11008,0,0
1744,0x6D0,00 2B,11008,0,0
1756,0x6DC,00 2B,11008,0,0
1768,0x6E8,00 2B,11008,0,0
1780,0x6F4,00 2B,11008,0,0
1792,0x700,00 2B,11008,0,0
1804,0x70C,00 2B,11008,0,0
1815,0x717,00 2B,11008,0,0
1827,0x723,00 2B,11008,0,0
1839,0x72F,00 2B,11008,0,0
1851,0x73B,00 2B,11008,0,0
1863,0x747,00 2B,11008,0,0
1875,0x753,00 2B,11008,0,0
1887,0x75F,00 2B,11008,0,0
1899,0x76B,00 2B,11008,0,0
1911,0x777,00 2B,11008,0,0
1923,0x783,00 2B,11008,0,0
1935,0x78F,00 2B,11008,0,0
1947,0x79B,00 2B,11008,0,0
1959,0x7A7,00 2B,11008,0,0
1971,0x7B3,00 2B,11008,0,0
1983,0x7BF,00 2B,11008,0,0
1995,0x7CB,00 2B,11008,0,0
2007,0x7D7,00 2B,11008,0,0
2019,0x7E3,00 2B,11008,0,0
2031,0x7EF,00 2B,11008,0,0
2043,0x7FB,00 2B,11008,0,0
2055,0x807,00 2B,11008,0,0
2067,0x813,00 2B,11008,0,0
2079,0x81F,00 2B,11008,0,0
2091,0x82B,00 2B,11008,0,0
2103,0x837,00 2B,11008,0,0
2115,0x843,00 2B,11008,0,0
2127,0x84F,00 2B,11008,0,0
2139,0x85B,00 2B,11008,0,0
2151,0x867,00 2B,11008,0,0
2163,0x873,00 2B,11008,0,0
2175,0x87F,00 2B,11008,0,0
2187,0x88B,00 2B,11008,0,0
2199,0x897,00 2B,11008,0,0
2211,0x8A3,00 2B,11008,0,0
2223,0x8AF,00 2B,11008,0,0
2235,0x8BB,00 2B,11008,0,0
2260,0x8D4,05 0A,2565,1,2
2310,0x906,05 2C,11269,1,2
2327,0x917,07 2D,11527,1,3
2346,0x92A,07 2D,11527,1,3
2358,0x936,03 2E,11779,1,1
2369,0x941,03 2F,12035,1,1
2381,0x94D,05 30,12293,1,2
2388,0x954,03 09,2307,1,1
2484,0x9B4,02 31,12546,0,1
2489,0x9B9,02 32,12802,0,1
2492,0x9BC,00 33,13056,0,0
2608,0xA30,02 34,13314,0,1
2642,0xA52,05 0A,2565,1,2
2675,0xA73,05 35,13573,1,2
2711,0xA97,09 36,13833,1,4
2725,0xAA5,09 37,14089,1,4
2751,0xABF,05 0A,2565,1,2
2772,0xAD4,07 38,14343,1,3
2803,0xAF3,05 0A,2565,1,2
2830,0xB0E,03 16,5635,1,1
2839,0xB17,02 39,14594,0,1
2842,0xB1A,01 3A,14849,1,0
2913,0xB61,01 18,6145,1,0
2980,0xBA4,03 16,5635,1,1
2995,0xBB3,02 39,14594,0,1
3043,0xBE3,01 1B,6913,1,0
3060,0xBF4,02 04,1026,0,1
3065,0xBF9,01 3B,15105,1,0
3075,0xC03,04 3C,15364,0,2
3078,0xC06,00 3D,15616,0,0
3082,0xC0A,02 3E,15874,0,1
3091,0xC13,01 3F,16129,1,0
3438,0xD6E,05 0A,2565,1,2
3461,0xD85,04 40,16388,0,2
3487,0xD9F,03 41,16643,1,1
3507,0xDB3,03 42,16899,1,1
3534,0xDCE,03 43,17155,1,1
3543,0xDD7,02 04,1026,0,1
3569,0xDF1,07 44,17415,1,3
3602,0xE12,05 45,17669,1,2
3633,0xE31,05 46,17925,1,2
3660,0xE4C,05 0A,2565,1,2
3666,0xE52,01 47,18177,1,0
3674,0xE5A,03 48,18435,1,1
3682,0xE62,03 48,18435,1,1
3709,0xE7D,05 49,18693,1,2
3739,0xE9B,04 4A,18948,0,2
3753,0xEA9,09 4B,19209,1,4
3758,0xEAE,02 4C,19458,0,1
3765,0xEB5,06 4D,19718,0,3
3769,0xEB9,02 4E,19970,0,1
3774,0xEBE,04 4F,20228,0,2
3782,0xEC6,06 50,20486,0,3
3786,0xECA,02 51,20738,0,1
3790,0xECE,02 52,20994,0,1
3794,0xED2,02 53,21250,0,1
3799,0xED7,04 54,21508,0,2
3803,0xEDB,02 55,21762,0,1
3807,0xEDF,02 56,22018,0,1
3832,0xEF8,05 0A,2565,1,2
3838,0xEFE,01 47,18177,1,0
3846,0xF06,03 48,18435,1,1
3852,0xF0C,03 48,18435,1,1
3859,0xF13,03 57,22275,1,1
3958,0xF76,02 34,13314,0,1
4058,0xFDA,02 34,13314,0,1
4063,0xFDF,03 58,22531,1,1
4145,0x1031,03 59,22787,1,1
4225,0x1081,03 59,22787,1,1
4422,0x1146,02 34,13314,0,1
4842,0x12EA,02 34,13314,0,1
4936,0x1348,02 31,12546,0,1
