offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
117,0x75,05 00,5,1,2
122,0x7A,01 01,257,1,0
128,0x80,03 02,515,1,1
137,0x89,02 03,770,0,1
146,0x92,01 01,257,1,0
218,0xDA,02 03,770,0,1
247,0xF7,04 04,1028,0,2
266,0x10A,02 05,1282,0,1
275,0x113,00 06,1536,0,0
293,0x125,02 07,1794,0,1
451,0x1C3,02 08,2050,0,1
463,0x1CF,02 09,2306,0,1
476,0x1DC,04 0A,2564,0,2
496,0x1F0,05 0B,2821,1,2
499,0x1F3,02 0C,3074,0,1
511,0x1FF,02 0D,3330,0,1
531,0x213,05 0B,2821,1,2
534,0x216,02 0E,3586,0,1
554,0x22A,05 0B,2821,1,2
557,0x22D,02 0F,3842,0,1
569,0x239,02 10,4098,0,1
582,0x246,05 0B,2821,1,2
585,0x249,02 11,4354,0,1
597,0x255,02 12,4610,0,1
754,0x2F2,02 13,4866,0,1
767,0x2FF,02 14,5122,0,1
783,0x30F,02 14,5122,0,1
796,0x31C,02 15,5378,0,1
812,0x32C,02 16,5634,0,1
851,0x353,02 14,5122,0,1
873,0x369,02 14,5122,0,1
895,0x37F,02 14,5122,0,1
899,0x383,03 17,5891,1,1
923,0x39B,02 13,4866,0,1
927,0x39F,03 17,5891,1,1
953,0x3B9,02 13,4866,0,1
975,0x3CF,02 13,4866,0,1
979,0x3D3,02 18,6146,0,1
1124,0x464,04 19,6404,0,2
1143,0x477,02 1A,6658,0,1
1188,0x4A4,04 1B,6916,0,2
1283,0x503,03 1C,7171,1,1
1293,0x50D,02 1D,7426,0,1
1310,0x51E,03 1C,7171,1,1
1319,0x527,02 1D,7426,0,1
1326,0x52E,03 1C,7171,1,1
1336,0x538,02 1D,7426,0,1
1514,0x5EA,02 1E,7682,0,1
1527,0x5F7,02 1E,7682,0,1
1543,0x607,02 1E,7682,0,1
1556,0x614,02 1F,7938,0,1
1572,0x624,02 1F,7938,0,1
1612,0x64C,02 20,8194,0,1
1634,0x662,02 20,8194,0,1
1656,0x678,02 20,8194,0,1
1676,0x68C,02 1F,7938,0,1
1698,0x6A2,02 1F,7938,0,1
1720,0x6B8,02 1F,7938,0,1
1724,0x6BC,02 18,6146,0,1
1821,0x71D,03 21,8451,1,1
1905,0x771,03 22,8707,1,1
1946,0x79A,03 23,8963,1,1
1949,0x79D,05 24,9221,1,2
1968,0x7B0,03 23,8963,1,1
1971,0x7B3,05 24,9221,1,2
1990,0x7C6,03 23,8963,1,1
1993,0x7C9,05 24,9221,1,2
2012,0x7DC,03 23,8963,1,1
2015,0x7DF,05 24,9221,1,2
2020,0x7E4,03 25,9475,1,1
2028,0x7EC,03 25,9475,1,1
2039,0x7F7,03 25,9475,1,1
2075,0x81B,05 24,9221,1,2
2088,0x828,05 24,9221,1,2
2101,0x835,05 24,9221,1,2
2114,0x842,05 24,9221,1,2
2119,0x847,03 25,9475,1,1
2166,0x876,03 26,9731,1,1
2179,0x883,02 27,9986,0,1
2233,0x8B9,03 28,10243,1,1
2244,0x8C4,05 29,10501,1,2
2254,0x8CE,05 2A,10757,1,2
2267,0x8DB,01 2B,11009,1,0
2351,0x92F,03 28,10243,1,1
3256,0xCB8,03 28,10243,1,1
3315,0xCF3,05 2C,11269,1,2
3348,0xD14,00 2D,11520,0,0
3357,0xD1D,02 2E,11778,0,1
3472,0xD90,05 2F,12037,1,2
3486,0xD9E,05 2F,12037,1,2
3505,0xDB1,05 2F,12037,1,2
3519,0xDBF,05 2F,12037,1,2
3564,0xDEC,05 24,9221,1,2
3579,0xDFB,03 22,8707,1,1
3648,0xE40,05 24,9221,1,2
3660,0xE4C,05 24,9221,1,2
3672,0xE58,01 2B,11009,1,0
3756,0xEAC,03 28,10243,1,1
4084,0xFF4,01 2B,11009,1,0
4156,0x103C,03 28,10243,1,1
4243,0x1093,01 2B,11009,1,0
4317,0x10DD,03 28,10243,1,1
4401,0x1131,05 29,10501,1,2
