offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
98,0x62,01 00,1,1,0
107,0x6B,02 01,258,0,1
176,0xB0,0D 02,525,1,6
191,0xBF,03 03,771,1,1
206,0xCE,09 04,1033,1,4
271,0x10F,0D 02,525,1,6
286,0x11E,03 03,771,1,1
301,0x12D,09 04,1033,1,4
331,0x14B,05 05,1285,1,2
336,0x150,01 00,1,1,0
342,0x156,03 06,1539,1,1
351,0x15F,02 01,258,0,1
360,0x168,01 00,1,1,0
432,0x1B0,02 01,258,0,1
444,0x1BC,01 07,1793,1,0
466,0x1D2,04 08,2052,0,2
486,0x1E6,02 09,2306,0,1
495,0x1EF,00 0A,2560,0,0
513,0x201,02 0B,2818,0,1
671,0x29F,02 0C,3074,0,1
683,0x2AB,02 0D,3330,0,1
696,0x2B8,04 0E,3588,0,2
716,0x2CC,05 0F,3845,1,2
719,0x2CF,02 10,4098,0,1
731,0x2DB,02 11,4354,0,1
751,0x2EF,05 0F,3845,1,2
754,0x2F2,02 12,4610,0,1
774,0x306,05 0F,3845,1,2
777,0x309,02 13,4866,0,1
789,0x315,02 14,5122,0,1
802,0x322,05 0F,3845,1,2
805,0x325,02 15,5378,0,1
817,0x331,02 16,5634,0,1
974,0x3CE,02 17,5890,0,1
987,0x3DB,02 18,6146,0,1
1003,0x3EB,02 18,6146,0,1
1016,0x3F8,02 19,6402,0,1
1032,0x408,02 1A,6658,0,1
1071,0x42F,02 18,6146,0,1
1093,0x445,02 18,6146,0,1
1115,0x45B,02 18,6146,0,1
1119,0x45F,03 1B,6915,1,1
1143,0x477,02 17,5890,0,1
1147,0x47B,03 1B,6915,1,1
1173,0x495,02 17,5890,0,1
1195,0x4AB,02 17,5890,0,1
1199,0x4AF,02 1C,7170,0,1
1344,0x540,04 1D,7428,0,2
1363,0x553,02 1E,7682,0,1
1408,0x580,04 1F,7940,0,2
1503,0x5DF,03 03,771,1,1
1513,0x5E9,02 20,8194,0,1
1530,0x5FA,03 03,771,1,1
1539,0x603,02 20,8194,0,1
1546,0x60A,03 03,771,1,1
1556,0x614,02 20,8194,0,1
1734,0x6C6,02 21,8450,0,1
1747,0x6D3,02 21,8450,0,1
1763,0x6E3,02 21,8450,0,1
1776,0x6F0,02 22,8706,0,1
1792,0x700,02 22,8706,0,1
1832,0x728,02 23,8962,0,1
1854,0x73E,02 23,8962,0,1
1876,0x754,02 23,8962,0,1
1896,0x768,02 22,8706,0,1
1918,0x77E,02 22,8706,0,1
1940,0x794,02 22,8706,0,1
1944,0x798,02 1C,7170,0,1
2041,0x7F9,03 24,9219,1,1
2125,0x84D,03 25,9475,1,1
2166,0x876,03 26,9731,1,1
2169,0x879,05 27,9989,1,2
2188,0x88C,03 26,9731,1,1
2191,0x88F,05 27,9989,1,2
2210,0x8A2,03 26,9731,1,1
2213,0x8A5,05 27,9989,1,2
2232,0x8B8,03 26,9731,1,1
2235,0x8BB,05 27,9989,1,2
2240,0x8C0,03 28,10243,1,1
2248,0x8C8,03 28,10243,1,1
2259,0x8D3,03 28,10243,1,1
2295,0x8F7,05 27,9989,1,2
2308,0x904,05 27,9989,1,2
2321,0x911,05 27,9989,1,2
2334,0x91E,05 27,9989,1,2
2339,0x923,03 28,10243,1,1
2386,0x952,03 29,10499,1,1
2399,0x95F,02 2A,10754,0,1
2453,0x995,03 2B,11011,1,1
2464,0x9A0,05 2C,11269,1,2
2474,0x9AA,05 2D,11525,1,2
2487,0x9B7,01 2E,11777,1,0
2571,0xA0B,03 2B,11011,1,1
3476,0xD94,03 2B,11011,1,1
3535,0xDCF,05 2F,12037,1,2
3568,0xDF0,00 30,12288,0,0
3577,0xDF9,02 31,12546,0,1
3698,0xE72,05 32,12805,1,2
3712,0xE80,05 32,12805,1,2
3731,0xE93,05 32,12805,1,2
3745,0xEA1,05 32,12805,1,2
3782,0xEC6,03 25,9475,1,1
3808,0xEE0,03 25,9475,1,1
3834,0xEFA,05 27,9989,1,2
3857,0xF11,03 25,9475,1,1
3865,0xF19,03 25,9475,1,1
3934,0xF5E,05 27,9989,1,2
3946,0xF6A,05 27,9989,1,2
3996,0xF9C,01 33,13057,1,0
4005,0xFA5,01 2E,11777,1,0
4026,0xFBA,03 24,9219,1,1
4089,0xFF9,01 2E,11777,1,0
4173,0x104D,03 2B,11011,1,1
4501,0x1195,01 2E,11777,1,0
4573,0x11DD,03 2B,11011,1,1
4660,0x1234,01 2E,11777,1,0
4734,0x127E,03 2B,11011,1,1
4818,0x12D2,05 2C,11269,1,2
4827,0x12DB,02 34,13314,0,1
4863,0x12FF,04 35,13572,0,2
4884,0x1314,04 35,13572,0,2
4906,0x132A,04 35,13572,0,2
4931,0x1343,04 35,13572,0,2
4958,0x135E,04 35,13572,0,2
4976,0x1370,04 35,13572,0,2
4999,0x1387,02 36,13826,0,1
5009,0x1391,02 37,14082,0,1
5016,0x1398,02 37,14082,0,1
5094,0x13E6,03 26,9731,1,1
5099,0x13EB,03 2B,11011,1,1
5104,0x13F0,0A 38,14346,0,5
5138,0x1412,03 26,9731,1,1
5150,0x141E,06 39,14598,0,3
5182,0x143E,03 26,9731,1,1
5185,0x1441,06 39,14598,0,3
5260,0x148C,02 3A,14850,0,1
5316,0x14C4,03 26,9731,1,1
5320,0x14C8,05 2C,11269,1,2
5329,0x14D1,03 26,9731,1,1
5333,0x14D5,05 2C,11269,1,2
5339,0x14DB,03 25,9475,1,1
5356,0x14EC,05 27,9989,1,2
5373,0x14FD,05 27,9989,1,2
5390,0x150E,05 27,9989,1,2
5420,0x152C,02 34,13314,0,1
5427,0x1533,05 27,9989,1,2
5489,0x1571,03 2B,11011,1,1
5537,0x15A1,03 3B,15107,1,1
5636,0x1604,02 31,12546,0,1
5658,0x161A,02 31,12546,0,1
5735,0x1667,02 3C,15362,0,1
5754,0x167A,01 33,13057,1,0
5786,0x169A,03 26,9731,1,1
5791,0x169F,05 2C,11269,1,2
5796,0x16A4,03 25,9475,1,1
5833,0x16C9,02 3D,15618,0,1
5856,0x16E0,02 3E,15874,0,1
5866,0x16EA,02 3F,16130,0,1
5933,0x172D,02 40,16386,0,1
5996,0x176C,03 26,9731,1,1
6005,0x1775,03 41,16643,1,1
6043,0x179B,03 41,16643,1,1
6048,0x17A0,03 41,16643,1,1
6061,0x17AD,03 41,16643,1,1
6077,0x17BD,05 42,16901,1,2
6116,0x17E4,09 43,17161,1,4
6156,0x180C,19 44,17433,1,12
6188,0x182C,09 45,17673,1,4
6218,0x184A,09 45,17673,1,4
6238,0x185E,05 46,17925,1,2
6256,0x1870,02 47,18178,0,1
6261,0x1875,02 48,18434,0,1
6274,0x1882,03 03,771,1,1
6303,0x189F,05 49,18693,1,2
6310,0x18A6,03 03,771,1,1
6333,0x18BD,03 4A,18947,1,1
6340,0x18C4,03 4B,19203,1,1
6349,0x18CD,03 4C,19459,1,1
6361,0x18D9,05 4D,19717,1,2
6375,0x18E7,0B 4E,19979,1,5
6391,0x18F7,0B 4E,19979,1,5
6419,0x1913,0A 4F,20234,0,5
6432,0x1920,03 50,20483,1,1
6458,0x193A,03 51,20739,1,1
6479,0x194F,03 03,771,1,1
6489,0x1959,04 52,20996,0,2
6509,0x196D,0B 4E,19979,1,5
6525,0x197D,04 53,21252,0,2
6530,0x1982,02 54,21506,0,1
6609,0x19D1,05 55,21765,1,2
6619,0x19DB,05 56,22021,1,2
6626,0x19E2,05 56,22021,1,2
6641,0x19F1,01 57,22273,1,0
6644,0x19F4,01 58,22529,1,0
6681,0x1A19,01 59,22785,1,0
6710,0x1A36,03 5A,23043,1,1
6733,0x1A4D,0D 5B,23309,1,6
6848,0x1AC0,03 5C,23555,1,1
6911,0x1AFF,05 5D,23813,1,2
6914,0x1B02,02 5E,24066,0,1
6932,0x1B14,03 5A,23043,1,1
6982,0x1B46,03 5F,24323,1,1
7094,0x1BB6,03 5F,24323,1,1
7149,0x1BED,06 60,24582,0,3
7155,0x1BF3,03 03,771,1,1
7187,0x1C13,15 61,24853,1,10
7230,0x1C3E,15 61,24853,1,10
7256,0x1C58,09 62,25097,1,4
7267,0x1C63,09 63,25353,1,4
7293,0x1C7D,09 62,25097,1,4
7305,0x1C89,09 63,25353,1,4
7400,0x1CE8,03 26,9731,1,1
7403,0x1CEB,04 64,25604,0,2
7491,0x1D43,03 26,9731,1,1
7498,0x1D4A,03 2B,11011,1,1
7513,0x1D59,03 65,25859,1,1
7516,0x1D5C,03 2B,11011,1,1
7520,0x1D60,0A 38,14346,0,5
7608,0x1DB8,0B 66,26123,1,5
7619,0x1DC3,0B 67,26379,1,5
7638,0x1DD6,09 68,26633,1,4
7701,0x1E15,15 69,26901,1,10
7798,0x1E76,0B 66,26123,1,5
7810,0x1E82,0B 67,26379,1,5
7825,0x1E91,03 6A,27139,1,1
7837,0x1E9D,15 69,26901,1,10
7891,0x1ED3,03 6B,27395,1,1
7898,0x1EDA,03 6B,27395,1,1
7924,0x1EF4,03 6C,27651,1,1
8011,0x1F4B,05 6D,27909,1,2
8063,0x1F7F,05 6D,27909,1,2
