offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
114,0x72,05 00,5,1,2
119,0x77,01 01,257,1,0
125,0x7D,03 02,515,1,1
134,0x86,02 03,770,0,1
144,0x90,01 01,257,1,0
217,0xD9,02 03,770,0,1
246,0xF6,04 04,1028,0,2
265,0x109,02 05,1282,0,1
274,0x112,00 06,1536,0,0
292,0x124,02 07,1794,0,1
450,0x1C2,02 08,2050,0,1
462,0x1CE,02 09,2306,0,1
475,0x1DB,04 0A,2564,0,2
495,0x1EF,05 0B,2821,1,2
498,0x1F2,02 0C,3074,0,1
510,0x1FE,02 0D,3330,0,1
530,0x212,05 0B,2821,1,2
533,0x215,02 0E,3586,0,1
553,0x229,05 0B,2821,1,2
556,0x22C,02 0F,3842,0,1
568,0x238,02 10,4098,0,1
581,0x245,05 0B,2821,1,2
584,0x248,02 11,4354,0,1
596,0x254,02 12,4610,0,1
753,0x2F1,02 13,4866,0,1
766,0x2FE,02 14,5122,0,1
782,0x30E,02 14,5122,0,1
795,0x31B,02 15,5378,0,1
811,0x32B,02 16,5634,0,1
850,0x352,02 14,5122,0,1
872,0x368,02 14,5122,0,1
894,0x37E,02 14,5122,0,1
898,0x382,03 17,5891,1,1
922,0x39A,02 13,4866,0,1
926,0x39E,03 17,5891,1,1
952,0x3B8,02 13,4866,0,1
974,0x3CE,02 13,4866,0,1
978,0x3D2,02 18,6146,0,1
1123,0x463,04 19,6404,0,2
1142,0x476,02 1A,6658,0,1
1187,0x4A3,04 1B,6916,0,2
1282,0x502,03 1C,7171,1,1
1292,0x50C,02 1D,7426,0,1
1309,0x51D,03 1C,7171,1,1
1318,0x526,02 1D,7426,0,1
1325,0x52D,03 1C,7171,1,1
1335,0x537,02 1D,7426,0,1
1513,0x5E9,02 1E,7682,0,1
1526,0x5F6,02 1E,7682,0,1
1542,0x606,02 1E,7682,0,1
1555,0x613,02 1F,7938,0,1
1571,0x623,02 1F,7938,0,1
1611,0x64B,02 20,8194,0,1
1633,0x661,02 20,8194,0,1
1655,0x677,02 20,8194,0,1
1675,0x68B,02 1F,7938,0,1
1697,0x6A1,02 1F,7938,0,1
1719,0x6B7,02 1F,7938,0,1
1723,0x6BB,02 18,6146,0,1
1820,0x71C,03 21,8451,1,1
1904,0x770,03 22,8707,1,1
1945,0x799,03 23,8963,1,1
1948,0x79C,05 24,9221,1,2
1967,0x7AF,03 23,8963,1,1
1970,0x7B2,05 24,9221,1,2
1989,0x7C5,03 23,8963,1,1
1992,0x7C8,05 24,9221,1,2
2011,0x7DB,03 23,8963,1,1
2014,0x7DE,05 24,9221,1,2
2019,0x7E3,03 25,9475,1,1
2027,0x7EB,03 25,9475,1,1
2038,0x7F6,03 25,9475,1,1
2074,0x81A,05 24,9221,1,2
2087,0x827,05 24,9221,1,2
2100,0x834,05 24,9221,1,2
2113,0x841,05 24,9221,1,2
2118,0x846,03 25,9475,1,1
2165,0x875,03 26,9731,1,1
2178,0x882,02 27,9986,0,1
2232,0x8B8,03 28,10243,1,1
2243,0x8C3,05 29,10501,1,2
2253,0x8CD,05 2A,10757,1,2
2266,0x8DA,01 2B,11009,1,0
2350,0x92E,03 28,10243,1,1
3255,0xCB7,03 28,10243,1,1
3314,0xCF2,05 2C,11269,1,2
3347,0xD13,00 2D,11520,0,0
3356,0xD1C,02 2E,11778,0,1
3471,0xD8F,05 2F,12037,1,2
3485,0xD9D,05 2F,12037,1,2
3504,0xDB0,05 2F,12037,1,2
3518,0xDBE,05 2F,12037,1,2
3563,0xDEB,05 24,9221,1,2
3578,0xDFA,03 22,8707,1,1
3647,0xE3F,05 24,9221,1,2
3659,0xE4B,05 24,9221,1,2
3671,0xE57,01 2B,11009,1,0
3755,0xEAB,03 28,10243,1,1
4083,0xFF3,01 2B,11009,1,0
4155,0x103B,03 28,10243,1,1
4242,0x1092,01 2B,11009,1,0
4316,0x10DC,03 28,10243,1,1
4400,0x1130,05 29,10501,1,2
4409,0x1139,02 30,12290,0,1
4445,0x115D,04 31,12548,0,2
4466,0x1172,04 31,12548,0,2
4488,0x1188,04 31,12548,0,2
4513,0x11A1,04 31,12548,0,2
4540,0x11BC,04 31,12548,0,2
4558,0x11CE,04 31,12548,0,2
4582,0x11E6,02 2E,11778,0,1
4604,0x11FC,02 2E,11778,0,1
4681,0x1249,02 32,12802,0,1
4700,0x125C,01 33,13057,1,0
4732,0x127C,03 23,8963,1,1
4737,0x1281,05 29,10501,1,2
4742,0x1286,03 22,8707,1,1
4779,0x12AB,02 34,13314,0,1
4802,0x12C2,02 35,13570,0,1
4812,0x12CC,02 36,13826,0,1
4879,0x130F,02 37,14082,0,1
4942,0x134E,03 23,8963,1,1
4951,0x1357,03 38,14339,1,1
4989,0x137D,03 38,14339,1,1
4994,0x1382,03 38,14339,1,1
5007,0x138F,03 38,14339,1,1
5023,0x139F,05 39,14597,1,2
5062,0x13C6,09 3A,14857,1,4
5102,0x13EE,19 3B,15129,1,12
5134,0x140E,09 3C,15369,1,4
5164,0x142C,09 3C,15369,1,4
5184,0x1440,05 3D,15621,1,2
5202,0x1452,02 3E,15874,0,1
5207,0x1457,02 3F,16130,0,1
5220,0x1464,03 1C,7171,1,1
5249,0x1481,05 40,16389,1,2
5256,0x1488,03 1C,7171,1,1
5279,0x149F,03 41,16643,1,1
5286,0x14A6,03 42,16899,1,1
5295,0x14AF,03 43,17155,1,1
5307,0x14BB,05 44,17413,1,2
5321,0x14C9,0B 45,17675,1,5
5337,0x14D9,0B 45,17675,1,5
5365,0x14F5,0A 46,17930,0,5
5378,0x1502,03 47,18179,1,1
5404,0x151C,03 48,18435,1,1
5425,0x1531,03 1C,7171,1,1
5435,0x153B,04 49,18692,0,2
5455,0x154F,0B 45,17675,1,5
5471,0x155F,04 4A,18948,0,2
5476,0x1564,02 4B,19202,0,1
5555,0x15B3,05 4C,19461,1,2
5565,0x15BD,05 4D,19717,1,2
5572,0x15C4,05 4D,19717,1,2
5587,0x15D3,01 4E,19969,1,0
5590,0x15D6,01 4F,20225,1,0
5627,0x15FB,01 50,20481,1,0
5656,0x1618,03 51,20739,1,1
5679,0x162F,0D 52,21005,1,6
5794,0x16A2,03 53,21251,1,1
5857,0x16E1,05 54,21509,1,2
5860,0x16E4,02 55,21762,0,1
5878,0x16F6,03 51,20739,1,1
5928,0x1728,03 56,22019,1,1
6040,0x1798,03 56,22019,1,1
6095,0x17CF,06 57,22278,0,3
6101,0x17D5,03 1C,7171,1,1
6133,0x17F5,15 58,22549,1,10
6176,0x1820,15 58,22549,1,10
6202,0x183A,09 59,22793,1,4
6213,0x1845,09 5A,23049,1,4
6239,0x185F,09 59,22793,1,4
6251,0x186B,09 5A,23049,1,4
6346,0x18CA,03 23,8963,1,1
6349,0x18CD,04 5B,23300,0,2
6437,0x1925,03 23,8963,1,1
6444,0x192C,03 28,10243,1,1
6459,0x193B,03 5C,23555,1,1
6462,0x193E,03 28,10243,1,1
6466,0x1942,0A 5D,23818,0,5
6554,0x199A,0B 5E,24075,1,5
6565,0x19A5,0B 5F,24331,1,5
6584,0x19B8,09 60,24585,1,4
6647,0x19F7,15 61,24853,1,10
6744,0x1A58,0B 5E,24075,1,5
6756,0x1A64,0B 5F,24331,1,5
6771,0x1A73,03 62,25091,1,1
6783,0x1A7F,15 61,24853,1,10
6837,0x1AB5,03 63,25347,1,1
6844,0x1ABC,03 63,25347,1,1
6870,0x1AD6,03 64,25603,1,1
6957,0x1B2D,05 65,25861,1,2
7009,0x1B61,05 65,25861,1,2
7029,0x1B75,05 65,25861,1,2
7075,0x1BA3,05 65,25861,1,2
7125,0x1BD5,03 64,25603,1,1
7364,0x1CC4,03 62,25091,1,1
7386,0x1CDA,15 61,24853,1,10
7394,0x1CE2,04 66,26116,0,2
7399,0x1CE7,03 1C,7171,1,1
7421,0x1CFD,15 67,26389,1,10
7476,0x1D34,03 64,25603,1,1
7882,0x1ECA,09 60,24585,1,4
7928,0x1EF8,06 57,22278,0,3
7959,0x1F17,15 61,24853,1,10
8041,0x1F69,01 50,20481,1,0
8074,0x1F8A,03 68,26627,1,1
8217,0x2019,03 23,8963,1,1
8220,0x201C,03 69,26883,1,1
8232,0x2028,01 6A,27137,1,0
8241,0x2031,03 6B,27395,1,1
8267,0x204B,03 28,10243,1,1
8297,0x2069,04 19,6404,0,2
8313,0x2079,02 15,5378,0,1
8332,0x208C,02 1A,6658,0,1
8480,0x2120,04 6C,27652,0,2
8519,0x2147,03 6D,27907,1,1
8587,0x218B,03 6D,27907,1,1
8752,0x2230,03 6D,27907,1,1
8843,0x228B,01 4E,19969,1,0
8864,0x22A0,01 4E,19969,1,0
8991,0x231F,03 6D,27907,1,1
9010,0x2332,04 6E,28164,0,2
9025,0x2341,02 1D,7426,0,1
9060,0x2364,03 6D,27907,1,1
9117,0x239D,03 6F,28419,1,1
9132,0x23AC,03 70,28675,1,1
9168,0x23D0,04 6E,28164,0,2
9186,0x23E2,03 71,28931,1,1
9201,0x23F1,03 70,28675,1,1
9222,0x2406,04 72,29188,0,2
9264,0x2430,03 6D,27907,1,1
9285,0x2445,07 73,29447,1,3
9302,0x2456,05 74,29701,1,2
9321,0x2469,05 75,29957,1,2
9327,0x246F,03 76,30211,1,1
9337,0x2479,04 77,30468,0,2
9348,0x2484,03 6D,27907,1,1
9371,0x249B,07 73,29447,1,3
9386,0x24AA,05 74,29701,1,2
9403,0x24BB,05 75,29957,1,2
9409,0x24C1,03 76,30211,1,1
9418,0x24CA,04 77,30468,0,2
9468,0x24FC,03 02,515,1,1
9566,0x255E,07 78,30727,1,3
9573,0x2565,03 79,30979,1,1
9576,0x2568,03 6D,27907,1,1
9590,0x2576,03 79,30979,1,1
9670,0x25C6,01 7A,31233,1,0
9947,0x26DB,02 7B,31490,0,1
9968,0x26F0,02 7C,31746,0,1
9996,0x270C,03 7D,32003,1,1
10041,0x2739,01 50,20481,1,0
10066,0x2752,07 7E,32263,1,3
10101,0x2775,00 7F,32512,0,0
10170,0x27BA,02 80,32770,0,1
10181,0x27C5,03 7D,32003,1,1
10216,0x27E8,04 81,33028,0,2
10232,0x27F8,01 82,33281,1,0
10240,0x2800,01 82,33281,1,0
10257,0x2811,03 83,33539,1,1
10261,0x2815,0A 84,33802,0,5
10307,0x2843,05 65,25861,1,2
10316,0x284C,02 7C,31746,0,1
10325,0x2855,05 65,25861,1,2
10334,0x285E,02 7B,31490,0,1
10337,0x2861,00 85,34048,0,0
10344,0x2868,02 7C,31746,0,1
10348,0x286C,02 7B,31490,0,1
10369,0x2881,02 7C,31746,0,1
10372,0x2884,00 85,34048,0,0
10396,0x289C,05 65,25861,1,2
10405,0x28A5,02 7C,31746,0,1
10408,0x28A8,00 85,34048,0,0
10426,0x28BA,02 7B,31490,0,1
10450,0x28D2,05 65,25861,1,2
10459,0x28DB,02 7B,31490,0,1
10487,0x28F7,02 86,34306,0,1
10492,0x28FC,03 87,34563,1,1
10495,0x28FF,02 88,34818,0,1
10503,0x2907,02 86,34306,0,1
10508,0x290C,03 7D,32003,1,1
10511,0x290F,02 88,34818,0,1
10518,0x2916,02 86,34306,0,1
10523,0x291B,03 89,35075,1,1
10526,0x291E,02 88,34818,0,1
10533,0x2925,02 86,34306,0,1
10538,0x292A,03 8A,35331,1,1
10541,0x292D,02 88,34818,0,1
10554,0x293A,09 8B,35593,1,4
10569,0x2949,00 7F,32512,0,0
10696,0x29C8,01 8C,35841,1,0
10776,0x2A18,02 80,32770,0,1
10865,0x2A71,02 86,34306,0,1
10917,0x2AA5,01 33,13057,1,0
10929,0x2AB1,03 48,18435,1,1
11417,0x2C99,02 8D,36098,0,1
11433,0x2CA9,09 3A,14857,1,4
11445,0x2CB5,09 3C,15369,1,4
11451,0x2CBB,03 8E,36355,1,1
11460,0x2CC4,04 8F,36612,0,2
11465,0x2CC9,03 90,36867,1,1
11472,0x2CD0,03 1C,7171,1,1
11480,0x2CD8,02 1D,7426,0,1
11491,0x2CE3,03 91,37123,1,1
11501,0x2CED,02 3E,15874,0,1
11506,0x2CF2,02 92,37378,0,1
11707,0x2DBB,04 49,18692,0,2
11729,0x2DD1,02 93,37634,0,1
11749,0x2DE5,04 04,1028,0,2
11754,0x2DEA,02 4B,19202,0,1
13126,0x3346,03 94,37891,1,1
13129,0x3349,03 5C,23555,1,1
13401,0x3459,07 95,38151,1,3
13477,0x34A5,03 38,14339,1,1
13622,0x3536,03 47,18179,1,1
13644,0x354C,05 96,38405,1,2
13651,0x3553,03 1C,7171,1,1
13661,0x355D,05 97,38661,1,2
13735,0x35A7,03 48,18435,1,1
13796,0x35E4,19 3B,15129,1,12
13853,0x361D,19 3B,15129,1,12
13876,0x3634,05 98,38917,1,2
13934,0x366E,19 3B,15129,1,12
13955,0x3683,04 99,39172,0,2
14009,0x36B9,19 3B,15129,1,12
14030,0x36CE,04 99,39172,0,2
14084,0x3704,19 3B,15129,1,12
14105,0x3719,04 99,39172,0,2
14159,0x374F,19 3B,15129,1,12
14180,0x3764,04 99,39172,0,2
14234,0x379A,19 3B,15129,1,12
14255,0x37AF,04 99,39172,0,2
14311,0x37E7,19 3B,15129,1,12
14371,0x3823,19 3B,15129,1,12
14431,0x385F,19 3B,15129,1,12
14491,0x389B,19 3B,15129,1,12
14551,0x38D7,19 3B,15129,1,12
14611,0x3913,19 3B,15129,1,12
14671,0x394F,19 3B,15129,1,12
14731,0x398B,19 3B,15129,1,12
14791,0x39C7,19 3B,15129,1,12
14851,0x3A03,19 3B,15129,1,12
14912,0x3A40,19 3B,15129,1,12
14973,0x3A7D,19 3B,15129,1,12
15034,0x3ABA,19 3B,15129,1,12
15095,0x3AF7,19 3B,15129,1,12
15156,0x3B34,19 3B,15129,1,12
15217,0x3B71,19 3B,15129,1,12
15278,0x3BAE,19 3B,15129,1,12
15339,0x3BEB,19 3B,15129,1,12
15400,0x3C28,19 3B,15129,1,12
15461,0x3C65,19 3B,15129,1,12
15522,0x3CA2,19 3B,15129,1,12
15583,0x3CDF,19 3B,15129,1,12
15644,0x3D1C,19 3B,15129,1,12
15705,0x3D59,19 3B,15129,1,12
15766,0x3D96,19 3B,15129,1,12
15827,0x3DD3,19 3B,15129,1,12
15896,0x3E18,19 3B,15129,1,12
15957,0x3E55,19 3B,15129,1,12
16018,0x3E92,19 3B,15129,1,12
16079,0x3ECF,19 3B,15129,1,12
16140,0x3F0C,19 3B,15129,1,12
16201,0x3F49,19 3B,15129,1,12
16273,0x3F91,11 9A,39441,1,8
16348,0x3FDC,11 9A,39441,1,8
16440,0x4038,11 9A,39441,1,8
16482,0x4062,11 9A,39441,1,8
16520,0x4088,11 9A,39441,1,8
16558,0x40AE,11 9A,39441,1,8
16596,0x40D4,11 9A,39441,1,8
16634,0x40FA,11 9A,39441,1,8
16672,0x4120,11 9A,39441,1,8
16710,0x4146,11 9A,39441,1,8
16748,0x416C,11 9A,39441,1,8
16786,0x4192,11 9A,39441,1,8
16824,0x41B8,11 9A,39441,1,8
16863,0x41DF,11 9A,39441,1,8
16902,0x4206,11 9A,39441,1,8
16941,0x422D,11 9A,39441,1,8
16980,0x4254,11 9A,39441,1,8
17019,0x427B,11 9A,39441,1,8
17045,0x4295,09 3A,14857,1,4
17133,0x42ED,11 9A,39441,1,8
17148,0x42FC,07 9B,39687,1,3
17160,0x4308,07 9B,39687,1,3
17171,0x4313,05 9C,39941,1,2
17255,0x4367,11 9A,39441,1,8
17270,0x4376,07 9B,39687,1,3
17282,0x4382,07 9B,39687,1,3
17293,0x438D,05 9C,39941,1,2
17377,0x43E1,11 9A,39441,1,8
17392,0x43F0,07 9B,39687,1,3
17404,0x43FC,07 9B,39687,1,3
17415,0x4407,05 9C,39941,1,2
17499,0x445B,11 9A,39441,1,8
17514,0x446A,07 9B,39687,1,3
17526,0x4476,07 9B,39687,1,3
17537,0x4481,05 9C,39941,1,2
17621,0x44D5,11 9A,39441,1,8
17636,0x44E4,07 9B,39687,1,3
17648,0x44F0,07 9B,39687,1,3
17659,0x44FB,05 9C,39941,1,2
17743,0x454F,11 9A,39441,1,8
17758,0x455E,07 9B,39687,1,3
17770,0x456A,07 9B,39687,1,3
17781,0x4575,05 9C,39941,1,2
17865,0x45C9,11 9A,39441,1,8
17880,0x45D8,07 9B,39687,1,3
17892,0x45E4,07 9B,39687,1,3
17903,0x45EF,05 9C,39941,1,2
17987,0x4643,11 9A,39441,1,8
18002,0x4652,07 9B,39687,1,3
18014,0x465E,07 9B,39687,1,3
18025,0x4669,05 9C,39941,1,2
18111,0x46BF,11 9A,39441,1,8
18126,0x46CE,07 9B,39687,1,3
18138,0x46DA,07 9B,39687,1,3
18149,0x46E5,05 9C,39941,1,2
18235,0x473B,11 9A,39441,1,8
18250,0x474A,07 9B,39687,1,3
18261,0x4755,05 9C,39941,1,2
18347,0x47AB,11 9A,39441,1,8
18362,0x47BA,07 9B,39687,1,3
18373,0x47C5,05 9C,39941,1,2
18475,0x482B,11 9A,39441,1,8
18490,0x483A,07 9B,39687,1,3
18501,0x4845,05 9C,39941,1,2
18587,0x489B,11 9A,39441,1,8
18602,0x48AA,07 9B,39687,1,3
18613,0x48B5,05 9C,39941,1,2
18625,0x48C1,09 3A,14857,1,4
18693,0x4905,13 9D,40211,1,9
18701,0x490D,05 9C,39941,1,2
18762,0x494A,13 9D,40211,1,9
18770,0x4952,05 9C,39941,1,2
18822,0x4986,13 9D,40211,1,9
18830,0x498E,05 9C,39941,1,2
18891,0x49CB,13 9D,40211,1,9
18899,0x49D3,05 9C,39941,1,2
18963,0x4A13,13 9D,40211,1,9
18971,0x4A1B,05 9C,39941,1,2
19032,0x4A58,13 9D,40211,1,9
19040,0x4A60,05 9C,39941,1,2
19089,0x4A91,13 9D,40211,1,9
19097,0x4A99,05 9C,39941,1,2
19158,0x4AD6,13 9D,40211,1,9
19166,0x4ADE,05 9C,39941,1,2
19227,0x4B1B,13 9D,40211,1,9
19235,0x4B23,05 9C,39941,1,2
19307,0x4B6B,13 9D,40211,1,9
19315,0x4B73,05 9C,39941,1,2
19375,0x4BAF,13 9D,40211,1,9
19383,0x4BB7,05 9C,39941,1,2
19456,0x4C00,13 9D,40211,1,9
19464,0x4C08,05 9C,39941,1,2
19538,0x4C52,13 9D,40211,1,9
19546,0x4C5A,05 9C,39941,1,2
19621,0x4CA5,13 9D,40211,1,9
19629,0x4CAD,05 9C,39941,1,2
19690,0x4CEA,13 9D,40211,1,9
19698,0x4CF2,05 9C,39941,1,2
19773,0x4D3D,13 9D,40211,1,9
19781,0x4D45,05 9C,39941,1,2
19950,0x4DEE,07 7E,32263,1,3
19953,0x4DF1,02 9E,40450,0,1
20036,0x4E44,05 9F,40709,1,2
20043,0x4E4B,03 38,14339,1,1
20124,0x4E9C,01 01,257,1,0
20141,0x4EAD,02 03,770,0,1
20242,0x4F12,02 03,770,0,1
20268,0x4F2C,01 01,257,1,0
20278,0x4F36,02 03,770,0,1
20314,0x4F5A,01 A0,40961,1,0
20509,0x501D,05 A1,41221,1,2
20525,0x502D,02 A2,41474,0,1
20551,0x5047,06 A3,41734,0,3
20571,0x505B,05 0B,2821,1,2
20575,0x505F,04 A4,41988,0,2
20587,0x506B,02 A5,42242,0,1
20607,0x507F,05 0B,2821,1,2
20610,0x5082,03 A6,42499,1,1
20631,0x5097,05 0B,2821,1,2
20634,0x509A,02 A7,42754,0,1
20646,0x50A6,02 A8,43010,0,1
20659,0x50B3,05 0B,2821,1,2
20662,0x50B6,02 A9,43266,0,1
20674,0x50C2,02 AA,43522,0,1
20827,0x515B,03 AB,43779,1,1
20857,0x5179,03 AC,44035,1,1
20888,0x5198,05 AD,44293,1,2
20926,0x51BE,05 0B,2821,1,2
20929,0x51C1,03 AE,44547,1,1
20959,0x51DF,03 AF,44803,1,1
20997,0x5205,05 0B,2821,1,2
21000,0x5208,03 B0,45059,1,1
21038,0x522E,05 0B,2821,1,2
21041,0x5231,03 B1,45315,1,1
21071,0x524F,03 B2,45571,1,1
21102,0x526E,05 0B,2821,1,2
21105,0x5271,03 B3,45827,1,1
21135,0x528F,03 B4,46083,1,1
21219,0x52E3,01 4E,19969,1,0
21283,0x5323,01 B5,46337,1,0
21375,0x537F,01 4E,19969,1,0
21413,0x53A5,05 B6,46597,1,2
21641,0x5489,02 80,32770,0,1
23552,0x5C00,36 73,29494,0,27
