offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
108,0x6C,05 00,5,1,2
113,0x71,01 01,257,1,0
119,0x77,03 02,515,1,1
128,0x80,02 03,770,0,1
138,0x8A,01 01,257,1,0
211,0xD3,02 03,770,0,1
241,0xF1,04 04,1028,0,2
261,0x105,02 05,1282,0,1
270,0x10E,00 06,1536,0,0
288,0x120,02 07,1794,0,1
446,0x1BE,02 08,2050,0,1
458,0x1CA,02 09,2306,0,1
471,0x1D7,04 0A,2564,0,2
491,0x1EB,05 0B,2821,1,2
494,0x1EE,02 0C,3074,0,1
506,0x1FA,02 0D,3330,0,1
526,0x20E,05 0B,2821,1,2
529,0x211,02 0E,3586,0,1
549,0x225,05 0B,2821,1,2
552,0x228,02 0F,3842,0,1
564,0x234,02 10,4098,0,1
577,0x241,05 0B,2821,1,2
580,0x244,02 11,4354,0,1
592,0x250,02 12,4610,0,1
749,0x2ED,02 13,4866,0,1
762,0x2FA,02 14,5122,0,1
778,0x30A,02 14,5122,0,1
791,0x317,02 15,5378,0,1
807,0x327,02 16,5634,0,1
846,0x34E,02 14,5122,0,1
868,0x364,02 14,5122,0,1
890,0x37A,02 14,5122,0,1
894,0x37E,03 17,5891,1,1
918,0x396,02 13,4866,0,1
922,0x39A,03 17,5891,1,1
948,0x3B4,02 13,4866,0,1
970,0x3CA,02 13,4866,0,1
974,0x3CE,02 18,6146,0,1
1119,0x45F,04 19,6404,0,2
1138,0x472,02 1A,6658,0,1
1183,0x49F,04 1B,6916,0,2
1278,0x4FE,03 1C,7171,1,1
1288,0x508,02 1D,7426,0,1
1305,0x519,03 1C,7171,1,1
1314,0x522,02 1D,7426,0,1
1321,0x529,03 1C,7171,1,1
1331,0x533,02 1D,7426,0,1
1509,0x5E5,02 1E,7682,0,1
1522,0x5F2,02 1E,7682,0,1
1538,0x602,02 1E,7682,0,1
1551,0x60F,02 1F,7938,0,1
1567,0x61F,02 1F,7938,0,1
1607,0x647,02 20,8194,0,1
1629,0x65D,02 20,8194,0,1
1651,0x673,02 20,8194,0,1
1671,0x687,02 1F,7938,0,1
1693,0x69D,02 1F,7938,0,1
1715,0x6B3,02 1F,7938,0,1
1719,0x6B7,02 18,6146,0,1
1816,0x718,03 21,8451,1,1
1900,0x76C,03 22,8707,1,1
1941,0x795,03 23,8963,1,1
1944,0x798,05 24,9221,1,2
1963,0x7AB,03 23,8963,1,1
1966,0x7AE,05 24,9221,1,2
1985,0x7C1,03 23,8963,1,1
1988,0x7C4,05 24,9221,1,2
2007,0x7D7,03 23,8963,1,1
2010,0x7DA,05 24,9221,1,2
2015,0x7DF,03 25,9475,1,1
2023,0x7E7,03 25,9475,1,1
2034,0x7F2,03 25,9475,1,1
2070,0x816,05 24,9221,1,2
2083,0x823,05 24,9221,1,2
2096,0x830,05 24,9221,1,2
2109,0x83D,05 24,9221,1,2
2114,0x842,03 25,9475,1,1
2161,0x871,03 26,9731,1,1
2174,0x87E,02 27,9986,0,1
2228,0x8B4,03 28,10243,1,1
2239,0x8BF,05 29,10501,1,2
2249,0x8C9,05 2A,10757,1,2
2262,0x8D6,01 2B,11009,1,0
2346,0x92A,03 28,10243,1,1
3251,0xCB3,03 28,10243,1,1
3310,0xCEE,05 2C,11269,1,2
3343,0xD0F,00 2D,11520,0,0
3352,0xD18,02 2E,11778,0,1
3473,0xD91,05 2F,12037,1,2
3487,0xD9F,05 2F,12037,1,2
3506,0xDB2,05 2F,12037,1,2
3520,0xDC0,05 2F,12037,1,2
3557,0xDE5,03 22,8707,1,1
3583,0xDFF,03 22,8707,1,1
3609,0xE19,05 24,9221,1,2
3632,0xE30,03 22,8707,1,1
3640,0xE38,03 22,8707,1,1
3709,0xE7D,05 24,9221,1,2
3721,0xE89,05 24,9221,1,2
3771,0xEBB,01 30,12289,1,0
3780,0xEC4,01 2B,11009,1,0
3801,0xED9,03 21,8451,1,1
3864,0xF18,01 2B,11009,1,0
3948,0xF6C,03 28,10243,1,1
4276,0x10B4,01 2B,11009,1,0
4348,0x10FC,03 28,10243,1,1
4435,0x1153,01 2B,11009,1,0
4509,0x119D,03 28,10243,1,1
4593,0x11F1,05 29,10501,1,2
4602,0x11FA,02 31,12546,0,1
4638,0x121E,04 32,12804,0,2
4659,0x1233,04 32,12804,0,2
4681,0x1249,04 32,12804,0,2
4706,0x1262,04 32,12804,0,2
4733,0x127D,04 32,12804,0,2
4751,0x128F,04 32,12804,0,2
4774,0x12A6,02 33,13058,0,1
4784,0x12B0,02 34,13314,0,1
4791,0x12B7,02 34,13314,0,1
4869,0x1305,03 23,8963,1,1
4874,0x130A,03 28,10243,1,1
4879,0x130F,0A 35,13578,0,5
4913,0x1331,03 23,8963,1,1
4925,0x133D,06 36,13830,0,3
4957,0x135D,03 23,8963,1,1
4960,0x1360,06 36,13830,0,3
5035,0x13AB,02 37,14082,0,1
5091,0x13E3,03 23,8963,1,1
5095,0x13E7,05 29,10501,1,2
5104,0x13F0,03 23,8963,1,1
5108,0x13F4,05 29,10501,1,2
5114,0x13FA,03 22,8707,1,1
5131,0x140B,05 24,9221,1,2
5148,0x141C,05 24,9221,1,2
5165,0x142D,05 24,9221,1,2
5195,0x144B,02 31,12546,0,1
5202,0x1452,05 24,9221,1,2
5264,0x1490,03 28,10243,1,1
5312,0x14C0,03 38,14339,1,1
5411,0x1523,02 2E,11778,0,1
5433,0x1539,02 2E,11778,0,1
5510,0x1586,02 39,14594,0,1
5529,0x1599,01 30,12289,1,0
5561,0x15B9,03 23,8963,1,1
5566,0x15BE,05 29,10501,1,2
5571,0x15C3,03 22,8707,1,1
5608,0x15E8,02 3A,14850,0,1
5631,0x15FF,02 3B,15106,0,1
5641,0x1609,02 3C,15362,0,1
5708,0x164C,02 3D,15618,0,1
5771,0x168B,03 23,8963,1,1
5780,0x1694,03 3E,15875,1,1
5818,0x16BA,03 3E,15875,1,1
5823,0x16BF,03 3E,15875,1,1
5836,0x16CC,03 3E,15875,1,1
5852,0x16DC,05 3F,16133,1,2
5891,0x1703,09 40,16393,1,4
5931,0x172B,19 41,16665,1,12
5963,0x174B,09 42,16905,1,4
5993,0x1769,09 42,16905,1,4
6013,0x177D,05 43,17157,1,2
6031,0x178F,02 44,17410,0,1
6036,0x1794,02 45,17666,0,1
6049,0x17A1,03 1C,7171,1,1
6078,0x17BE,05 46,17925,1,2
6085,0x17C5,03 1C,7171,1,1
6108,0x17DC,03 47,18179,1,1
6115,0x17E3,03 48,18435,1,1
6124,0x17EC,03 49,18691,1,1
6136,0x17F8,05 4A,18949,1,2
6150,0x1806,0B 4B,19211,1,5
6166,0x1816,0B 4B,19211,1,5
6194,0x1832,0A 4C,19466,0,5
6207,0x183F,03 4D,19715,1,1
6233,0x1859,03 4E,19971,1,1
6254,0x186E,03 1C,7171,1,1
6264,0x1878,04 4F,20228,0,2
6284,0x188C,0B 4B,19211,1,5
6300,0x189C,04 50,20484,0,2
6305,0x18A1,02 51,20738,0,1
6384,0x18F0,05 52,20997,1,2
6394,0x18FA,05 53,21253,1,2
6401,0x1901,05 53,21253,1,2
6416,0x1910,01 54,21505,1,0
6419,0x1913,01 55,21761,1,0
6456,0x1938,01 56,22017,1,0
6485,0x1955,03 57,22275,1,1
6508,0x196C,0D 58,22541,1,6
6623,0x19DF,03 59,22787,1,1
6686,0x1A1E,05 5A,23045,1,2
6689,0x1A21,02 5B,23298,0,1
6707,0x1A33,03 57,22275,1,1
6757,0x1A65,03 5C,23555,1,1
6869,0x1AD5,03 5C,23555,1,1
6924,0x1B0C,06 5D,23814,0,3
6930,0x1B12,03 1C,7171,1,1
6962,0x1B32,15 5E,24085,1,10
7005,0x1B5D,15 5E,24085,1,10
7031,0x1B77,09 5F,24329,1,4
7042,0x1B82,09 60,24585,1,4
7068,0x1B9C,09 5F,24329,1,4
