offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
47,0x2F,01 00,1,1,0
56,0x38,02 01,258,0,1
65,0x41,04 02,516,0,2
70,0x46,02 03,770,0,1
102,0x66,0A 04,1034,0,5
123,0x7B,05 05,1285,1,2
128,0x80,01 00,1,1,0
134,0x86,03 06,1539,1,1
143,0x8F,02 01,258,0,1
153,0x99,01 00,1,1,0
225,0xE1,02 01,258,0,1
257,0x101,00 07,1792,0,0
277,0x115,02 08,2050,0,1
281,0x119,03 09,2307,1,1
286,0x11E,03 0A,2563,1,1
291,0x123,03 0B,2819,1,1
301,0x12D,00 0C,3072,0,0
319,0x13F,02 0D,3330,0,1
477,0x1DD,02 0E,3586,0,1
489,0x1E9,02 0F,3842,0,1
502,0x1F6,04 10,4100,0,2
522,0x20A,05 11,4357,1,2
525,0x20D,02 12,4610,0,1
537,0x219,02 13,4866,0,1
557,0x22D,05 11,4357,1,2
560,0x230,02 14,5122,0,1
580,0x244,05 11,4357,1,2
583,0x247,02 15,5378,0,1
595,0x253,02 16,5634,0,1
608,0x260,05 11,4357,1,2
611,0x263,02 17,5890,0,1
623,0x26F,02 18,6146,0,1
780,0x30C,02 19,6402,0,1
793,0x319,02 1A,6658,0,1
809,0x329,02 1A,6658,0,1
822,0x336,02 1B,6914,0,1
838,0x346,02 1C,7170,0,1
877,0x36D,02 1A,6658,0,1
899,0x383,02 1A,6658,0,1
921,0x399,02 1A,6658,0,1
925,0x39D,03 1D,7427,1,1
949,0x3B5,02 19,6402,0,1
953,0x3B9,03 1D,7427,1,1
979,0x3D3,02 19,6402,0,1
1001,0x3E9,02 19,6402,0,1
1005,0x3ED,02 1E,7682,0,1
1150,0x47E,04 1F,7940,0,2
1169,0x491,02 20,8194,0,1
1214,0x4BE,04 21,8452,0,2
1359,0x54F,03 22,8707,1,1
1372,0x55C,03 23,8963,1,1
1428,0x594,07 24,9223,1,3
1530,0x5FA,03 25,9475,1,1
1540,0x604,02 26,9730,0,1
1557,0x615,03 25,9475,1,1
1566,0x61E,02 26,9730,0,1
1573,0x625,03 25,9475,1,1
1583,0x62F,02 26,9730,0,1
1761,0x6E1,02 27,9986,0,1
1774,0x6EE,02 27,9986,0,1
1790,0x6FE,02 27,9986,0,1
1803,0x70B,02 28,10242,0,1
1819,0x71B,02 28,10242,0,1
1859,0x743,02 29,10498,0,1
1881,0x759,02 29,10498,0,1
1903,0x76F,02 29,10498,0,1
1923,0x783,02 28,10242,0,1
1945,0x799,02 28,10242,0,1
1967,0x7AF,02 28,10242,0,1
1971,0x7B3,02 1E,7682,0,1
2068,0x814,03 2A,10755,1,1
2152,0x868,03 2B,11011,1,1
2193,0x891,03 2C,11267,1,1
2196,0x894,05 2D,11525,1,2
2215,0x8A7,03 2C,11267,1,1
2218,0x8AA,05 2D,11525,1,2
2237,0x8BD,03 2C,11267,1,1
2240,0x8C0,05 2D,11525,1,2
2259,0x8D3,03 2C,11267,1,1
2262,0x8D6,05 2D,11525,1,2
2267,0x8DB,03 2E,11779,1,1
2275,0x8E3,03 2E,11779,1,1
2286,0x8EE,03 2E,11779,1,1
2322,0x912,05 2D,11525,1,2
2335,0x91F,05 2D,11525,1,2
2348,0x92C,05 2D,11525,1,2
2361,0x939,05 2D,11525,1,2
2366,0x93E,03 2E,11779,1,1
2413,0x96D,03 2F,12035,1,1
2426,0x97A,02 30,12290,0,1
2480,0x9B0,03 31,12547,1,1
2491,0x9BB,05 32,12805,1,2
2501,0x9C5,05 33,13061,1,2
2514,0x9D2,01 34,13313,1,0
2598,0xA26,03 31,12547,1,1
3503,0xDAF,03 31,12547,1,1
3562,0xDEA,05 35,13573,1,2
3595,0xE0B,00 36,13824,0,0
3604,0xE14,02 37,14082,0,1
3725,0xE8D,05 38,14341,1,2
3739,0xE9B,05 38,14341,1,2
3758,0xEAE,05 38,14341,1,2
3772,0xEBC,05 38,14341,1,2
3809,0xEE1,03 2B,11011,1,1
3835,0xEFB,03 2B,11011,1,1
3861,0xF15,05 2D,11525,1,2
3884,0xF2C,03 2B,11011,1,1
3892,0xF34,03 2B,11011,1,1
3961,0xF79,05 2D,11525,1,2
3973,0xF85,05 2D,11525,1,2
4023,0xFB7,01 39,14593,1,0
4032,0xFC0,01 34,13313,1,0
4053,0xFD5,03 2A,10755,1,1
4116,0x1014,01 34,13313,1,0
4200,0x1068,03 31,12547,1,1
4528,0x11B0,01 34,13313,1,0
4600,0x11F8,03 31,12547,1,1
4687,0x124F,01 34,13313,1,0
4761,0x1299,03 31,12547,1,1
4845,0x12ED,05 32,12805,1,2
4854,0x12F6,02 3A,14850,0,1
4890,0x131A,04 3B,15108,0,2
4911,0x132F,04 3B,15108,0,2
4933,0x1345,04 3B,15108,0,2
4958,0x135E,04 3B,15108,0,2
4985,0x1379,04 3B,15108,0,2
5003,0x138B,04 3B,15108,0,2
5026,0x13A2,02 3C,15362,0,1
5036,0x13AC,02 3D,15618,0,1
5043,0x13B3,02 3D,15618,0,1
5121,0x1401,03 2C,11267,1,1
5126,0x1406,03 31,12547,1,1
5131,0x140B,0A 3E,15882,0,5
5165,0x142D,03 2C,11267,1,1
5177,0x1439,06 3F,16134,0,3
5209,0x1459,03 2C,11267,1,1
5212,0x145C,06 3F,16134,0,3
5287,0x14A7,02 40,16386,0,1
5343,0x14DF,03 2C,11267,1,1
5347,0x14E3,05 32,12805,1,2
5356,0x14EC,03 2C,11267,1,1
5360,0x14F0,05 32,12805,1,2
5366,0x14F6,03 2B,11011,1,1
5383,0x1507,05 2D,11525,1,2
5400,0x1518,05 2D,11525,1,2
5417,0x1529,05 2D,11525,1,2
5447,0x1547,02 3A,14850,0,1
5454,0x154E,05 2D,11525,1,2
5516,0x158C,03 31,12547,1,1
5564,0x15BC,03 41,16643,1,1
5663,0x161F,02 37,14082,0,1
5685,0x1635,02 37,14082,0,1
5762,0x1682,02 42,16898,0,1
5781,0x1695,01 39,14593,1,0
5813,0x16B5,03 2C,11267,1,1
5818,0x16BA,05 32,12805,1,2
5823,0x16BF,03 2B,11011,1,1
5860,0x16E4,02 43,17154,0,1
5883,0x16FB,02 44,17410,0,1
5893,0x1705,02 45,17666,0,1
5960,0x1748,02 46,17922,0,1
6023,0x1787,03 2C,11267,1,1
6032,0x1790,03 22,8707,1,1
6070,0x17B6,03 22,8707,1,1
6075,0x17BB,03 22,8707,1,1
6088,0x17C8,03 22,8707,1,1
6104,0x17D8,05 47,18181,1,2
6143,0x17FF,09 48,18441,1,4
6183,0x1827,19 49,18713,1,12
6215,0x1847,09 4A,18953,1,4
6245,0x1865,09 4A,18953,1,4
6265,0x1879,05 4B,19205,1,2
6283,0x188B,02 4C,19458,0,1
6288,0x1890,02 4D,19714,0,1
6301,0x189D,03 25,9475,1,1
6330,0x18BA,05 4E,19973,1,2
6337,0x18C1,03 25,9475,1,1
6360,0x18D8,03 4F,20227,1,1
6367,0x18DF,03 50,20483,1,1
6376,0x18E8,03 51,20739,1,1
6388,0x18F4,05 52,20997,1,2
6402,0x1902,0B 53,21259,1,5
6418,0x1912,0B 53,21259,1,5
6446,0x192E,0A 54,21514,0,5
6459,0x193B,03 55,21763,1,1
6485,0x1955,03 56,22019,1,1
6506,0x196A,03 25,9475,1,1
6516,0x1974,04 02,516,0,2
6536,0x1988,0B 53,21259,1,5
6552,0x1998,04 57,22276,0,2
6557,0x199D,02 03,770,0,1
6636,0x19EC,05 58,22533,1,2
