index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,4,0,283
1,Function_1,283,0x11B,288,0,2,0,301
2,Function_2,301,0x12D,306,1,4,0,339
3,Function_3,339,0x153,344,2,4,0,641
4,Function_4,641,0x281,646,2,5,0,667
5,Function_5,667,0x29B,672,2,5,0,696
6,Function_6,696,0x2B8,701,0,2,0,713
7,Function_7,713,0x2C9,718,0,2,0,722
8,Function_8,722,0x2D2,727,0,2,0,987
9,Function_9,987,0x3DB,992,3,5,0,1027
10,Function_10,1027,0x403,1032,2,4,0,1046
11,Function_11,1046,0x416,1051,2,4,0,1061
12,Function_12,1061,0x425,1066,1,3,0,1078
13,Function_13,1078,0x436,1083,2,4,0,1091
14,Function_14,1091,0x443,1096,0,2,0,1154
15,Function_15,1154,0x482,1159,1,3,0,1171
16,Function_16,1171,0x493,1176,1,3,0,1203
17,Function_17,1203,0x4B3,1208,0,2,0,1278
18,Function_18,1278,0x4FE,1283,0,2,0,1306
19,Function_19,1306,0x51A,1311,1,3,0,1344
20,Function_20,1344,0x540,1349,2,4,0,1361
21,Function_21,1361,0x551,1366,3,5,0,1770
22,Function_22,1770,0x6EA,1775,3,9,0,2146
23,Function_23,2146,0x862,2151,3,6,0,2163
24,Function_24,2163,0x873,2168,4,14,0,2264
25,Function_25,2264,0x8D8,2269,3,22,0,2393
26,Function_26,2393,0x959,2398,1,3,0,3186
27,Function_27,3186,0xC72,3191,1,19,0,3347
28,Function_28,3347,0xD13,3352,1,3,0,3373
29,Function_29,3373,0xD2D,3378,0,2,0,3386
30,Function_30,3386,0xD3A,3391,0,2,0,3401
31,Function_31,3401,0xD49,3406,0,2,0,3408
32,Function_32,3408,0xD50,3413,4,11,0,3601
33,Function_33,3601,0xE11,3606,0,2,0,3618
34,Function_34,3618,0xE22,3623,2,4,0,3669
35,Function_35,3669,0xE55,3674,3,22,0,3798
36,Function_36,3798,0xED6,3803,1,3,0,4040
37,Function_37,4040,0xFC8,4045,2,5,0,4072
38,Function_38,4072,0xFE8,4077,2,20,0,4182
39,Function_39,4182,0x1056,4187,1,3,0,4207
40,Function_40,4207,0x106F,4212,3,5,0,4228
41,Function_41,4228,0x1084,4233,1,3,0,4240
42,Function_42,4240,0x1090,4245,2,20,0,4343
43,Function_43,4343,0x10F7,4348,1,3,0,4359
44,Function_44,4359,0x1107,4364,1,3,0,4372
45,Function_45,4372,0x1114,4377,1,3,0,4385
46,Function_46,4385,0x1121,4390,3,5,0,4418
47,Function_47,4418,0x1142,4423,0,2,0,4571
48,Function_48,4571,0x11DB,4576,0,2,0,4632
49,Function_49,4632,0x1218,4637,1,19,0,4761
50,Function_50,4761,0x1299,4766,1,3,0,4898
51,Function_51,4898,0x1322,4903,1,3,0,4918
52,Function_52,4918,0x1336,4923,30,48,0,4987
