offset,offset_hex,length,text,population_term
13,0xD,6,<3%!<4,
29,0x1D,5,<9)Bp,
104,0x68,14,hennigansRanch,
155,0x9B,7,H%@R-lc,
179,0xB3,5,R-DR*,
197,0xC5,6,)?333%,
236,0xEC,13,mp_hen_ffa01x,
256,0x100,13,mp_hen_ffa01x,
703,0x2BF,4,C:'R,
748,0x2EC,9,MP_Ticker,
763,0x2FB,7,Reticle,
776,0x308,10,WeaponAmmo,
792,0x318,7,Reticle,
805,0x325,10,WeaponAmmo,
840,0x348,14,Splash_Message,
860,0x35C,16,Splash_Objective,
882,0x372,16,Subtitle_Enabler,
912,0x390,14,Splash_Message,
940,0x3AC,16,Splash_Objective,
962,0x3C2,16,Subtitle_Enabler,
1103,0x44F,10,LoadingTip,
1116,0x45C,11,Common_Null,
1133,0x46D,13,LoadingScreen,
1151,0x47F,4,<.z-,
1162,0x48A,4,R-D8,
1180,0x49C,4,$q/e,
1254,0x4E6,4,2)Dz,
1508,0x5E4,9,MP_Ticker,
1523,0x5F3,7,Reticle,
1536,0x600,10,WeaponAmmo,
1552,0x610,7,Reticle,
1565,0x61D,10,WeaponAmmo,
1601,0x641,14,Splash_Message,
1621,0x655,16,Splash_Objective,
1643,0x66B,16,Subtitle_Enabler,
1665,0x681,14,Splash_Message,
1685,0x695,16,Splash_Objective,
1707,0x6AB,16,Subtitle_Enabler,
1930,0x78A,19,mp_list_joined_late,
1960,0x7A8,11,Common_Null,
1982,0x7BE,11,Common_Null,
2004,0x7D4,11,Common_Null,
2073,0x819,5,DEBUG,
2086,0x826,5,DEBUG,
2099,0x833,5,DEBUG,
2112,0x840,5,DEBUG,
2201,0x899,14,WWWWWWWWWWWWWW,
2296,0x8F8,17,Tried to get bit ,
2329,0x919,19, bit from bad slot ,
2368,0x940,5,4`>|8,
2575,0xA0F,4,DEAD,
2586,0xA1A,5,READY,
2598,0xA26,12,POKER_FOLDED,
2617,0xA39,13,RACE_FINISHED,
2637,0xA4D,11,REGION_HOST,
2655,0xA5F,12,ACTOR_HIDDEN,
2674,0xA72,13,VOTE_TO_START,
2694,0xA86,12,VOTE_TO_SKIP,
2713,0xA99,14,VOTE_TO_REPLAY,
2734,0xAAE,11,IS_IN_LOBBY,
2752,0xAC0,15,GAME_ARBITRATOR,
2774,0xAD6,11,JOINED_GAME,
2792,0xAE8,13,SKIP_CUTSCENE,
2812,0xAFC,14,START_CUTSCENE,
2833,0xB11,12,IS_SPECTATOR,
2852,0xB24,13,DISTRICT_HOST,
2872,0xB38,13,NEEDS_REVIVAL,
2892,0xB4C,23,MP_BIT_MPLAW_MOSTWANTED,
2922,0xB6A,21,HAS_VIRAL_ACHIEVEMENT,
2950,0xB86,17,COMBATMODE_CASUAL,
2974,0xB9E,17,COMBATMODE_EXPERT,
2998,0xBB6,15,IN_ACTOR_PICKER,
3020,0xBCC,13,MELEE_BLOCKED,
3040,0xBE0,10,BLIND_FIRE,
3057,0xBF1,24,FREE_MODE_DEFENSE_ACTIVE,
3088,0xC10,17,PLAYER_IS_GRIEFER,
3112,0xC28,22,CANNOT_AFFORD_MINIGAME,
3141,0xC45,29,FREE_MODE_DEFENSE_SPOONHOLDER,
3177,0xC69,7,UNKNOWN,
3203,0xC83,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
3555,0xDE3,12,<SWAG_Y_RET>,
3615,0xE1F,4,% {-,
3646,0xE3E,5,<VRE>,
3701,0xE75,17,Tried to get bit ,
3734,0xE96,19, bit from bad slot ,
3860,0xF14,8,HAD_FLAG,
3875,0xF23,9,FRD_SPOON,
3891,0xF33,10,FRD_IN_VOL,
3905,0xF41,44,{o*MP_TRANSIENT_BIT_FRD_IN_SPOONHOLDER_POSSE,
3956,0xF74,6,IN_AIR,
3969,0xF81,7,MOUNTED,
3983,0xF8F,19,KILLED BY BLINDFIRE,
4009,0xFA9,15,KILLED IN COVER,
4031,0xFBF,7,UNKNOWN,
4108,0x100C,45,:o+Tried to get Stat from not-yet-valid slot ,
4267,0x10AB,47,<o-Tried to get genint from not-yet-valid slot ,
4436,0x1154,13,mp_plist_name,
4456,0x1168,14,mp_plist_kills,
4477,0x117D,15,mp_plist_deaths,
4499,0x1193,18,mp_plist_headshots,
4524,0x11AC,20,mp_plist_bagcaptures,
4551,0x11C7,11,Common_Null,
4647,0x1227,5,",i=@j",
4673,0x1241,6,_title,
4700,0x125C,6,",i=@v,",
4720,0x1270,16,net_pl_unsession,
4856,0x12F8,27,HUD_TIMER_WATCH_TICK_MASTER,
4932,0x1344,4,=02%,
4937,0x1349,4,7 3b,
4949,0x1355,8,"#7 r@7 ,",
4965,0x1365,9,INVALID!?,
4975,0x136F,5,7 r@%,
4981,0x1375,4,7 2.,
5046,0x13B6,15,TurretFinderSet,
5077,0x13D5,15,TurretFinderVol,
5118,0x13FE,19,p_gen_gatlingGun01x,
5152,0x1420,15,p_gen_cannon02x,
5239,0x1477,14,shootBabyShoot,
5305,0x14B9,6,cannon,
5392,0x1510,16,gMPScratchLayout,
5465,0x1559,10,Lobby_blip,
5663,0x161F,4,Q)<#,
5801,0x16A9,4,S)@I,
5838,0x16CE,23,HUD_STINGER_TEXT_MASTER,
5903,0x170F,4,>$)A,
5935,0x172F,4,V)@I,
5958,0x1746,5,>$)@I,
6072,0x17B8,5,?$)<#,
6197,0x1835,4,z9!8,
6273,0x1881,4,)Be.,
6315,0x18AB,6,_title,
