offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
51,0x33,01 00,1,1,0
119,0x77,02 01,258,0,1
148,0x94,04 02,516,0,2
166,0xA6,04 02,516,0,2
186,0xBA,02 03,770,0,1
203,0xCB,02 04,1026,0,1
220,0xDC,02 03,770,0,1
229,0xE5,00 05,1280,0,0
247,0xF7,02 06,1538,0,1
405,0x195,02 07,1794,0,1
417,0x1A1,02 08,2050,0,1
430,0x1AE,04 09,2308,0,2
450,0x1C2,05 0A,2565,1,2
453,0x1C5,02 0B,2818,0,1
465,0x1D1,02 0C,3074,0,1
485,0x1E5,05 0A,2565,1,2
488,0x1E8,02 0D,3330,0,1
508,0x1FC,05 0A,2565,1,2
511,0x1FF,02 0E,3586,0,1
523,0x20B,02 0F,3842,0,1
536,0x218,05 0A,2565,1,2
539,0x21B,02 10,4098,0,1
551,0x227,02 11,4354,0,1
708,0x2C4,02 12,4610,0,1
721,0x2D1,02 13,4866,0,1
737,0x2E1,02 13,4866,0,1
750,0x2EE,02 14,5122,0,1
766,0x2FE,02 15,5378,0,1
805,0x325,02 13,4866,0,1
827,0x33B,02 13,4866,0,1
849,0x351,02 13,4866,0,1
853,0x355,03 16,5635,1,1
877,0x36D,02 12,4610,0,1
881,0x371,03 16,5635,1,1
907,0x38B,02 12,4610,0,1
929,0x3A1,02 12,4610,0,1
933,0x3A5,02 17,5890,0,1
1078,0x436,04 18,6148,0,2
1097,0x449,02 19,6402,0,1
1142,0x476,04 1A,6660,0,2
1237,0x4D5,03 1B,6915,1,1
1247,0x4DF,02 1C,7170,0,1
1264,0x4F0,03 1B,6915,1,1
1273,0x4F9,02 1C,7170,0,1
1280,0x500,03 1B,6915,1,1
1290,0x50A,02 1C,7170,0,1
1468,0x5BC,02 1D,7426,0,1
1481,0x5C9,02 1D,7426,0,1
1497,0x5D9,02 1D,7426,0,1
1510,0x5E6,02 1E,7682,0,1
1526,0x5F6,02 1E,7682,0,1
1566,0x61E,02 1F,7938,0,1
1588,0x634,02 1F,7938,0,1
1610,0x64A,02 1F,7938,0,1
1630,0x65E,02 1E,7682,0,1
1652,0x674,02 1E,7682,0,1
1674,0x68A,02 1E,7682,0,1
1678,0x68E,02 17,5890,0,1
1775,0x6EF,03 20,8195,1,1
1859,0x743,03 21,8451,1,1
1900,0x76C,03 22,8707,1,1
1903,0x76F,05 23,8965,1,2
1922,0x782,03 22,8707,1,1
1925,0x785,05 23,8965,1,2
1944,0x798,03 22,8707,1,1
1947,0x79B,05 23,8965,1,2
1966,0x7AE,03 22,8707,1,1
1969,0x7B1,05 23,8965,1,2
1974,0x7B6,03 24,9219,1,1
1982,0x7BE,03 24,9219,1,1
1993,0x7C9,03 24,9219,1,1
2029,0x7ED,05 23,8965,1,2
2042,0x7FA,05 23,8965,1,2
2055,0x807,05 23,8965,1,2
2068,0x814,05 23,8965,1,2
2073,0x819,03 24,9219,1,1
2120,0x848,03 25,9475,1,1
2133,0x855,02 26,9730,0,1
2187,0x88B,03 27,9987,1,1
2198,0x896,05 28,10245,1,2
2208,0x8A0,05 29,10501,1,2
2221,0x8AD,01 2A,10753,1,0
2305,0x901,03 27,9987,1,1
3210,0xC8A,03 27,9987,1,1
3269,0xCC5,05 2B,11013,1,2
3302,0xCE6,00 2C,11264,0,0
3311,0xCEF,02 2D,11522,0,1
3432,0xD68,05 2E,11781,1,2
3446,0xD76,05 2E,11781,1,2
3465,0xD89,05 2E,11781,1,2
3484,0xD9C,03 21,8451,1,1
3492,0xDA4,03 21,8451,1,1
3500,0xDAC,05 2E,11781,1,2
3545,0xDD9,05 23,8965,1,2
3624,0xE28,05 23,8965,1,2
3636,0xE34,05 23,8965,1,2
3648,0xE40,01 2A,10753,1,0
3732,0xE94,03 27,9987,1,1
4089,0xFF9,01 2F,12033,1,0
4098,0x1002,01 2A,10753,1,0
4119,0x1017,03 20,8195,1,1
4191,0x105F,01 2A,10753,1,0
4263,0x10A7,03 27,9987,1,1
4350,0x10FE,01 2A,10753,1,0
4424,0x1148,03 27,9987,1,1
4508,0x119C,05 28,10245,1,2
4517,0x11A5,02 30,12290,0,1
4553,0x11C9,04 31,12548,0,2
4574,0x11DE,04 31,12548,0,2
4596,0x11F4,04 31,12548,0,2
4621,0x120D,04 31,12548,0,2
4648,0x1228,04 31,12548,0,2
4666,0x123A,04 31,12548,0,2
4689,0x1251,02 32,12802,0,1
4699,0x125B,02 33,13058,0,1
4706,0x1262,02 33,13058,0,1
4784,0x12B0,03 22,8707,1,1
4789,0x12B5,03 27,9987,1,1
4794,0x12BA,0A 34,13322,0,5
4828,0x12DC,03 22,8707,1,1
4840,0x12E8,06 35,13574,0,3
4872,0x1308,03 22,8707,1,1
4875,0x130B,06 35,13574,0,3
4950,0x1356,02 36,13826,0,1
5006,0x138E,03 22,8707,1,1
5010,0x1392,05 28,10245,1,2
5019,0x139B,03 22,8707,1,1
5023,0x139F,05 28,10245,1,2
5029,0x13A5,03 21,8451,1,1
5046,0x13B6,05 23,8965,1,2
5063,0x13C7,05 23,8965,1,2
5080,0x13D8,05 23,8965,1,2
5110,0x13F6,02 30,12290,0,1
5117,0x13FD,05 23,8965,1,2
5179,0x143B,03 27,9987,1,1
5227,0x146B,03 37,14083,1,1
5326,0x14CE,02 2D,11522,0,1
5348,0x14E4,02 2D,11522,0,1
5425,0x1531,02 38,14338,0,1
5444,0x1544,01 2F,12033,1,0
5476,0x1564,03 22,8707,1,1
5481,0x1569,05 28,10245,1,2
5486,0x156E,03 21,8451,1,1
5523,0x1593,02 39,14594,0,1
5546,0x15AA,02 3A,14850,0,1
5556,0x15B4,02 3B,15106,0,1
5623,0x15F7,02 3C,15362,0,1
5686,0x1636,03 22,8707,1,1
5695,0x163F,03 3D,15619,1,1
5733,0x1665,03 3D,15619,1,1
5738,0x166A,03 3D,15619,1,1
5751,0x1677,03 3D,15619,1,1
5767,0x1687,05 3E,15877,1,2
5806,0x16AE,09 3F,16137,1,4
5846,0x16D6,19 40,16409,1,12
5878,0x16F6,09 41,16649,1,4
5908,0x1714,09 41,16649,1,4
5928,0x1728,05 42,16901,1,2
5946,0x173A,02 43,17154,0,1
5951,0x173F,02 44,17410,0,1
5964,0x174C,03 1B,6915,1,1
5993,0x1769,05 45,17669,1,2
6000,0x1770,03 1B,6915,1,1
6023,0x1787,03 46,17923,1,1
6030,0x178E,03 47,18179,1,1
6039,0x1797,03 48,18435,1,1
6051,0x17A3,05 49,18693,1,2
6065,0x17B1,0B 4A,18955,1,5
6081,0x17C1,0B 4A,18955,1,5
6109,0x17DD,0A 4B,19210,0,5
6122,0x17EA,03 4C,19459,1,1
6148,0x1804,03 4D,19715,1,1
6169,0x1819,03 1B,6915,1,1
6179,0x1823,04 4E,19972,0,2
6199,0x1837,0B 4A,18955,1,5
6215,0x1847,04 4F,20228,0,2
6220,0x184C,02 50,20482,0,1
6299,0x189B,05 51,20741,1,2
6309,0x18A5,05 52,20997,1,2
6316,0x18AC,05 52,20997,1,2
6331,0x18BB,01 53,21249,1,0
6334,0x18BE,01 54,21505,1,0
6371,0x18E3,01 55,21761,1,0
6400,0x1900,03 56,22019,1,1
6423,0x1917,0D 57,22285,1,6
6538,0x198A,03 58,22531,1,1
6601,0x19C9,05 59,22789,1,2
6604,0x19CC,02 5A,23042,0,1
6622,0x19DE,03 56,22019,1,1
6672,0x1A10,03 5B,23299,1,1
6784,0x1A80,03 5B,23299,1,1
6839,0x1AB7,06 5C,23558,0,3
6845,0x1ABD,03 1B,6915,1,1
6877,0x1ADD,15 5D,23829,1,10
6920,0x1B08,15 5D,23829,1,10
6946,0x1B22,09 5E,24073,1,4
6957,0x1B2D,09 5F,24329,1,4
6983,0x1B47,09 5E,24073,1,4
6995,0x1B53,09 5F,24329,1,4
7090,0x1BB2,03 22,8707,1,1
7093,0x1BB5,04 60,24580,0,2
7181,0x1C0D,03 22,8707,1,1
7188,0x1C14,03 27,9987,1,1
7203,0x1C23,03 61,24835,1,1
7206,0x1C26,03 27,9987,1,1
7210,0x1C2A,0A 34,13322,0,5
7298,0x1C82,0B 62,25099,1,5
7309,0x1C8D,0B 63,25355,1,5
7328,0x1CA0,09 64,25609,1,4
7391,0x1CDF,15 65,25877,1,10
7488,0x1D40,0B 62,25099,1,5
7500,0x1D4C,0B 63,25355,1,5
7515,0x1D5B,03 66,26115,1,1
7527,0x1D67,15 65,25877,1,10
7581,0x1D9D,03 67,26371,1,1
7588,0x1DA4,03 67,26371,1,1
7614,0x1DBE,03 68,26627,1,1
7701,0x1E15,05 69,26885,1,2
7753,0x1E49,05 69,26885,1,2
7773,0x1E5D,05 69,26885,1,2
7819,0x1E8B,05 69,26885,1,2
7869,0x1EBD,03 68,26627,1,1
8108,0x1FAC,03 66,26115,1,1
8130,0x1FC2,15 65,25877,1,10
8138,0x1FCA,04 6A,27140,0,2
8143,0x1FCF,03 1B,6915,1,1
8165,0x1FE5,15 6B,27413,1,10
8220,0x201C,03 68,26627,1,1
8626,0x21B2,09 64,25609,1,4
8672,0x21E0,06 5C,23558,0,3
8703,0x21FF,15 65,25877,1,10
8785,0x2251,01 55,21761,1,0
8818,0x2272,03 6C,27651,1,1
8961,0x2301,03 22,8707,1,1
8964,0x2304,03 6D,27907,1,1
8976,0x2310,01 6E,28161,1,0
8985,0x2319,03 6F,28419,1,1
9011,0x2333,03 27,9987,1,1
9041,0x2351,04 18,6148,0,2
9057,0x2361,02 14,5122,0,1
9076,0x2374,02 19,6402,0,1
9224,0x2408,04 70,28676,0,2
9263,0x242F,03 71,28931,1,1
9331,0x2473,03 71,28931,1,1
9496,0x2518,03 71,28931,1,1
9587,0x2573,01 53,21249,1,0
9608,0x2588,01 53,21249,1,0
9735,0x2607,03 71,28931,1,1
9754,0x261A,04 72,29188,0,2
9769,0x2629,02 1C,7170,0,1
9804,0x264C,03 71,28931,1,1
9861,0x2685,03 73,29443,1,1
9876,0x2694,03 74,29699,1,1
9912,0x26B8,04 72,29188,0,2
9930,0x26CA,03 75,29955,1,1
9945,0x26D9,03 74,29699,1,1
9966,0x26EE,04 76,30212,0,2
10008,0x2718,03 71,28931,1,1
10029,0x272D,07 77,30471,1,3
10046,0x273E,05 78,30725,1,2
10065,0x2751,05 79,30981,1,2
10071,0x2757,03 7A,31235,1,1
10081,0x2761,04 7B,31492,0,2
