offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
46,0x2E,01 00,1,1,0
114,0x72,02 01,258,0,1
143,0x8F,04 02,516,0,2
161,0xA1,04 02,516,0,2
181,0xB5,02 03,770,0,1
198,0xC6,02 04,1026,0,1
215,0xD7,02 03,770,0,1
224,0xE0,00 05,1280,0,0
242,0xF2,02 06,1538,0,1
400,0x190,02 07,1794,0,1
412,0x19C,02 08,2050,0,1
425,0x1A9,04 09,2308,0,2
445,0x1BD,05 0A,2565,1,2
448,0x1C0,02 0B,2818,0,1
460,0x1CC,02 0C,3074,0,1
480,0x1E0,05 0A,2565,1,2
483,0x1E3,02 0D,3330,0,1
503,0x1F7,05 0A,2565,1,2
506,0x1FA,02 0E,3586,0,1
518,0x206,02 0F,3842,0,1
531,0x213,05 0A,2565,1,2
534,0x216,02 10,4098,0,1
546,0x222,02 11,4354,0,1
703,0x2BF,02 12,4610,0,1
716,0x2CC,02 13,4866,0,1
732,0x2DC,02 13,4866,0,1
745,0x2E9,02 14,5122,0,1
761,0x2F9,02 15,5378,0,1
800,0x320,02 13,4866,0,1
822,0x336,02 13,4866,0,1
844,0x34C,02 13,4866,0,1
848,0x350,03 16,5635,1,1
872,0x368,02 12,4610,0,1
876,0x36C,03 16,5635,1,1
902,0x386,02 12,4610,0,1
924,0x39C,02 12,4610,0,1
928,0x3A0,02 17,5890,0,1
1073,0x431,04 18,6148,0,2
1092,0x444,02 19,6402,0,1
1137,0x471,04 1A,6660,0,2
1232,0x4D0,03 1B,6915,1,1
1242,0x4DA,02 1C,7170,0,1
1259,0x4EB,03 1B,6915,1,1
1268,0x4F4,02 1C,7170,0,1
1275,0x4FB,03 1B,6915,1,1
1285,0x505,02 1C,7170,0,1
1463,0x5B7,02 1D,7426,0,1
1476,0x5C4,02 1D,7426,0,1
1492,0x5D4,02 1D,7426,0,1
1505,0x5E1,02 1E,7682,0,1
1521,0x5F1,02 1E,7682,0,1
1561,0x619,02 1F,7938,0,1
1583,0x62F,02 1F,7938,0,1
1605,0x645,02 1F,7938,0,1
1625,0x659,02 1E,7682,0,1
1647,0x66F,02 1E,7682,0,1
1669,0x685,02 1E,7682,0,1
1673,0x689,02 17,5890,0,1
1770,0x6EA,03 20,8195,1,1
1854,0x73E,03 21,8451,1,1
1895,0x767,03 22,8707,1,1
1898,0x76A,05 23,8965,1,2
1917,0x77D,03 22,8707,1,1
1920,0x780,05 23,8965,1,2
1939,0x793,03 22,8707,1,1
1942,0x796,05 23,8965,1,2
1961,0x7A9,03 22,8707,1,1
1964,0x7AC,05 23,8965,1,2
1969,0x7B1,03 24,9219,1,1
1977,0x7B9,03 24,9219,1,1
1988,0x7C4,03 24,9219,1,1
2024,0x7E8,05 23,8965,1,2
2037,0x7F5,05 23,8965,1,2
2050,0x802,05 23,8965,1,2
