offset,offset_hex,length,text,population_term
11,0xB,7,RH2RH(c,
52,0x34,5,C%@R-,
90,0x5A,6,)?333%,
127,0x7F,14,mp_tes_base01x,
148,0x94,11,tes_wall02x,
166,0xA6,14,mp_tes_base01x,
186,0xBA,11,tes_wall01x,
203,0xCB,11,tes_wall02x,
693,0x2B5,9,MP_Ticker,
708,0x2C4,7,Reticle,
721,0x2D1,10,WeaponAmmo,
737,0x2E1,7,Reticle,
750,0x2EE,10,WeaponAmmo,
785,0x311,14,Splash_Message,
805,0x325,16,Splash_Objective,
827,0x33B,16,Subtitle_Enabler,
857,0x359,14,Splash_Message,
885,0x375,16,Splash_Objective,
907,0x38B,16,Subtitle_Enabler,
1048,0x418,10,LoadingTip,
1061,0x425,11,Common_Null,
1078,0x436,13,LoadingScreen,
1096,0x448,4,<.z-,
1158,0x486,4,"R""Sc",
1199,0x4AF,4,2)Dz,
1453,0x5AD,9,MP_Ticker,
1468,0x5BC,7,Reticle,
1481,0x5C9,10,WeaponAmmo,
1497,0x5D9,7,Reticle,
1510,0x5E6,10,WeaponAmmo,
1546,0x60A,14,Splash_Message,
1566,0x61E,16,Splash_Objective,
1588,0x634,16,Subtitle_Enabler,
1610,0x64A,14,Splash_Message,
1630,0x65E,16,Splash_Objective,
1652,0x674,16,Subtitle_Enabler,
1875,0x753,19,mp_list_joined_late,
1905,0x771,11,Common_Null,
1927,0x787,11,Common_Null,
1949,0x79D,11,Common_Null,
2018,0x7E2,5,DEBUG,
2031,0x7EF,5,DEBUG,
2044,0x7FC,5,DEBUG,
2057,0x809,5,DEBUG,
2146,0x862,14,WWWWWWWWWWWWWW,
2241,0x8C1,17,Tried to get bit ,
2274,0x8E2,19, bit from bad slot ,
2313,0x909,5,4`>|8,
2520,0x9D8,4,DEAD,
2531,0x9E3,5,READY,
2543,0x9EF,12,POKER_FOLDED,
2562,0xA02,13,RACE_FINISHED,
2582,0xA16,11,REGION_HOST,
2600,0xA28,12,ACTOR_HIDDEN,
2619,0xA3B,13,VOTE_TO_START,
2639,0xA4F,12,VOTE_TO_SKIP,
2658,0xA62,14,VOTE_TO_REPLAY,
2679,0xA77,11,IS_IN_LOBBY,
2697,0xA89,15,GAME_ARBITRATOR,
2719,0xA9F,11,JOINED_GAME,
2737,0xAB1,13,SKIP_CUTSCENE,
2757,0xAC5,14,START_CUTSCENE,
2778,0xADA,12,IS_SPECTATOR,
2797,0xAED,13,DISTRICT_HOST,
2817,0xB01,13,NEEDS_REVIVAL,
2837,0xB15,23,MP_BIT_MPLAW_MOSTWANTED,
2867,0xB33,21,HAS_VIRAL_ACHIEVEMENT,
2895,0xB4F,17,COMBATMODE_CASUAL,
2919,0xB67,17,COMBATMODE_EXPERT,
2943,0xB7F,15,IN_ACTOR_PICKER,
2965,0xB95,13,MELEE_BLOCKED,
2985,0xBA9,10,BLIND_FIRE,
3002,0xBBA,24,FREE_MODE_DEFENSE_ACTIVE,
3033,0xBD9,17,PLAYER_IS_GRIEFER,
3057,0xBF1,22,CANNOT_AFFORD_MINIGAME,
3086,0xC0E,29,FREE_MODE_DEFENSE_SPOONHOLDER,
3122,0xC32,7,UNKNOWN,
3148,0xC4C,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
3517,0xDBD,13, <SWAG_R_RET>,
3543,0xDD7,13, <SWAG_B_RET>,
3657,0xE49,5,<VRE>,
3843,0xF03,17,Tried to get bit ,
3876,0xF24,19, bit from bad slot ,
4002,0xFA2,8,HAD_FLAG,
4017,0xFB1,9,FRD_SPOON,
4033,0xFC1,10,FRD_IN_VOL,
4047,0xFCF,44,{o*MP_TRANSIENT_BIT_FRD_IN_SPOONHOLDER_POSSE,
4098,0x1002,6,IN_AIR,
4111,0x100F,7,MOUNTED,
4125,0x101D,19,KILLED BY BLINDFIRE,
4151,0x1037,15,KILLED IN COVER,
4173,0x104D,7,UNKNOWN,
4250,0x109A,45,:o+Tried to get Stat from not-yet-valid slot ,
4409,0x1139,47,<o-Tried to get genint from not-yet-valid slot ,
4578,0x11E2,13,mp_plist_name,
4598,0x11F6,14,mp_plist_kills,
4619,0x120B,15,mp_plist_deaths,
4641,0x1221,18,mp_plist_headshots,
4666,0x123A,20,mp_plist_bagcaptures,
4693,0x1255,11,Common_Null,
4790,0x12B6,19,GENERIC_DBUFFER32_0,
4812,0x12CC,10,MP_SB_TFMT,
4847,0x12EF,19,GENERIC_DBUFFER32_0,
4891,0x131B,19,GENERIC_DBUFFER32_0,
4934,0x1346,54,:o4Tried to set bad team in SCOREBOARD_ADD_TEAM_HEADER,
5186,0x1442,5,Team_,
5203,0x1453,8,TeamDef_,
5425,0x1531,5,",i=@j",
5451,0x154B,6,_title,
5478,0x1566,6,",i=@v,",
5498,0x157A,16,net_pl_unsession,
5624,0x15F8,4,"R""S ",
5634,0x1602,27,HUD_TIMER_WATCH_TICK_MASTER,
5710,0x164E,4,=02%,
5715,0x1653,4,7 3b,
5727,0x165F,8,"""7 r@7 ,",
5743,0x166F,9,INVALID!?,
5753,0x1679,5,7 r@%,
5759,0x167F,4,7 2.,
5824,0x16C0,15,TurretFinderSet,
5855,0x16DF,15,TurretFinderVol,
5896,0x1708,19,p_gen_gatlingGun01x,
5930,0x172A,15,p_gen_cannon02x,
6017,0x1781,14,shootBabyShoot,
6083,0x17C3,6,cannon,
6170,0x181A,16,gMPScratchLayout,
6243,0x1863,10,Lobby_blip,
6441,0x1929,4,V)<#,
6579,0x19B3,4,X)@I,
6616,0x19D8,23,HUD_STINGER_TEXT_MASTER,
6681,0x1A19,4,>$)A,
6713,0x1A39,4,[)@I,
6736,0x1A50,5,>$)@I,
6850,0x1AC2,5,?$)<#,
7051,0x1B8B,4,)Be.,
7093,0x1BB5,6,_title,
7106,0x1BC2,20,Generic_Dbuffer128_2,
7137,0x1BE1,20,Generic_Dbuffer128_2,
7185,0x1C11,16,mp_lobby_summary,
7204,0x1C24,15,CTF_sym_summary,
7254,0x1C56,16,mp_lobby_summary,
7386,0x1CDA,34,9o p_gen_crateMultiplayerWeapon01x,
8130,0x1FC2,4,R /c,
8326,0x2086,4,)?f!,
8350,0x209E,4,)B>p,
8366,0x20AE,5,3)?X\,
8459,0x210B,4,))=~,
8550,0x2166,4,4)?{,
8609,0x21A1,4,3)Bd,
8690,0x21F2,4,3)>L,
8755,0x2233,30,$/fragments/p_gen_dressForm01x,
8838,0x2286,18,LoadingMissionName,
8894,0x22BE,12,CTF_sym_help,
8916,0x22D4,12,CTF_one_help,
8938,0x22EA,12,CTF_mul_help,
8987,0x231B,6,_count,
9017,0x2339,4,n)Dz,
9067,0x236B,10,LoadingTip,
9085,0x237D,10,LoadingTip,
9101,0x238D,13,LoadingScreen,
9131,0x23AB,4,%@R-,
9164,0x23CC,4,%@R-,
9234,0x2412,23,DYNAMIC_MIXER_DOOR_MUTE,
9592,0x2578,4,R'88,
9682,0x25D2,4,R'&h,
10059,0x274B,6,lockMe,
10076,0x275C,8,unlockMe,
10095,0x276F,8,unlockMe,
10143,0x279F,8,unlockMe,
10162,0x27B2,6,lockMe,
10179,0x27C3,6,lockMe,
10210,0x27E2,4,PqN8,
10269,0x281D,4,door,
10475,0x28EB,4,OqP4,
10528,0x2920,4,=`R-,
10541,0x292D,4,"=`R,",
10762,0x2A0A,4,"R,e8",
10837,0x2A55,4,"R,@b",
10863,0x2A6F,4,R*u.,
10876,0x2A7C,4,"R,e8",
10896,0x2A90,56,<o6New weather type is the same as the old weather type!,
11029,0x2B15,4,?0O@,
11265,0x2C01,4,Day ,
11344,0x2C50,4,"R,e8",
11491,0x2CE3,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
11561,0x2D29,85,6oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
11867,0x2E5B,14,mp_tes_base01x,
11887,0x2E6F,11,tes_wall01x,
11904,0x2E80,11,tes_wall02x,
11921,0x2E91,14,mp_tes_base01x,
11942,0x2EA6,11,tes_wall02x,
11971,0x2EC3,5,P;3R5,
11985,0x2ED1,11,MEX_SONG_04,
11999,0x2EDF,11,MEX_SONG_03,
12016,0x2EF0,6,R4|:3C,
12023,0x2EF7,5,dR4Pj,
12201,0x2FA9,10,tesoroAzul,
12214,0x2FB6,6,wall01,
12230,0x2FC6,10,tesoroAzul,
12243,0x2FD3,6,wall01,
12259,0x2FE3,10,tesoroAzul,
12272,0x2FF0,6,wall01,
12288,0x3000,10,tesoroAzul,
12301,0x300D,6,wall01,
12317,0x301D,10,tesoroAzul,
12330,0x302A,9,stables01,
12349,0x303D,10,tesoroAzul,
12362,0x304A,14,storageShack01,
12386,0x3062,10,tesoroAzul,
12399,0x306F,7,house04,
12412,0x307C,5,R1N+8,
12420,0x3084,10,tesoroAzul,
12433,0x3091,7,house04,
12446,0x309E,5,R1N+8,
12454,0x30A6,10,tesoroAzul,
12467,0x30B3,7,house01,
12480,0x30C0,5,R1N+8,
12488,0x30C8,10,tesoroAzul,
12501,0x30D5,7,house01,
12514,0x30E2,5,R1N+8,
12522,0x30EA,10,tesoroAzul,
12535,0x30F7,7,house02,
12548,0x3104,5,R1N+8,
12556,0x310C,10,tesoroAzul,
12569,0x3119,7,house02,
12582,0x3126,5,R1N+8,
12590,0x312E,10,tesoroAzul,
12603,0x313B,7,house03,
12616,0x3148,4,R1N+,
13086,0x331E,4,R3$.,
13121,0x3341,4,R3G.,
13224,0x33A8,4,R3$.,
13342,0x341E,4,R4B8,
13362,0x3432,5,R46~-,
13388,0x344C,5,R3G~-,
13397,0x3455,4,R4po,
