offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
98,0x62,01 00,1,1,0
107,0x6B,02 01,258,0,1
165,0xA5,0D 02,525,1,6
172,0xAC,03 03,771,1,1
183,0xB7,09 04,1033,1,4
219,0xDB,05 05,1285,1,2
224,0xE0,01 00,1,1,0
230,0xE6,03 06,1539,1,1
239,0xEF,02 01,258,0,1
248,0xF8,01 00,1,1,0
320,0x140,02 01,258,0,1
370,0x172,02 07,1794,0,1
379,0x17B,01 08,2049,1,0
383,0x17F,00 09,2304,0,0
401,0x191,02 0A,2562,0,1
559,0x22F,02 0B,2818,0,1
571,0x23B,02 0C,3074,0,1
584,0x248,04 0D,3332,0,2
604,0x25C,05 0E,3589,1,2
607,0x25F,02 0F,3842,0,1
619,0x26B,02 10,4098,0,1
639,0x27F,05 0E,3589,1,2
642,0x282,02 11,4354,0,1
662,0x296,05 0E,3589,1,2
665,0x299,02 12,4610,0,1
677,0x2A5,02 13,4866,0,1
690,0x2B2,05 0E,3589,1,2
693,0x2B5,02 14,5122,0,1
705,0x2C1,02 15,5378,0,1
862,0x35E,02 16,5634,0,1
875,0x36B,02 17,5890,0,1
891,0x37B,02 17,5890,0,1
904,0x388,02 18,6146,0,1
920,0x398,02 19,6402,0,1
959,0x3BF,02 17,5890,0,1
981,0x3D5,02 17,5890,0,1
1003,0x3EB,02 17,5890,0,1
1007,0x3EF,03 1A,6659,1,1
1031,0x407,02 16,5634,0,1
1035,0x40B,03 1A,6659,1,1
1061,0x425,02 16,5634,0,1
1083,0x43B,02 16,5634,0,1
1087,0x43F,02 1B,6914,0,1
1232,0x4D0,04 1C,7172,0,2
1251,0x4E3,02 1D,7426,0,1
1296,0x510,04 1E,7684,0,2
1441,0x5A1,03 1F,7939,1,1
1454,0x5AE,03 20,8195,1,1
1510,0x5E6,07 21,8455,1,3
1612,0x64C,03 03,771,1,1
1622,0x656,02 22,8706,0,1
1639,0x667,03 03,771,1,1
1648,0x670,02 22,8706,0,1
1655,0x677,03 03,771,1,1
1665,0x681,02 22,8706,0,1
1843,0x733,02 23,8962,0,1
1856,0x740,02 23,8962,0,1
1872,0x750,02 23,8962,0,1
1885,0x75D,02 24,9218,0,1
1901,0x76D,02 24,9218,0,1
1941,0x795,02 25,9474,0,1
1963,0x7AB,02 25,9474,0,1
1985,0x7C1,02 25,9474,0,1
2005,0x7D5,02 24,9218,0,1
2027,0x7EB,02 24,9218,0,1
2049,0x801,02 24,9218,0,1
2053,0x805,02 1B,6914,0,1
2150,0x866,03 26,9731,1,1
2234,0x8BA,03 27,9987,1,1
2275,0x8E3,03 28,10243,1,1
2278,0x8E6,05 29,10501,1,2
2297,0x8F9,03 28,10243,1,1
2300,0x8FC,05 29,10501,1,2
2319,0x90F,03 28,10243,1,1
2322,0x912,05 29,10501,1,2
2341,0x925,03 28,10243,1,1
2344,0x928,05 29,10501,1,2
2349,0x92D,03 2A,10755,1,1
2357,0x935,03 2A,10755,1,1
2368,0x940,03 2A,10755,1,1
2404,0x964,05 29,10501,1,2
2417,0x971,05 29,10501,1,2
2430,0x97E,05 29,10501,1,2
2443,0x98B,05 29,10501,1,2
2448,0x990,03 2A,10755,1,1
2495,0x9BF,03 2B,11011,1,1
2508,0x9CC,02 2C,11266,0,1
2562,0xA02,03 2D,11523,1,1
2573,0xA0D,05 2E,11781,1,2
2583,0xA17,05 2F,12037,1,2
2596,0xA24,01 30,12289,1,0
2680,0xA78,03 2D,11523,1,1
3585,0xE01,03 2D,11523,1,1
3644,0xE3C,05 31,12549,1,2
3677,0xE5D,00 32,12800,0,0
3686,0xE66,02 33,13058,0,1
3807,0xEDF,05 34,13317,1,2
3821,0xEED,05 34,13317,1,2
3840,0xF00,05 34,13317,1,2
3859,0xF13,03 27,9987,1,1
3867,0xF1B,03 27,9987,1,1
3875,0xF23,05 34,13317,1,2
3920,0xF50,05 29,10501,1,2
3999,0xF9F,05 29,10501,1,2
4011,0xFAB,05 29,10501,1,2
4023,0xFB7,01 30,12289,1,0
4107,0x100B,03 2D,11523,1,1
4464,0x1170,01 35,13569,1,0
4473,0x1179,01 30,12289,1,0
4494,0x118E,03 26,9731,1,1
4566,0x11D6,01 30,12289,1,0
4638,0x121E,03 2D,11523,1,1
4725,0x1275,01 30,12289,1,0
4799,0x12BF,03 2D,11523,1,1
4883,0x1313,05 2E,11781,1,2
4892,0x131C,02 36,13826,0,1
4928,0x1340,04 37,14084,0,2
4949,0x1355,04 37,14084,0,2
4971,0x136B,04 37,14084,0,2
4996,0x1384,04 37,14084,0,2
5023,0x139F,04 37,14084,0,2
5041,0x13B1,04 37,14084,0,2
5064,0x13C8,02 38,14338,0,1
5074,0x13D2,02 39,14594,0,1
5081,0x13D9,02 39,14594,0,1
5159,0x1427,03 28,10243,1,1
5164,0x142C,03 2D,11523,1,1
5169,0x1431,0A 3A,14858,0,5
5203,0x1453,03 28,10243,1,1
5215,0x145F,06 3B,15110,0,3
5247,0x147F,03 28,10243,1,1
5250,0x1482,06 3B,15110,0,3
5325,0x14CD,02 3C,15362,0,1
5381,0x1505,03 28,10243,1,1
5385,0x1509,05 2E,11781,1,2
5394,0x1512,03 28,10243,1,1
5398,0x1516,05 2E,11781,1,2
5404,0x151C,03 27,9987,1,1
5421,0x152D,05 29,10501,1,2
5438,0x153E,05 29,10501,1,2
5455,0x154F,05 29,10501,1,2
5485,0x156D,02 36,13826,0,1
5492,0x1574,05 29,10501,1,2
5554,0x15B2,03 2D,11523,1,1
5602,0x15E2,03 3D,15619,1,1
5701,0x1645,02 33,13058,0,1
5723,0x165B,02 33,13058,0,1
5800,0x16A8,02 3E,15874,0,1
5819,0x16BB,01 35,13569,1,0
5851,0x16DB,03 28,10243,1,1
5856,0x16E0,05 2E,11781,1,2
5861,0x16E5,03 27,9987,1,1
5898,0x170A,02 3F,16130,0,1
5921,0x1721,02 40,16386,0,1
5931,0x172B,02 41,16642,0,1
5998,0x176E,02 42,16898,0,1
6061,0x17AD,03 28,10243,1,1
6070,0x17B6,03 1F,7939,1,1
6108,0x17DC,03 1F,7939,1,1
6113,0x17E1,03 1F,7939,1,1
6126,0x17EE,03 1F,7939,1,1
6142,0x17FE,05 43,17157,1,2
6181,0x1825,09 44,17417,1,4
6221,0x184D,19 45,17689,1,12
6253,0x186D,09 46,17929,1,4
6283,0x188B,09 46,17929,1,4
6303,0x189F,05 47,18181,1,2
6321,0x18B1,02 48,18434,0,1
6326,0x18B6,02 49,18690,0,1
6339,0x18C3,03 03,771,1,1
6368,0x18E0,05 4A,18949,1,2
6375,0x18E7,03 03,771,1,1
6398,0x18FE,03 4B,19203,1,1
6405,0x1905,03 4C,19459,1,1
6414,0x190E,03 4D,19715,1,1
6426,0x191A,05 4E,19973,1,2
6440,0x1928,0B 4F,20235,1,5
6456,0x1938,0B 4F,20235,1,5
6484,0x1954,0A 50,20490,0,5
6497,0x1961,03 51,20739,1,1
6523,0x197B,03 52,20995,1,1
6544,0x1990,03 03,771,1,1
6554,0x199A,04 53,21252,0,2
6574,0x19AE,0B 4F,20235,1,5
6590,0x19BE,04 54,21508,0,2
6595,0x19C3,02 55,21762,0,1
6674,0x1A12,05 56,22021,1,2
6684,0x1A1C,05 57,22277,1,2
6691,0x1A23,05 57,22277,1,2
6706,0x1A32,01 58,22529,1,0
6709,0x1A35,01 59,22785,1,0
6746,0x1A5A,01 5A,23041,1,0
6775,0x1A77,03 5B,23299,1,1
6798,0x1A8E,0D 5C,23565,1,6
6913,0x1B01,03 5D,23811,1,1
6976,0x1B40,05 5E,24069,1,2
6979,0x1B43,02 5F,24322,0,1
6997,0x1B55,03 5B,23299,1,1
7047,0x1B87,03 60,24579,1,1
7159,0x1BF7,03 60,24579,1,1
7214,0x1C2E,06 61,24838,0,3
7220,0x1C34,03 03,771,1,1
7252,0x1C54,15 62,25109,1,10
7295,0x1C7F,15 62,25109,1,10
7321,0x1C99,09 63,25353,1,4
7332,0x1CA4,09 64,25609,1,4
7358,0x1CBE,09 63,25353,1,4
7370,0x1CCA,09 64,25609,1,4
7465,0x1D29,03 28,10243,1,1
7468,0x1D2C,04 65,25860,0,2
7556,0x1D84,03 28,10243,1,1
7563,0x1D8B,03 2D,11523,1,1
7578,0x1D9A,03 66,26115,1,1
7581,0x1D9D,03 2D,11523,1,1
7585,0x1DA1,0A 3A,14858,0,5
7673,0x1DF9,0B 67,26379,1,5
7684,0x1E04,0B 68,26635,1,5
7703,0x1E17,09 69,26889,1,4
7766,0x1E56,15 6A,27157,1,10
7863,0x1EB7,0B 67,26379,1,5
7875,0x1EC3,0B 68,26635,1,5
7890,0x1ED2,03 6B,27395,1,1
7902,0x1EDE,15 6A,27157,1,10
7956,0x1F14,03 6C,27651,1,1
7963,0x1F1B,03 6C,27651,1,1
7989,0x1F35,03 6D,27907,1,1
8076,0x1F8C,05 6E,28165,1,2
8128,0x1FC0,05 6E,28165,1,2
8148,0x1FD4,05 6E,28165,1,2
8194,0x2002,05 6E,28165,1,2
8244,0x2034,03 6D,27907,1,1
