offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
117,0x75,05 00,5,1,2
122,0x7A,01 01,257,1,0
128,0x80,03 02,515,1,1
137,0x89,02 03,770,0,1
146,0x92,01 01,257,1,0
218,0xDA,02 03,770,0,1
253,0xFD,04 04,1028,0,2
272,0x110,02 05,1282,0,1
278,0x116,03 06,1539,1,1
287,0x11F,02 07,1794,0,1
290,0x122,00 08,2048,0,0
308,0x134,02 09,2306,0,1
466,0x1D2,02 0A,2562,0,1
478,0x1DE,02 0B,2818,0,1
491,0x1EB,04 0C,3076,0,2
511,0x1FF,05 0D,3333,1,2
514,0x202,02 0E,3586,0,1
526,0x20E,02 0F,3842,0,1
546,0x222,05 0D,3333,1,2
549,0x225,02 10,4098,0,1
569,0x239,05 0D,3333,1,2
572,0x23C,02 11,4354,0,1
584,0x248,02 12,4610,0,1
597,0x255,05 0D,3333,1,2
600,0x258,02 13,4866,0,1
612,0x264,02 14,5122,0,1
769,0x301,02 15,5378,0,1
782,0x30E,02 16,5634,0,1
798,0x31E,02 16,5634,0,1
811,0x32B,02 17,5890,0,1
827,0x33B,02 18,6146,0,1
866,0x362,02 16,5634,0,1
888,0x378,02 16,5634,0,1
910,0x38E,02 16,5634,0,1
914,0x392,03 19,6403,1,1
938,0x3AA,02 15,5378,0,1
942,0x3AE,03 19,6403,1,1
968,0x3C8,02 15,5378,0,1
990,0x3DE,02 15,5378,0,1
994,0x3E2,02 1A,6658,0,1
1139,0x473,04 1B,6916,0,2
1158,0x486,02 1C,7170,0,1
1201,0x4B1,04 1D,7428,0,2
1295,0x50F,03 1E,7683,1,1
1305,0x519,02 1F,7938,0,1
1322,0x52A,03 1E,7683,1,1
1331,0x533,02 1F,7938,0,1
1338,0x53A,03 1E,7683,1,1
1348,0x544,02 1F,7938,0,1
1526,0x5F6,02 20,8194,0,1
1539,0x603,02 20,8194,0,1
1555,0x613,02 20,8194,0,1
1568,0x620,02 21,8450,0,1
1584,0x630,02 21,8450,0,1
1624,0x658,02 22,8706,0,1
1646,0x66E,02 22,8706,0,1
1668,0x684,02 22,8706,0,1
1688,0x698,02 21,8450,0,1
1710,0x6AE,02 21,8450,0,1
1732,0x6C4,02 21,8450,0,1
1736,0x6C8,02 1A,6658,0,1
1833,0x729,03 23,8963,1,1
1917,0x77D,03 24,9219,1,1
1958,0x7A6,03 25,9475,1,1
1961,0x7A9,05 26,9733,1,2
1980,0x7BC,03 25,9475,1,1
1983,0x7BF,05 26,9733,1,2
2002,0x7D2,03 25,9475,1,1
2005,0x7D5,05 26,9733,1,2
2024,0x7E8,03 25,9475,1,1
2027,0x7EB,05 26,9733,1,2
2032,0x7F0,03 27,9987,1,1
2040,0x7F8,03 27,9987,1,1
2051,0x803,03 27,9987,1,1
2087,0x827,05 26,9733,1,2
2100,0x834,05 26,9733,1,2
2113,0x841,05 26,9733,1,2
2126,0x84E,05 26,9733,1,2
2131,0x853,03 27,9987,1,1
2178,0x882,03 28,10243,1,1
2191,0x88F,02 29,10498,0,1
2245,0x8C5,03 2A,10755,1,1
2256,0x8D0,05 2B,11013,1,2
2266,0x8DA,05 2C,11269,1,2
2279,0x8E7,01 2D,11521,1,0
2363,0x93B,03 2A,10755,1,1
3268,0xCC4,03 2A,10755,1,1
3327,0xCFF,05 2E,11781,1,2
3360,0xD20,00 2F,12032,0,0
3369,0xD29,02 30,12290,0,1
3484,0xD9C,05 31,12549,1,2
3498,0xDAA,05 31,12549,1,2
3517,0xDBD,05 31,12549,1,2
3531,0xDCB,05 31,12549,1,2
3576,0xDF8,05 26,9733,1,2
3591,0xE07,03 24,9219,1,1
3660,0xE4C,05 26,9733,1,2
3672,0xE58,05 26,9733,1,2
3684,0xE64,01 2D,11521,1,0
3768,0xEB8,03 2A,10755,1,1
4096,0x1000,01 2D,11521,1,0
4168,0x1048,03 2A,10755,1,1
4255,0x109F,01 2D,11521,1,0
4329,0x10E9,03 2A,10755,1,1
