offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
48,0x30,01 00,1,1,0
80,0x50,02 01,258,0,1
92,0x5C,00 02,512,0,0
110,0x6E,02 03,770,0,1
268,0x10C,02 04,1026,0,1
280,0x118,02 05,1282,0,1
293,0x125,04 06,1540,0,2
313,0x139,05 07,1797,1,2
316,0x13C,02 08,2050,0,1
328,0x148,02 09,2306,0,1
348,0x15C,05 07,1797,1,2
351,0x15F,02 0A,2562,0,1
371,0x173,05 07,1797,1,2
374,0x176,02 0B,2818,0,1
386,0x182,02 0C,3074,0,1
399,0x18F,05 07,1797,1,2
402,0x192,02 0D,3330,0,1
414,0x19E,02 0E,3586,0,1
571,0x23B,02 0F,3842,0,1
584,0x248,02 10,4098,0,1
600,0x258,02 10,4098,0,1
613,0x265,02 11,4354,0,1
629,0x275,02 12,4610,0,1
668,0x29C,02 10,4098,0,1
690,0x2B2,02 10,4098,0,1
712,0x2C8,02 10,4098,0,1
716,0x2CC,03 13,4867,1,1
740,0x2E4,02 0F,3842,0,1
744,0x2E8,03 13,4867,1,1
770,0x302,02 0F,3842,0,1
792,0x318,02 0F,3842,0,1
796,0x31C,02 14,5122,0,1
941,0x3AD,04 15,5380,0,2
960,0x3C0,02 16,5634,0,1
1051,0x41B,03 17,5891,1,1
1061,0x425,02 18,6146,0,1
1078,0x436,03 17,5891,1,1
1087,0x43F,02 18,6146,0,1
1094,0x446,03 17,5891,1,1
1104,0x450,02 18,6146,0,1
1282,0x502,02 19,6402,0,1
1295,0x50F,02 19,6402,0,1
1311,0x51F,02 19,6402,0,1
1324,0x52C,02 1A,6658,0,1
1340,0x53C,02 1A,6658,0,1
1380,0x564,02 1B,6914,0,1
1402,0x57A,02 1B,6914,0,1
1424,0x590,02 1B,6914,0,1
1444,0x5A4,02 1A,6658,0,1
1466,0x5BA,02 1A,6658,0,1
1488,0x5D0,02 1A,6658,0,1
1492,0x5D4,02 14,5122,0,1
1589,0x635,03 1C,7171,1,1
1673,0x689,03 1D,7427,1,1
1714,0x6B2,03 1E,7683,1,1
1717,0x6B5,05 1F,7941,1,2
1736,0x6C8,03 1E,7683,1,1
1739,0x6CB,05 1F,7941,1,2
1758,0x6DE,03 1E,7683,1,1
1761,0x6E1,05 1F,7941,1,2
1780,0x6F4,03 1E,7683,1,1
1783,0x6F7,05 1F,7941,1,2
1788,0x6FC,03 20,8195,1,1
1796,0x704,03 20,8195,1,1
1807,0x70F,03 20,8195,1,1
1843,0x733,05 1F,7941,1,2
1856,0x740,05 1F,7941,1,2
1869,0x74D,05 1F,7941,1,2
1882,0x75A,05 1F,7941,1,2
1887,0x75F,03 20,8195,1,1
1934,0x78E,03 21,8451,1,1
1947,0x79B,02 22,8706,0,1
2001,0x7D1,03 23,8963,1,1
2012,0x7DC,05 24,9221,1,2
2022,0x7E6,05 25,9477,1,2
2035,0x7F3,01 26,9729,1,0
2119,0x847,03 23,8963,1,1
3024,0xBD0,03 23,8963,1,1
3083,0xC0B,05 27,9989,1,2
3116,0xC2C,00 28,10240,0,0
3125,0xC35,02 29,10498,0,1
3246,0xCAE,05 2A,10757,1,2
3260,0xCBC,05 2A,10757,1,2
3279,0xCCF,05 2A,10757,1,2
3298,0xCE2,03 1D,7427,1,1
3306,0xCEA,03 1D,7427,1,1
3314,0xCF2,05 2A,10757,1,2
3359,0xD1F,05 1F,7941,1,2
3438,0xD6E,05 1F,7941,1,2
3450,0xD7A,05 1F,7941,1,2
3462,0xD86,01 26,9729,1,0
3546,0xDDA,03 23,8963,1,1
3903,0xF3F,01 2B,11009,1,0
3912,0xF48,01 26,9729,1,0
3933,0xF5D,03 1C,7171,1,1
4005,0xFA5,01 26,9729,1,0
4077,0xFED,03 23,8963,1,1
4164,0x1044,01 26,9729,1,0
4238,0x108E,03 23,8963,1,1
4322,0x10E2,05 24,9221,1,2
4331,0x10EB,02 2C,11266,0,1
4367,0x110F,04 2D,11524,0,2
4388,0x1124,04 2D,11524,0,2
4410,0x113A,04 2D,11524,0,2
4435,0x1153,04 2D,11524,0,2
4462,0x116E,04 2D,11524,0,2
4480,0x1180,04 2D,11524,0,2
4503,0x1197,02 2E,11778,0,1
4513,0x11A1,02 2F,12034,0,1
4520,0x11A8,02 2F,12034,0,1
4598,0x11F6,03 1E,7683,1,1
4603,0x11FB,03 23,8963,1,1
4608,0x1200,0A 30,12298,0,5
4642,0x1222,03 1E,7683,1,1
4654,0x122E,06 31,12550,0,3
4686,0x124E,03 1E,7683,1,1
4689,0x1251,06 31,12550,0,3
4764,0x129C,02 32,12802,0,1
4820,0x12D4,03 1E,7683,1,1
4824,0x12D8,05 24,9221,1,2
4833,0x12E1,03 1E,7683,1,1
4837,0x12E5,05 24,9221,1,2
4843,0x12EB,03 1D,7427,1,1
4860,0x12FC,05 1F,7941,1,2
4877,0x130D,05 1F,7941,1,2
4894,0x131E,05 1F,7941,1,2
4924,0x133C,02 2C,11266,0,1
4931,0x1343,05 1F,7941,1,2
4993,0x1381,03 23,8963,1,1
5041,0x13B1,03 33,13059,1,1
5140,0x1414,02 29,10498,0,1
5162,0x142A,02 29,10498,0,1
5239,0x1477,02 34,13314,0,1
5258,0x148A,01 2B,11009,1,0
5290,0x14AA,03 1E,7683,1,1
5295,0x14AF,05 24,9221,1,2
5300,0x14B4,03 1D,7427,1,1
5337,0x14D9,02 35,13570,0,1
5360,0x14F0,02 36,13826,0,1
5370,0x14FA,02 37,14082,0,1
5437,0x153D,02 38,14338,0,1
5500,0x157C,03 1E,7683,1,1
5509,0x1585,03 39,14595,1,1
5547,0x15AB,03 39,14595,1,1
5552,0x15B0,03 39,14595,1,1
5565,0x15BD,03 39,14595,1,1
5581,0x15CD,05 3A,14853,1,2
5620,0x15F4,09 3B,15113,1,4
5660,0x161C,19 3C,15385,1,12
5692,0x163C,09 3D,15625,1,4
5722,0x165A,09 3D,15625,1,4
5742,0x166E,05 3E,15877,1,2
5760,0x1680,02 3F,16130,0,1
5765,0x1685,02 40,16386,0,1
5778,0x1692,03 17,5891,1,1
5807,0x16AF,05 41,16645,1,2
5814,0x16B6,03 17,5891,1,1
5837,0x16CD,03 42,16899,1,1
5844,0x16D4,03 43,17155,1,1
5853,0x16DD,03 44,17411,1,1
5865,0x16E9,05 45,17669,1,2
5879,0x16F7,0B 46,17931,1,5
5895,0x1707,0B 46,17931,1,5
5923,0x1723,0A 47,18186,0,5
5936,0x1730,03 48,18435,1,1
5962,0x174A,03 49,18691,1,1
5983,0x175F,03 17,5891,1,1
5993,0x1769,04 4A,18948,0,2
6013,0x177D,0B 46,17931,1,5
6029,0x178D,04 4B,19204,0,2
6034,0x1792,02 4C,19458,0,1
6113,0x17E1,05 4D,19717,1,2
6123,0x17EB,05 4E,19973,1,2
6130,0x17F2,05 4E,19973,1,2
6145,0x1801,01 4F,20225,1,0
6148,0x1804,01 50,20481,1,0
6185,0x1829,01 51,20737,1,0
6214,0x1846,03 52,20995,1,1
6237,0x185D,0D 53,21261,1,6
6352,0x18D0,03 54,21507,1,1
6415,0x190F,05 55,21765,1,2
6418,0x1912,02 56,22018,0,1
6436,0x1924,03 52,20995,1,1
6486,0x1956,03 57,22275,1,1
6598,0x19C6,03 57,22275,1,1
6653,0x19FD,06 58,22534,0,3
6659,0x1A03,03 17,5891,1,1
6691,0x1A23,15 59,22805,1,10
6734,0x1A4E,15 59,22805,1,10
6760,0x1A68,09 5A,23049,1,4
6771,0x1A73,09 5B,23305,1,4
6797,0x1A8D,09 5A,23049,1,4
6809,0x1A99,09 5B,23305,1,4
6904,0x1AF8,03 1E,7683,1,1
6907,0x1AFB,04 5C,23556,0,2
6995,0x1B53,03 1E,7683,1,1
7002,0x1B5A,03 23,8963,1,1
7017,0x1B69,03 5D,23811,1,1
7020,0x1B6C,03 23,8963,1,1
7024,0x1B70,0A 30,12298,0,5
7112,0x1BC8,0B 5E,24075,1,5
7123,0x1BD3,0B 5F,24331,1,5
7142,0x1BE6,09 60,24585,1,4
7205,0x1C25,15 61,24853,1,10
7302,0x1C86,0B 5E,24075,1,5
7314,0x1C92,0B 5F,24331,1,5
7329,0x1CA1,03 62,25091,1,1
7341,0x1CAD,15 61,24853,1,10
7395,0x1CE3,03 63,25347,1,1
7402,0x1CEA,03 63,25347,1,1
7428,0x1D04,03 64,25603,1,1
7515,0x1D5B,05 65,25861,1,2
7567,0x1D8F,05 65,25861,1,2
7587,0x1DA3,05 65,25861,1,2
7633,0x1DD1,05 65,25861,1,2
7683,0x1E03,03 64,25603,1,1
7922,0x1EF2,03 62,25091,1,1
7944,0x1F08,15 61,24853,1,10
7952,0x1F10,04 66,26116,0,2
7957,0x1F15,03 17,5891,1,1
7979,0x1F2B,15 67,26389,1,10
8034,0x1F62,03 64,25603,1,1
8440,0x20F8,09 60,24585,1,4
8486,0x2126,06 58,22534,0,3
8517,0x2145,15 61,24853,1,10
