index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,4,0,304
1,Function_1,304,0x130,309,0,2,0,321
2,Function_2,321,0x141,326,0,2,0,384
3,Function_3,384,0x180,389,0,2,0,393
4,Function_4,393,0x189,398,0,2,0,658
5,Function_5,658,0x292,663,3,5,0,698
6,Function_6,698,0x2BA,703,2,4,0,717
7,Function_7,717,0x2CD,722,2,4,0,732
8,Function_8,732,0x2DC,737,1,3,0,749
9,Function_9,749,0x2ED,754,2,4,0,762
10,Function_10,762,0x2FA,767,1,4,0,800
11,Function_11,800,0x320,805,2,4,0,1102
12,Function_12,1102,0x44E,1107,2,5,0,1128
13,Function_13,1128,0x468,1133,2,5,0,1157
14,Function_14,1157,0x485,1162,0,2,0,1175
15,Function_15,1175,0x497,1180,1,3,0,1192
16,Function_16,1192,0x4A8,1197,1,3,0,1224
17,Function_17,1224,0x4C8,1229,3,5,0,1269
18,Function_18,1269,0x4F5,1274,0,2,0,1281
19,Function_19,1281,0x501,1286,1,3,0,1326
20,Function_20,1326,0x52E,1331,1,3,0,1349
21,Function_21,1349,0x545,1354,0,2,0,1375
22,Function_22,1375,0x55F,1380,1,3,0,1432
23,Function_23,1432,0x598,1437,2,4,0,1445
24,Function_24,1445,0x5A5,1450,0,2,0,1540
25,Function_25,1540,0x604,1545,0,2,0,1568
26,Function_26,1568,0x620,1573,1,3,0,1606
27,Function_27,1606,0x646,1611,4,11,0,1835
28,Function_28,1835,0x72B,1840,2,4,0,1886
29,Function_29,1886,0x75E,1891,3,22,0,2015
30,Function_30,2015,0x7DF,2020,1,3,0,2808
31,Function_31,2808,0xAF8,2813,1,19,0,2969
32,Function_32,2969,0xB99,2974,2,20,0,3079
33,Function_33,3079,0xC07,3084,1,3,0,3104
34,Function_34,3104,0xC20,3109,3,6,0,3121
35,Function_35,3121,0xC31,3126,4,14,0,3222
36,Function_36,3222,0xC96,3227,3,5,0,3243
37,Function_37,3243,0xCAB,3248,1,3,0,3255
