offset,offset_hex,length,text,population_term
19,0x13,6,<0%!<1,
35,0x23,5,<6)Bp,
68,0x44,5,Rj!Rj,
90,0x5A,4,R1{b,
97,0x61,4,R1n;,
104,0x68,14,hennigansRanch,
155,0x9B,7,H%@R1[c,
179,0xB3,5,R13R.,
197,0xC5,6,)?333%,
257,0x101,13,mp_hen_ffa01x,
277,0x115,13,mp_hen_ffa01x,
333,0x14D,10,LoadingTip,
346,0x15A,11,Common_Null,
363,0x16B,13,LoadingScreen,
381,0x17D,4,<.z-,
419,0x1A3,9,MP_Ticker,
434,0x1B2,7,Reticle,
447,0x1BF,10,WeaponAmmo,
463,0x1CF,7,Reticle,
476,0x1DC,10,WeaponAmmo,
511,0x1FF,14,Splash_Message,
531,0x213,16,Splash_Objective,
553,0x229,16,Subtitle_Enabler,
583,0x247,14,Splash_Message,
611,0x263,16,Splash_Objective,
633,0x279,16,Subtitle_Enabler,
1183,0x49F,4,R138,
1201,0x4B1,4,$q/e,
1404,0x57C,21,DISABLE_HORSE_WHISTLE,
1455,0x5AF,4,R#^c,
1496,0x5D8,4,2)Dz,
1681,0x691,19,GENERIC_DBUFFER32_0,
1703,0x6A7,12,TDM_team_FMT,
1733,0x6C5,19,GENERIC_DBUFFER32_0,
1863,0x747,5,<VRE>,
1918,0x77E,17,Tried to get bit ,
1951,0x79F,19, bit from bad slot ,
1990,0x7C6,5,4`>|8,
2197,0x895,4,DEAD,
2208,0x8A0,5,READY,
2220,0x8AC,12,POKER_FOLDED,
2239,0x8BF,13,RACE_FINISHED,
2259,0x8D3,11,REGION_HOST,
2277,0x8E5,12,ACTOR_HIDDEN,
2296,0x8F8,13,VOTE_TO_START,
2316,0x90C,12,VOTE_TO_SKIP,
2335,0x91F,14,VOTE_TO_REPLAY,
2356,0x934,11,IS_IN_LOBBY,
2374,0x946,15,GAME_ARBITRATOR,
2396,0x95C,11,JOINED_GAME,
2414,0x96E,13,SKIP_CUTSCENE,
2434,0x982,14,START_CUTSCENE,
2455,0x997,12,IS_SPECTATOR,
2474,0x9AA,13,DISTRICT_HOST,
2494,0x9BE,13,NEEDS_REVIVAL,
2514,0x9D2,23,MP_BIT_MPLAW_MOSTWANTED,
2544,0x9F0,21,HAS_VIRAL_ACHIEVEMENT,
2572,0xA0C,17,COMBATMODE_CASUAL,
2596,0xA24,17,COMBATMODE_EXPERT,
2620,0xA3C,15,IN_ACTOR_PICKER,
2642,0xA52,13,MELEE_BLOCKED,
2662,0xA66,10,BLIND_FIRE,
2679,0xA77,24,FREE_MODE_DEFENSE_ACTIVE,
2710,0xA96,17,PLAYER_IS_GRIEFER,
2734,0xAAE,22,CANNOT_AFFORD_MINIGAME,
2763,0xACB,29,FREE_MODE_DEFENSE_SPOONHOLDER,
2799,0xAEF,7,UNKNOWN,
2825,0xB09,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
3005,0xBBD,45,:o+Tried to get Stat from not-yet-valid slot ,
3159,0xC57,14,WWWWWWWWWWWWWW,
3282,0xCD2,47,<o-Tried to get genint from not-yet-valid slot ,
3464,0xD88,13,mp_plist_name,
3484,0xD9C,14,mp_plist_score,
3505,0xDB1,14,mp_plist_kills,
3526,0xDC6,15,mp_plist_deaths,
3548,0xDDC,19,mp_plist_killstolen,
