offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
103,0x67,01 00,1,1,0
175,0xAF,02 01,258,0,1
193,0xC1,00 02,512,0,0
251,0xFB,04 03,772,0,2
270,0x10E,02 04,1026,0,1
322,0x142,02 05,1282,0,1
335,0x14F,02 06,1538,0,1
351,0x15F,02 06,1538,0,1
364,0x16C,02 07,1794,0,1
380,0x17C,02 08,2050,0,1
419,0x1A3,02 06,1538,0,1
441,0x1B9,02 06,1538,0,1
463,0x1CF,02 06,1538,0,1
467,0x1D3,03 09,2307,1,1
491,0x1EB,02 05,1282,0,1
495,0x1EF,03 09,2307,1,1
521,0x209,02 05,1282,0,1
543,0x21F,02 05,1282,0,1
547,0x223,02 0A,2562,0,1
809,0x329,02 0B,2818,0,1
821,0x335,02 0C,3074,0,1
834,0x342,04 0D,3332,0,2
854,0x356,05 0E,3589,1,2
857,0x359,02 0F,3842,0,1
869,0x365,02 10,4098,0,1
889,0x379,05 0E,3589,1,2
892,0x37C,02 11,4354,0,1
912,0x390,05 0E,3589,1,2
915,0x393,02 12,4610,0,1
927,0x39F,02 13,4866,0,1
940,0x3AC,05 0E,3589,1,2
943,0x3AF,02 14,5122,0,1
955,0x3BB,02 15,5378,0,1
1064,0x428,02 16,5634,0,1
1106,0x452,04 17,5892,0,2
1221,0x4C5,03 18,6147,1,1
1231,0x4CF,02 19,6402,0,1
1248,0x4E0,03 18,6147,1,1
1257,0x4E9,02 19,6402,0,1
1264,0x4F0,03 18,6147,1,1
1274,0x4FA,02 19,6402,0,1
1323,0x52B,03 1A,6659,1,1
1388,0x56C,03 1B,6915,1,1
1393,0x571,03 1C,7171,1,1
1398,0x576,0A 1D,7434,0,5
1425,0x591,03 1B,6915,1,1
1428,0x594,05 1E,7685,1,2
1448,0x5A8,05 1F,7941,1,2
1462,0x5B6,05 1F,7941,1,2
1481,0x5C9,05 1F,7941,1,2
1499,0x5DB,03 20,8195,1,1
1541,0x605,05 1E,7685,1,2
1553,0x611,05 1E,7685,1,2
1565,0x61D,01 21,8449,1,0
1649,0x671,03 1C,7171,1,1
2554,0x9FA,03 1C,7171,1,1
2613,0xA35,05 22,8709,1,2
2657,0xA61,01 21,8449,1,0
2729,0xAA9,03 1C,7171,1,1
2800,0xAF0,03 23,8963,1,1
2813,0xAFD,02 24,9218,0,1
2867,0xB33,03 1C,7171,1,1
2878,0xB3E,05 25,9477,1,2
2888,0xB48,05 26,9733,1,2
2934,0xB76,01 21,8449,1,0
3008,0xBC0,03 1C,7171,1,1
3092,0xC14,05 25,9477,1,2
3101,0xC1D,02 27,9986,0,1
3150,0xC4E,04 28,10244,0,2
3171,0xC63,04 28,10244,0,2
3192,0xC78,04 28,10244,0,2
3214,0xC8E,04 28,10244,0,2
3240,0xCA8,04 28,10244,0,2
3258,0xCBA,04 28,10244,0,2
3282,0xCD2,02 29,10498,0,1
3304,0xCE8,02 29,10498,0,1
3381,0xD35,02 2A,10754,0,1
3400,0xD48,01 2B,11009,1,0
3432,0xD68,03 1B,6915,1,1
3437,0xD6D,05 25,9477,1,2
3442,0xD72,03 20,8195,1,1
3479,0xD97,02 2C,11266,0,1
3502,0xDAE,02 2D,11522,0,1
3512,0xDB8,02 2E,11778,0,1
3579,0xDFB,02 2F,12034,0,1
3642,0xE3A,03 1B,6915,1,1
3651,0xE43,03 30,12291,1,1
3689,0xE69,03 30,12291,1,1
3694,0xE6E,03 30,12291,1,1
3707,0xE7B,03 30,12291,1,1
3723,0xE8B,05 31,12549,1,2
3908,0xF44,02 32,12802,0,1
3921,0xF51,02 32,12802,0,1
3937,0xF61,02 32,12802,0,1
3950,0xF6E,02 33,13058,0,1
3966,0xF7E,02 33,13058,0,1
4006,0xFA6,02 34,13314,0,1
4028,0xFBC,02 34,13314,0,1
4050,0xFD2,02 34,13314,0,1
4070,0xFE6,02 33,13058,0,1
4092,0xFFC,02 33,13058,0,1
4114,0x1012,02 33,13058,0,1
4118,0x1016,02 0A,2562,0,1
4215,0x1077,03 35,13571,1,1
4299,0x10CB,03 20,8195,1,1
4340,0x10F4,03 1B,6915,1,1
4343,0x10F7,05 1E,7685,1,2
4362,0x110A,03 1B,6915,1,1
4365,0x110D,05 1E,7685,1,2
4384,0x1120,03 1B,6915,1,1
4387,0x1123,05 1E,7685,1,2
4406,0x1136,03 1B,6915,1,1
