offset,offset_hex,length,text,population_term
19,0x13,6,<0%!<1,
35,0x23,5,<6)Bp,
109,0x6D,5,G%@R.,
133,0x85,6,R.lR-V,
150,0x96,6,)?333%,
166,0xA6,6,gR#=+R,
226,0xE2,10,LoadingTip,
239,0xEF,11,Common_Null,
256,0x100,13,LoadingScreen,
274,0x112,4,<.z-,
312,0x138,9,MP_Ticker,
327,0x147,7,Reticle,
340,0x154,10,WeaponAmmo,
356,0x164,7,Reticle,
369,0x171,10,WeaponAmmo,
404,0x194,14,Splash_Message,
424,0x1A8,16,Splash_Objective,
446,0x1BE,16,Subtitle_Enabler,
476,0x1DC,14,Splash_Message,
504,0x1F8,16,Splash_Objective,
526,0x20E,16,Subtitle_Enabler,
1076,0x434,4,R.l8,
1094,0x446,4,Dq/e,
1168,0x490,4,2)Dz,
1353,0x549,19,GENERIC_DBUFFER32_0,
1375,0x55F,12,TDM_team_FMT,
1405,0x57D,19,GENERIC_DBUFFER32_0,
1535,0x5FF,5,<VRE>,
1590,0x636,17,Tried to get bit ,
1623,0x657,19, bit from bad slot ,
1662,0x67E,5,4`>|8,
1869,0x74D,4,DEAD,
1880,0x758,5,READY,
1892,0x764,12,POKER_FOLDED,
1911,0x777,13,RACE_FINISHED,
1931,0x78B,11,REGION_HOST,
1949,0x79D,12,ACTOR_HIDDEN,
1968,0x7B0,13,VOTE_TO_START,
1988,0x7C4,12,VOTE_TO_SKIP,
2007,0x7D7,14,VOTE_TO_REPLAY,
2028,0x7EC,11,IS_IN_LOBBY,
2046,0x7FE,15,GAME_ARBITRATOR,
2068,0x814,11,JOINED_GAME,
2086,0x826,13,SKIP_CUTSCENE,
2106,0x83A,14,START_CUTSCENE,
2127,0x84F,12,IS_SPECTATOR,
2146,0x862,13,DISTRICT_HOST,
2166,0x876,13,NEEDS_REVIVAL,
2186,0x88A,23,MP_BIT_MPLAW_MOSTWANTED,
2216,0x8A8,21,HAS_VIRAL_ACHIEVEMENT,
2244,0x8C4,17,COMBATMODE_CASUAL,
2268,0x8DC,17,COMBATMODE_EXPERT,
2292,0x8F4,15,IN_ACTOR_PICKER,
2314,0x90A,13,MELEE_BLOCKED,
2334,0x91E,10,BLIND_FIRE,
2351,0x92F,24,FREE_MODE_DEFENSE_ACTIVE,
2382,0x94E,17,PLAYER_IS_GRIEFER,
2406,0x966,22,CANNOT_AFFORD_MINIGAME,
2435,0x983,29,FREE_MODE_DEFENSE_SPOONHOLDER,
2471,0x9A7,7,UNKNOWN,
2497,0x9C1,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
2677,0xA75,45,:o+Tried to get Stat from not-yet-valid slot ,
2831,0xB0F,14,WWWWWWWWWWWWWW,
2954,0xB8A,47,<o-Tried to get genint from not-yet-valid slot ,
3136,0xC40,13,mp_plist_name,
3156,0xC54,14,mp_plist_score,
3177,0xC69,14,mp_plist_kills,
3198,0xC7E,15,mp_plist_deaths,
3220,0xC94,19,mp_plist_killstolen,
3246,0xCAE,11,Common_Null,
3342,0xD0E,5,",i=@j",
3368,0xD28,6,_title,
3395,0xD43,6,",i=@v,",
3415,0xD57,16,net_pl_unsession,
3551,0xDDF,27,HUD_TIMER_WATCH_TICK_MASTER,
3627,0xE2B,4,=02%,
3632,0xE30,4,7 3b,
