index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,2,0,50
1,Function_1,50,0x32,55,2,4,0,67
2,Function_2,67,0x43,72,3,5,0,476
3,Function_3,476,0x1DC,481,0,2,0,741
4,Function_4,741,0x2E5,746,3,9,0,1117
5,Function_5,1117,0x45D,1122,3,6,0,1134
6,Function_6,1134,0x46E,1139,4,14,0,1235
7,Function_7,1235,0x4D3,1240,3,22,0,1364
8,Function_8,1364,0x554,1369,1,3,0,2157
9,Function_9,2157,0x86D,2162,1,19,0,2318
10,Function_10,2318,0x90E,2323,1,3,0,2344
11,Function_11,2344,0x928,2349,0,2,0,2357
12,Function_12,2357,0x935,2362,3,5,0,2397
13,Function_13,2397,0x95D,2402,2,4,0,2416
14,Function_14,2416,0x970,2421,2,4,0,2431
15,Function_15,2431,0x97F,2436,0,2,0,2446
16,Function_16,2446,0x98E,2451,1,3,0,2463
17,Function_17,2463,0x99F,2468,2,4,0,2476
18,Function_18,2476,0x9AC,2481,0,2,0,2483
19,Function_19,2483,0x9B3,2488,4,8,0,2576
20,Function_20,2576,0xA10,2581,2,4,0,2627
21,Function_21,2627,0xA43,2632,2,9,0,3184
22,Function_22,3184,0xC70,3189,1,8,0,3297
23,Function_23,3297,0xCE1,3302,0,2,0,3314
24,Function_24,3314,0xCF2,3319,1,3,0,3326
25,Function_25,3326,0xCFE,3331,2,20,0,3431
26,Function_26,3431,0xD67,3436,1,3,0,3447
27,Function_27,3447,0xD77,3452,1,3,0,3459
28,Function_28,3459,0xD83,3464,2,20,0,3562
29,Function_29,3562,0xDEA,3567,1,3,0,3578
30,Function_30,3578,0xDFA,3583,3,5,0,3611
31,Function_31,3611,0xE1B,3616,0,2,0,3790
32,Function_32,3790,0xECE,3795,0,2,0,3851
33,Function_33,3851,0xF0B,3856,1,19,0,3980
34,Function_34,3980,0xF8C,3985,1,3,0,4117
35,Function_35,4117,0x1015,4122,1,3,0,4137
36,Function_36,4137,0x1029,4142,30,48,0,4206
37,Function_37,4206,0x106E,4211,2,4,0,4258
38,Function_38,4258,0x10A2,4263,2,5,0,4290
39,Function_39,4290,0x10C2,4295,1,3,0,4303
40,Function_40,4303,0x10CF,4308,2,4,0,
