offset,offset_hex,length,text,population_term
214,0xD6,9,MP_Ticker,
229,0xE5,7,Reticle,
242,0xF2,10,WeaponAmmo,
258,0x102,7,Reticle,
271,0x10F,10,WeaponAmmo,
307,0x133,14,Splash_Message,
327,0x147,16,Splash_Objective,
349,0x15D,16,Subtitle_Enabler,
371,0x173,14,Splash_Message,
391,0x187,16,Splash_Objective,
413,0x19D,16,Subtitle_Enabler,
502,0x1F6,9,MP_Ticker,
517,0x205,7,Reticle,
530,0x212,10,WeaponAmmo,
546,0x222,7,Reticle,
559,0x22F,10,WeaponAmmo,
594,0x252,14,Splash_Message,
614,0x266,16,Splash_Objective,
636,0x27C,16,Subtitle_Enabler,
666,0x29A,14,Splash_Message,
694,0x2B6,16,Splash_Objective,
716,0x2CC,16,Subtitle_Enabler,
901,0x385,19,mp_list_joined_late,
931,0x3A3,11,Common_Null,
953,0x3B9,11,Common_Null,
975,0x3CF,11,Common_Null,
1044,0x414,5,DEBUG,
1057,0x421,5,DEBUG,
1070,0x42E,5,DEBUG,
1083,0x43B,5,DEBUG,
1172,0x494,14,WWWWWWWWWWWWWW,
1267,0x4F3,17,Tried to get bit ,
1300,0x514,19, bit from bad slot ,
1339,0x53B,5,4`>|8,
1546,0x60A,4,DEAD,
1557,0x615,5,READY,
1569,0x621,12,POKER_FOLDED,
1588,0x634,13,RACE_FINISHED,
1608,0x648,11,REGION_HOST,
1626,0x65A,12,ACTOR_HIDDEN,
1645,0x66D,13,VOTE_TO_START,
1665,0x681,12,VOTE_TO_SKIP,
1684,0x694,14,VOTE_TO_REPLAY,
1705,0x6A9,11,IS_IN_LOBBY,
1723,0x6BB,15,GAME_ARBITRATOR,
1745,0x6D1,11,JOINED_GAME,
1763,0x6E3,13,SKIP_CUTSCENE,
1783,0x6F7,14,START_CUTSCENE,
1804,0x70C,12,IS_SPECTATOR,
1823,0x71F,13,DISTRICT_HOST,
1843,0x733,13,NEEDS_REVIVAL,
1863,0x747,23,MP_BIT_MPLAW_MOSTWANTED,
1893,0x765,21,HAS_VIRAL_ACHIEVEMENT,
1921,0x781,17,COMBATMODE_CASUAL,
1945,0x799,17,COMBATMODE_EXPERT,
1969,0x7B1,15,IN_ACTOR_PICKER,
1991,0x7C7,13,MELEE_BLOCKED,
2011,0x7DB,10,BLIND_FIRE,
2028,0x7EC,24,FREE_MODE_DEFENSE_ACTIVE,
2059,0x80B,17,PLAYER_IS_GRIEFER,
2083,0x823,22,CANNOT_AFFORD_MINIGAME,
2112,0x840,29,FREE_MODE_DEFENSE_SPOONHOLDER,
2148,0x864,7,UNKNOWN,
2174,0x87E,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
2604,0xA2C,5,<VRE>,
2658,0xA62,19,GENERIC_DBUFFER10_0,
2680,0xA78,12,MP_Time_Fmt1,
2718,0xA9E,19,GENERIC_DBUFFER10_1,
2740,0xAB4,12,MP_Time_Fmt1,
2782,0xADE,19,GENERIC_DBUFFER10_2,
2804,0xAF4,11,MP_Time_Fmt,
2828,0xB0C,19,GENERIC_DBUFFER10_1,
2853,0xB25,19,GENERIC_DBUFFER10_0,
2896,0xB50,19,GENERIC_DBUFFER10_3,
2918,0xB66,12,MP_time_Fmt1,
2940,0xB7C,19,GENERIC_DBUFFER10_2,
2969,0xB99,19,GENERIC_DBUFFER32_0,
2991,0xBAF,12,MP_Time_Fmt2,
3014,0xBC6,19,GENERIC_DBUFFER10_3,
3046,0xBE6,19,GENERIC_DBUFFER32_0,
3068,0xBFC,12,MP_Time_Fmt2,
3091,0xC13,19,GENERIC_DBUFFER10_2,
3122,0xC32,19,GENERIC_DBUFFER32_0,
3156,0xC54,19,GENERIC_DBUFFER10_2,
3353,0xD19,49,>o/Tried to get genfloat from not-yet-valid slot ,
3486,0xD9E,47,<o-Tried to get genint from not-yet-valid slot ,
3629,0xE2D,13,mp_plist_name,
3655,0xE47,13,mp_plist_dice,
3675,0xE5B,13,mp_plist_time,
3698,0xE72,11,Common_Null,
3716,0xE84,11,Common_Null,
3734,0xE96,11,Common_Null,
3752,0xEA8,11,Common_Null,
3770,0xEBA,11,Common_Null,
3866,0xF1A,5,",i=@j",
3892,0xF34,6,_title,
3919,0xF4F,6,",i=@v,",
3939,0xF63,16,net_pl_unsession,
4075,0xFEB,27,HUD_TIMER_WATCH_TICK_MASTER,
4151,0x1037,4,=02%,
4156,0x103C,4,7 3b,
4169,0x1049,7,"7 r@7 ,",
4184,0x1058,9,INVALID!?,
4194,0x1062,5,7 r@%,
4200,0x1068,4,7 2.,
4361,0x1109,4,j[$J,
4387,0x1123,5, W&OY,
4404,0x1134,4,!\Oy,
