index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,2,0,50
1,Function_1,50,0x32,55,2,4,0,67
2,Function_2,67,0x43,72,3,5,0,476
3,Function_3,476,0x1DC,481,0,2,0,741
4,Function_4,741,0x2E5,746,3,9,0,1117
5,Function_5,1117,0x45D,1122,3,6,0,1134
6,Function_6,1134,0x46E,1139,4,14,0,1235
7,Function_7,1235,0x4D3,1240,3,22,0,1364
8,Function_8,1364,0x554,1369,1,3,0,2157
9,Function_9,2157,0x86D,2162,1,19,0,2318
10,Function_10,2318,0x90E,2323,1,3,0,2344
11,Function_11,2344,0x928,2349,0,2,0,2357
12,Function_12,2357,0x935,2362,3,5,0,2397
13,Function_13,2397,0x95D,2402,2,4,0,2416
14,Function_14,2416,0x970,2421,2,4,0,2431
15,Function_15,2431,0x97F,2436,0,2,0,2446
16,Function_16,2446,0x98E,2451,1,3,0,2463
17,Function_17,2463,0x99F,2468,2,4,0,2476
18,Function_18,2476,0x9AC,2481,0,2,0,2483
19,Function_19,2483,0x9B3,2488,4,8,0,2585
20,Function_20,2585,0xA19,2590,2,4,0,2636
21,Function_21,2636,0xA4C,2641,2,9,0,3193
22,Function_22,3193,0xC79,3198,1,8,0,3306
23,Function_23,3306,0xCEA,3311,0,2,0,3323
24,Function_24,3323,0xCFB,3328,1,3,0,3335
25,Function_25,3335,0xD07,3340,2,20,0,3440
26,Function_26,3440,0xD70,3445,1,3,0,3456
27,Function_27,3456,0xD80,3461,1,3,0,3468
28,Function_28,3468,0xD8C,3473,2,20,0,3571
29,Function_29,3571,0xDF3,3576,1,3,0,3587
30,Function_30,3587,0xE03,3592,3,5,0,3620
31,Function_31,3620,0xE24,3625,0,2,0,3782
32,Function_32,3782,0xEC6,3787,0,2,0,3843
33,Function_33,3843,0xF03,3848,1,19,0,3972
34,Function_34,3972,0xF84,3977,1,3,0,4109
35,Function_35,4109,0x100D,4114,1,3,0,4129
36,Function_36,4129,0x1021,4134,30,48,0,4198
37,Function_37,4198,0x1066,4203,2,4,0,4250
38,Function_38,4250,0x109A,4255,2,5,0,4282
39,Function_39,4282,0x10BA,4287,1,3,0,4295
40,Function_40,4295,0x10C7,4300,2,4,0,
