offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
12,0xC,01 00,1,1,0
40,0x28,02 01,258,0,1
46,0x2E,00 02,512,0,0
224,0xE0,02 03,770,0,1
237,0xED,02 03,770,0,1
253,0xFD,02 03,770,0,1
266,0x10A,02 04,1026,0,1
282,0x11A,02 04,1026,0,1
322,0x142,02 05,1282,0,1
344,0x158,02 05,1282,0,1
366,0x16E,02 05,1282,0,1
386,0x182,02 04,1026,0,1
408,0x198,02 04,1026,0,1
430,0x1AE,02 04,1026,0,1
434,0x1B2,02 06,1538,0,1
512,0x200,02 07,1794,0,1
525,0x20D,02 08,2050,0,1
541,0x21D,02 08,2050,0,1
554,0x22A,02 09,2306,0,1
570,0x23A,02 0A,2562,0,1
609,0x261,02 08,2050,0,1
631,0x277,02 08,2050,0,1
653,0x28D,02 08,2050,0,1
657,0x291,03 0B,2819,1,1
681,0x2A9,02 07,1794,0,1
685,0x2AD,03 0B,2819,1,1
711,0x2C7,02 07,1794,0,1
733,0x2DD,02 07,1794,0,1
737,0x2E1,02 06,1538,0,1
796,0x31C,03 0C,3075,1,1
880,0x370,03 0D,3331,1,1
921,0x399,03 0E,3587,1,1
924,0x39C,05 0F,3845,1,2
943,0x3AF,03 0E,3587,1,1
946,0x3B2,05 0F,3845,1,2
965,0x3C5,03 0E,3587,1,1
968,0x3C8,05 0F,3845,1,2
987,0x3DB,03 0E,3587,1,1
990,0x3DE,05 0F,3845,1,2
995,0x3E3,03 10,4099,1,1
1003,0x3EB,03 10,4099,1,1
1014,0x3F6,03 10,4099,1,1
1050,0x41A,05 0F,3845,1,2
1063,0x427,05 0F,3845,1,2
1076,0x434,05 0F,3845,1,2
1089,0x441,05 0F,3845,1,2
1094,0x446,03 10,4099,1,1
1141,0x475,03 11,4355,1,1
1154,0x482,02 12,4610,0,1
1208,0x4B8,03 13,4867,1,1
1219,0x4C3,05 14,5125,1,2
1229,0x4CD,05 15,5381,1,2
1242,0x4DA,01 16,5633,1,0
1326,0x52E,03 13,4867,1,1
2231,0x8B7,03 13,4867,1,1
2290,0x8F2,05 17,5893,1,2
2323,0x913,00 18,6144,0,0
2332,0x91C,02 19,6402,0,1
2527,0x9DF,03 1A,6659,1,1
2548,0x9F4,03 0D,3331,1,1
2553,0x9F9,02 1B,6914,0,1
2559,0x9FF,05 1C,7173,1,2
2619,0xA3B,05 0F,3845,1,2
2631,0xA47,05 0F,3845,1,2
2660,0xA64,03 1D,7427,1,1
2702,0xA8E,03 0E,3587,1,1
2710,0xA96,03 13,4867,1,1
2718,0xA9E,03 13,4867,1,1
2722,0xAA2,0A 1E,7690,0,5
2762,0xACA,03 0E,3587,1,1
2772,0xAD4,03 13,4867,1,1
2782,0xADE,03 13,4867,1,1
2786,0xAE2,0A 1E,7690,0,5
2825,0xB09,03 0E,3587,1,1
2832,0xB10,03 13,4867,1,1
2857,0xB29,03 0E,3587,1,1
2882,0xB42,03 0E,3587,1,1
2885,0xB45,0A 1E,7690,0,5
2940,0xB7C,03 0E,3587,1,1
2944,0xB80,03 13,4867,1,1
2969,0xB99,03 0E,3587,1,1
2973,0xB9D,0A 1E,7690,0,5
3013,0xBC5,03 0E,3587,1,1
3018,0xBCA,03 13,4867,1,1
3043,0xBE3,03 0E,3587,1,1
3047,0xBE7,0A 1E,7690,0,5
3090,0xC12,03 0E,3587,1,1
3095,0xC17,03 13,4867,1,1
3120,0xC30,03 0E,3587,1,1
3124,0xC34,0A 1E,7690,0,5
3151,0xC4F,03 0E,3587,1,1
3154,0xC52,05 0F,3845,1,2
3185,0xC71,03 0E,3587,1,1
3188,0xC74,05 0F,3845,1,2
3210,0xC8A,03 1D,7427,1,1
3247,0xCAF,03 1D,7427,1,1
3280,0xCD0,03 1D,7427,1,1
3342,0xD0E,01 16,5633,1,0
3418,0xD5A,03 13,4867,1,1
3475,0xD93,01 16,5633,1,0
3549,0xDDD,03 13,4867,1,1
3607,0xE17,05 14,5125,1,2
3616,0xE20,02 1F,7938,0,1
3652,0xE44,04 20,8196,0,2
3673,0xE59,04 20,8196,0,2
3699,0xE73,04 20,8196,0,2
3720,0xE88,04 20,8196,0,2
3738,0xE9A,04 20,8196,0,2
3756,0xEAC,04 20,8196,0,2
3774,0xEBE,04 20,8196,0,2
3798,0xED6,02 19,6402,0,1
3820,0xEEC,02 19,6402,0,1
3897,0xF39,02 21,8450,0,1
3916,0xF4C,01 22,8705,1,0
3948,0xF6C,03 0E,3587,1,1
3953,0xF71,05 14,5125,1,2
3958,0xF76,03 0D,3331,1,1
3995,0xF9B,02 23,8962,0,1
4018,0xFB2,02 24,9218,0,1
4028,0xFBC,02 25,9474,0,1
4095,0xFFF,02 26,9730,0,1
4158,0x103E,03 0E,3587,1,1
4167,0x1047,03 27,9987,1,1
4205,0x106D,03 27,9987,1,1
4210,0x1072,03 27,9987,1,1
4223,0x107F,03 27,9987,1,1
4239,0x108F,05 28,10245,1,2
4396,0x112C,36 73,29494,0,27
