offset,offset_hex,length,text,population_term
214,0xD6,9,MP_Ticker,
229,0xE5,7,Reticle,
242,0xF2,10,WeaponAmmo,
258,0x102,7,Reticle,
271,0x10F,10,WeaponAmmo,
307,0x133,14,Splash_Message,
327,0x147,16,Splash_Objective,
349,0x15D,16,Subtitle_Enabler,
371,0x173,14,Splash_Message,
391,0x187,16,Splash_Objective,
413,0x19D,16,Subtitle_Enabler,
502,0x1F6,9,MP_Ticker,
517,0x205,7,Reticle,
530,0x212,10,WeaponAmmo,
546,0x222,7,Reticle,
559,0x22F,10,WeaponAmmo,
594,0x252,14,Splash_Message,
614,0x266,16,Splash_Objective,
636,0x27C,16,Subtitle_Enabler,
666,0x29A,14,Splash_Message,
694,0x2B6,16,Splash_Objective,
716,0x2CC,16,Subtitle_Enabler,
901,0x385,19,mp_list_joined_late,
931,0x3A3,11,Common_Null,
953,0x3B9,11,Common_Null,
975,0x3CF,11,Common_Null,
1044,0x414,5,DEBUG,
1057,0x421,5,DEBUG,
1070,0x42E,5,DEBUG,
1083,0x43B,5,DEBUG,
1172,0x494,14,WWWWWWWWWWWWWW,
1267,0x4F3,17,Tried to get bit ,
1300,0x514,19, bit from bad slot ,
1339,0x53B,5,4`>|8,
1546,0x60A,4,DEAD,
1557,0x615,5,READY,
1569,0x621,12,POKER_FOLDED,
1588,0x634,13,RACE_FINISHED,
1608,0x648,11,REGION_HOST,
1626,0x65A,12,ACTOR_HIDDEN,
1645,0x66D,13,VOTE_TO_START,
1665,0x681,12,VOTE_TO_SKIP,
1684,0x694,14,VOTE_TO_REPLAY,
1705,0x6A9,11,IS_IN_LOBBY,
1723,0x6BB,15,GAME_ARBITRATOR,
1745,0x6D1,11,JOINED_GAME,
1763,0x6E3,13,SKIP_CUTSCENE,
1783,0x6F7,14,START_CUTSCENE,
1804,0x70C,12,IS_SPECTATOR,
1823,0x71F,13,DISTRICT_HOST,
1843,0x733,13,NEEDS_REVIVAL,
1863,0x747,23,MP_BIT_MPLAW_MOSTWANTED,
1893,0x765,21,HAS_VIRAL_ACHIEVEMENT,
1921,0x781,17,COMBATMODE_CASUAL,
1945,0x799,17,COMBATMODE_EXPERT,
1969,0x7B1,15,IN_ACTOR_PICKER,
1991,0x7C7,13,MELEE_BLOCKED,
2011,0x7DB,10,BLIND_FIRE,
2028,0x7EC,24,FREE_MODE_DEFENSE_ACTIVE,
2059,0x80B,17,PLAYER_IS_GRIEFER,
2083,0x823,22,CANNOT_AFFORD_MINIGAME,
2112,0x840,29,FREE_MODE_DEFENSE_SPOONHOLDER,
2148,0x864,7,UNKNOWN,
2174,0x87E,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
2613,0xA35,5,<VRE>,
2667,0xA6B,19,GENERIC_DBUFFER10_0,
2689,0xA81,12,MP_Time_Fmt1,
2727,0xAA7,19,GENERIC_DBUFFER10_1,
2749,0xABD,12,MP_Time_Fmt1,
2791,0xAE7,19,GENERIC_DBUFFER10_2,
2813,0xAFD,11,MP_Time_Fmt,
2837,0xB15,19,GENERIC_DBUFFER10_1,
2862,0xB2E,19,GENERIC_DBUFFER10_0,
2905,0xB59,19,GENERIC_DBUFFER10_3,
2927,0xB6F,12,MP_time_Fmt1,
2949,0xB85,19,GENERIC_DBUFFER10_2,
2978,0xBA2,19,GENERIC_DBUFFER32_0,
3000,0xBB8,12,MP_Time_Fmt2,
3023,0xBCF,19,GENERIC_DBUFFER10_3,
3055,0xBEF,19,GENERIC_DBUFFER32_0,
3077,0xC05,12,MP_Time_Fmt2,
3100,0xC1C,19,GENERIC_DBUFFER10_2,
3131,0xC3B,19,GENERIC_DBUFFER32_0,
3165,0xC5D,19,GENERIC_DBUFFER10_2,
3362,0xD22,49,>o/Tried to get genfloat from not-yet-valid slot ,
3495,0xDA7,47,<o-Tried to get genint from not-yet-valid slot ,
3638,0xE36,13,mp_plist_name,
3658,0xE4A,14,mp_plist_stack,
3685,0xE65,13,mp_plist_time,
3708,0xE7C,11,Common_Null,
3726,0xE8E,11,Common_Null,
3744,0xEA0,11,Common_Null,
3762,0xEB2,11,Common_Null,
3858,0xF12,5,",i=@j",
3884,0xF2C,6,_title,
3911,0xF47,6,",i=@v,",
3931,0xF5B,16,net_pl_unsession,
4067,0xFE3,27,HUD_TIMER_WATCH_TICK_MASTER,
4143,0x102F,4,=02%,
4148,0x1034,4,7 3b,
4161,0x1041,7,"7 r@7 ,",
4176,0x1050,9,INVALID!?,
4186,0x105A,5,7 r@%,
4192,0x1060,4,7 2.,
4345,0x10F9,4,j[$J,
4371,0x1113,5, W&OY,
4388,0x1124,4,!\Oy,
