index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,main,0,0x0,5,0,43,0,7914
1,Function_1,7914,0x1EEA,7919,1,4,0,8024
2,Function_2,8024,0x1F58,8029,0,2,0,8197
3,Function_3,8197,0x2005,8202,1,5,0,8228
4,Function_4,8228,0x2024,8233,1,3,0,8250
5,Function_5,8250,0x203A,8255,0,3,0,8310
6,Function_6,8310,0x2076,8315,0,2,0,8479
7,Function_7,8479,0x211F,8484,0,2,0,8494
8,Function_8,8494,0x212E,8499,0,2,0,8546
9,Function_9,8546,0x2162,8551,0,2,0,8563
10,Function_10,8563,0x2173,8568,0,2,0,8659
11,Function_11,8659,0x21D3,8664,1,3,0,8685
12,Function_12,8685,0x21ED,8690,6,28,0,8868
13,Function_13,8868,0x22A4,8873,2,5,0,8905
14,Function_14,8905,0x22C9,8910,2,4,0,8925
15,Function_15,8925,0x22DD,8930,2,4,0,8938
16,Function_16,8938,0x22EA,8943,1,7,0,8990
17,Function_17,8990,0x231E,8995,1,3,0,9005
18,Function_18,9005,0x232D,9010,0,2,0,9030
19,Function_19,9030,0x2346,9035,1,4,0,9068
20,Function_20,9068,0x236C,9073,2,4,0,9370
21,Function_21,9370,0x249A,9375,2,5,0,9396
22,Function_22,9396,0x24B4,9401,2,5,0,9425
23,Function_23,9425,0x24D1,9430,0,3,0,9463
24,Function_24,9463,0x24F7,9468,0,2,0,9486
25,Function_25,9486,0x250E,9491,3,5,0,9526
26,Function_26,9526,0x2536,9531,2,4,0,9545
27,Function_27,9545,0x2549,9550,2,4,0,9560
28,Function_28,9560,0x2558,9565,0,2,0,9577
29,Function_29,9577,0x2569,9582,1,3,0,9594
30,Function_30,9594,0x257A,9599,1,4,0,9661
31,Function_31,9661,0x25BD,9666,2,5,0,9786
32,Function_32,9786,0x263A,9791,1,3,0,9801
33,Function_33,9801,0x2649,9806,2,4,0,9814
34,Function_34,9814,0x2656,9819,2,6,0,9850
35,Function_35,9850,0x267A,9855,1,3,0,9865
36,Function_36,9865,0x2689,9870,2,4,0,9878
37,Function_37,9878,0x2696,9883,1,3,0,9893
38,Function_38,9893,0x26A5,9898,2,4,0,9906
39,Function_39,9906,0x26B2,9911,0,4,0,9931
40,Function_40,9931,0x26CB,9936,2,5,0,9999
41,Function_41,9999,0x270F,10004,2,4,0,10023
