index,name,offset,offset_hex,body_offset,parameters,locals,enter_name_length,end_hint
0,Function_0,48,0x30,53,0,4,0,378
1,Function_1,378,0x17A,383,0,2,0,390
2,Function_2,390,0x186,395,0,3,0,416
3,Function_3,416,0x1A0,421,0,2,0,437
4,Function_4,437,0x1B5,442,0,3,0,484
5,Function_5,484,0x1E4,489,1,18,0,704
6,Function_6,704,0x2C0,709,3,8,0,754
7,Function_7,754,0x2F2,759,0,6,0,859
8,Function_8,859,0x35B,864,0,8,0,932
9,Function_9,932,0x3A4,937,1,5,0,977
10,Function_10,977,0x3D1,982,0,14,0,1188
11,Function_11,1188,0x4A4,1193,0,2,0,
