offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
61,0x3D,01 00,1,1,0
70,0x46,02 01,258,0,1
96,0x60,03 02,515,1,1
103,0x67,03 03,771,1,1
112,0x70,04 04,1028,0,2
119,0x77,04 05,1284,0,2
129,0x81,08 06,1544,0,4
174,0xAE,0B 07,1803,1,5
211,0xD3,09 08,2057,1,4
252,0xFC,09 08,2057,1,4
262,0x106,01 00,1,1,0
276,0x114,01 09,2305,1,0
287,0x11F,01 09,2305,1,0
301,0x12D,09 0A,2569,1,4
311,0x137,02 01,258,0,1
321,0x141,08 06,1544,0,4
362,0x16A,0B 07,1803,1,5
371,0x173,02 0B,2818,0,1
374,0x176,00 0C,3072,0,0
385,0x181,03 0D,3331,1,1
402,0x192,03 0E,3587,1,1
410,0x19A,03 0F,3843,1,1
422,0x1A6,03 10,4099,1,1
433,0x1B1,03 11,4355,1,1
447,0x1BF,03 12,4611,1,1
454,0x1C6,03 13,4867,1,1
462,0x1CE,03 13,4867,1,1
475,0x1DB,03 14,5123,1,1
500,0x1F4,03 15,5379,1,1
562,0x232,02 16,5634,0,1
585,0x249,0B 17,5899,1,5
593,0x251,05 18,6149,1,2
601,0x259,05 19,6405,1,2
609,0x261,05 1A,6661,1,2
614,0x266,02 16,5634,0,1
631,0x277,07 1B,6919,1,3
639,0x27F,05 1C,7173,1,2
645,0x285,02 1D,7426,0,1
654,0x28E,02 1D,7426,0,1
659,0x293,03 1E,7683,1,1
662,0x296,02 1F,7938,0,1
671,0x29F,02 1D,7426,0,1
676,0x2A4,03 1E,7683,1,1
679,0x2A7,02 1F,7938,0,1
690,0x2B2,02 1D,7426,0,1
697,0x2B9,06 20,8198,0,3
700,0x2BC,00 21,8448,0,0
713,0x2C9,05 1C,7173,1,2
761,0x2F9,03 0D,3331,1,1
853,0x355,0D 22,8717,1,6
866,0x362,03 13,4867,1,1
875,0x36B,03 12,4611,1,1
882,0x372,03 13,4867,1,1
910,0x38E,07 23,8967,1,3
918,0x396,03 24,9219,1,1
927,0x39F,05 1A,6661,1,2
972,0x3CC,07 25,9479,1,3
1038,0x40E,01 26,9729,1,0
1065,0x429,0D 22,8717,1,6
1182,0x49E,0D 22,8717,1,6
1193,0x4A9,01 27,9985,1,0
