offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
68,0x44,0A 00,10,0,5
77,0x4D,01 01,257,1,0
89,0x59,02 02,514,0,1
98,0x62,01 03,769,1,0
102,0x66,01 04,1025,1,0
110,0x6E,00 05,1280,0,0
113,0x71,01 06,1537,1,0
121,0x79,02 02,514,0,1
133,0x85,04 07,1796,0,2
136,0x88,00 08,2048,0,0
147,0x93,02 09,2306,0,1
152,0x98,02 0A,2562,0,1
157,0x9D,02 0B,2818,0,1
163,0xA3,04 0C,3076,0,2
168,0xA8,02 0D,3330,0,1
175,0xAF,08 0E,3592,0,4
189,0xBD,02 0F,3842,0,1
201,0xC9,00 10,4096,0,0
204,0xCC,00 11,4352,0,0
207,0xCF,00 12,4608,0,0
210,0xD2,00 13,4864,0,0
213,0xD5,00 14,5120,0,0
224,0xE0,03 15,5379,1,1
232,0xE8,02 16,5634,0,1
237,0xED,03 15,5379,1,1
245,0xF5,02 16,5634,0,1
284,0x11C,01 17,5889,1,0
296,0x128,01 18,6145,1,0
347,0x15B,01 19,6401,1,0
427,0x1AB,12 1A,6674,0,9
467,0x1D3,05 1B,6917,1,2
479,0x1DF,08 1C,7176,0,4
489,0x1E9,03 1D,7427,1,1
495,0x1EF,09 1E,7689,1,4
505,0x1F9,03 1D,7427,1,1
511,0x1FF,09 1E,7689,1,4
545,0x221,01 03,769,1,0
558,0x22E,01 03,769,1,0
577,0x241,04 07,1796,0,2
656,0x290,01 1F,7937,1,0
713,0x2C9,01 17,5889,1,0
769,0x301,01 1F,7937,1,0
849,0x351,02 20,8194,0,1
938,0x3AA,02 21,8450,0,1
990,0x3DE,01 06,1537,1,0
1005,0x3ED,00 14,5120,0,0
1042,0x412,12 1A,6674,0,9
1056,0x420,03 22,8707,1,1
1059,0x423,03 23,8963,1,1
1069,0x42D,03 22,8707,1,1
1085,0x43D,13 24,9235,1,9
1095,0x447,06 25,9478,0,3
1102,0x44E,05 1B,6917,1,2
1114,0x45A,08 1C,7176,0,4
1119,0x45F,03 22,8707,1,1
1122,0x462,03 23,8963,1,1
1167,0x48F,06 25,9478,0,3
1174,0x496,05 1B,6917,1,2
1186,0x4A2,08 1C,7176,0,4
1206,0x4B6,01 18,6145,1,0
1313,0x521,03 26,9731,1,1
1443,0x5A3,03 27,9987,1,1
1502,0x5DE,05 28,10245,1,2
1535,0x5FF,01 17,5889,1,0
1544,0x608,01 18,6145,1,0
1608,0x648,01 03,769,1,0
1612,0x64C,01 04,1025,1,0
1620,0x654,00 05,1280,0,0
1654,0x676,01 18,6145,1,0
1758,0x6DE,01 18,6145,1,0
1842,0x732,03 27,9987,1,1
2712,0xA98,03 26,9731,1,1
2734,0xAAE,03 15,5379,1,1
2767,0xACF,13 29,10515,1,9
2774,0xAD6,03 15,5379,1,1
2807,0xAF7,13 29,10515,1,9
2818,0xB02,01 18,6145,1,0
3425,0xD61,01 03,769,1,0
3429,0xD65,01 04,1025,1,0
3437,0xD6D,00 05,1280,0,0
3477,0xD95,03 2A,10755,1,1
3495,0xDA7,07 2B,11015,1,3
3502,0xDAE,02 2C,11266,0,1
3518,0xDBE,03 22,8707,1,1
3534,0xDCE,11 2D,11537,1,8
3543,0xDD7,03 22,8707,1,1
3554,0xDE2,0C 2E,11788,0,6
3560,0xDE8,04 2F,12036,0,2
3591,0xE07,11 30,12305,1,8
3607,0xE17,14 31,12564,0,10
3614,0xE1E,03 22,8707,1,1
3630,0xE2E,13 24,9235,1,9
3637,0xE35,03 32,12803,1,1
3649,0xE41,06 25,9478,0,3
3658,0xE4A,04 33,13060,0,2
3665,0xE51,08 0E,3592,0,4
3669,0xE55,02 34,13314,0,1
3673,0xE59,02 0F,3842,0,1
3689,0xE69,03 35,13571,1,1
3715,0xE83,03 2A,10755,1,1
3745,0xEA1,04 36,13828,0,2
3759,0xEAF,03 37,14083,1,1
3770,0xEBA,03 38,14339,1,1
